"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.lm","t0.lm","predicted.lm","r.slm","t0.slm","predicted.slm","r.grf","t0.grf","predicted.grf","r.grf.augmented","t0.grf.augmented","predicted.grf.augmented","r.grf.fonly","t0.grf.fonly","predicted.grf.fonly","Predicted_Double_Days","date.y","days_from_start.y","log_rolled_cases.y","lm.mse","slm.mse","grf.mse","augmented.grf.mse","fonly.grf.mse"
1001,2020-07-17,178,"Autauga","Alabama",6.60838613031243,0.0221932120962383,-119.71321103687,6.76256492106709,0.0174786590993712,-199.206783421962,6.71541939109842,0.0184376016448289,-179.744230084781,6.725008816553,0.0272796730438621,-64.7621404621761,6.81342953054333,0.0265036148420007,-71.7826686697723,6.80566894852471,25.4089255192119,2020-07-24,185,6.77062558348918,6.49742786829515e-05,0.00304772367828584,0.00208088942571035,0.00183217788341417,0.00122803743301358
1003,2020-07-17,178,"Baldwin","Alabama",7.27408347994901,0.0518947518848251,37.7971870691419,7.63905345379521,0.0420867716716728,5.82318619037086,7.54097365166369,0.0433151982671934,10.6210702066744,7.55325791761889,0.0467092586796783,22.5654262942801,7.58719852174374,0.0467097776371196,22.5671198809407,7.58720371131816,14.8396099649835,2020-07-24,185,7.6726249355999,0.00112704439056303,0.0173320605620541,0.0142484849816788,0.00729767218432362,0.00729678555779255
1005,2020-07-17,178,"Barbour","Alabama",6.06212269791399,0.025429609995331,-60.2240038729696,6.23595077998316,0.0191801148356011,-136.867511289714,6.17345582838587,0.0210736013240767,-108.845868963829,6.19239069327062,0.0253002142572626,-61.4270365146329,6.23465682260248,0.0252580056102441,-61.8221296777218,6.2342347361323,27.3968897461401,2020-07-24,185,6.23888250510976,8.59501221794758e-06,0.00428065002713354,0.00216148856808629,1.78563926523693e-05,2.16017564679201e-05
1007,2020-07-17,178,"Bibb","Alabama",5.47046833013762,0.023816567033257,-51.7320476407577,5.6381446815563,0.0190452337076866,-108.534405201041,5.5904313483006,0.0212210109875442,-79.4637960176962,5.61218912109918,0.0266943757479567,-27.2890163159956,5.6669227687033,0.0268116267210331,-26.4043783097869,5.66809527843406,25.9660382061192,2020-07-24,185,5.64190707093811,1.41555738603596e-05,0.00264975002105429,0.000883156542629684,0.000625785134679125,0.000685822211850913
1009,2020-07-17,178,"Blount","Alabama",5.92004526487819,0.0542912657422393,69.0597696757178,6.29454185475204,0.0421356313981791,38.4972585796305,6.17298551131144,0.0458440806483703,49.5393273027908,6.21007000381335,0.0494908318535124,58.7839457951755,6.24653751586477,0.0482541573308462,55.8055198665142,6.23417077063811,14.0055673869372,2020-07-24,185,6.27503101922608,0.000380672702921232,0.0104132856855555,0.00421993352345203,0.000811879733800482,0.00166955991467006
1011,2020-07-17,178,"Bullock","Alabama",5.9554672047373,0.00431333493940006,-1202.57865672234,5.98509150120628,0.00326049526213595,-1647.40968751468,5.97456310443363,0.010208204741624,-407.076702241668,6.04404019922852,0.0192987433432387,-132.893526854641,6.13494558524466,0.0179680877552137,-155.69507633544,6.12163902936441,35.9167002862282,2020-07-24,185,5.99929098335745,0.0002016252933614,0.000611467996070635,0.00200249232107561,0.0184021710131791,0.0149690443617226
1013,2020-07-17,178,"Butler","Alabama",6.49548132894464,0.00531505704729133,-1044.11083595331,6.53279421053576,0.004163106061424,-1381.44452590441,6.52127470067709,0.0102817435452933,-455.208642290932,6.58246107551578,0.0201269069325259,-146.939365138688,6.68091270938811,0.0192933108579419,-160.849232294702,6.67257674864227,34.4388326971289,2020-07-24,185,6.54411737428815,0.000128214037363465,0.000521787737701623,0.00147023942383362,0.018712963705109,0.0165018108594507
1015,2020-07-17,178,"Calhoun","Alabama",6.40428350166475,0.0598253538616967,71.0029645300222,6.81991298617581,0.0467549911296224,41.9305822278937,6.68920935885507,0.0497993407149142,50.0654254003899,6.71965285470799,0.0482689749978792,46.1043802394353,6.70434919753764,0.0479464039133228,45.237203632491,6.70112348669207,14.3600973625481,2020-07-24,185,6.76206867756701,0.00334596403843072,0.00530848032316775,0.00179910202880777,0.0033315383748608,0.00371431629078212
1017,2020-07-17,178,"Chambers","Alabama",6.56888015774461,0.0115366983674099,-391.28911641145,6.64847370846005,0.00901424566928674,-549.753569457896,6.62324918147882,0.0106530631712919,-438.260864010597,6.63963735649887,0.0218141274262092,-124.489711283916,6.75124799904804,0.0213171341802858,-131.472092802596,6.74627806658881,31.7751504342614,2020-07-24,185,6.65323162500809,2.26377698781618e-05,0.00089894691998622,0.000184804136300905,0.00960720957993912,0.0086576402908333
1019,2020-07-17,178,"Cherokee","Alabama",4.94875989037817,0.0378391448819602,47.268396453115,5.21164610143529,0.0300094308247513,13.9421418606413,5.1333489608632,0.0351166771773143,37.3658318179941,5.18442142438883,0.0412566813219845,57.8491653292487,5.24582146583553,0.0413910979641207,58.2296099802589,5.24716563225689,16.8008467561977,2020-07-24,185,5.20948615284142,4.6653779281453e-06,0.00579687200232862,0.00062824061240213,0.00132025497038,0.00141974316902101
1021,2020-07-17,178,"Chilton","Alabama",5.91157063788722,0.0430029112172084,40.5524705373552,6.21166428502722,0.0344297807607384,7.07458644499537,6.12593298046252,0.0377951970260506,22.0272514026026,6.15958714311564,0.0426362834235779,39.3963613006221,6.20799800709091,0.0430258293349294,40.6240852942384,6.21189346620443,16.2572139244349,2020-07-24,185,6.22879273341415,0.00029338374414378,0.0105801287772701,0.0047894137285647,0.000432420642858163,0.000285585232225447
