"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","lm_mse","grf_mse","Predicted_Double_Days","Predicted_Outbreak_Class","Actual_Outbreak_Class"
1003,"2020-03-28",67,"Baldwin","Alabama",1.55059741241117,0.18663289899747,58.9306803871302,1.31936761328957,0.202962311292297,59.2983067872747,2.98388963436501,"2020-04-04",74,3.11033565629299,3.20756653105952,0.0159885964614116,3.41515218341058,4,4
1015,"2020-03-28",67,"Calhoun","Alabama",0.762140052046895,0.128401551199947,61.1976257551368,0.616632302483112,0.205200688010903,62.6207158172042,2.33503694338129,"2020-04-04",74,2.496741107435,3.53480911845761,0.0261482366723084,3.37789891095841,4,4
1017,"2020-03-28",67,"Chambers","Alabama",2.21297293430436,0.35483623762958,60.6640744742747,1.89337973781999,0.289313147262139,59.568843275033,4.17512337073338,"2020-04-04",74,3.99162605602711,4.40263761186975,0.0336712645044101,2.39583713052592,4,4
1043,"2020-03-28",67,"Cullman","Alabama",1.48807705542983,0.219127465465578,60.1433089933684,1.28336185629823,0.215251549016742,60.0378507743124,3.00537424843216,"2020-04-04",74,2.316769727986,1.06793182926625,0.474176185578894,3.22017278726312,4,4
1051,"2020-03-28",67,"Elmore","Alabama",2.21297293430436,0.131355027187997,49.9069596074104,2.11390175830615,0.200266495386275,54.5843090009028,3.88831239189204,"2020-04-04",74,2.7362210780689,0.387281335749981,1.32731439538672,3.46112403486664,4,3
1071,"2020-03-28",67,"Jackson","Alabama",1.04982212449868,0.255412811882998,62.8475906636425,0.805165732805275,0.274510605130482,63.0669048198609,3.00125057384914,"2020-04-04",74,2.18122423598978,1.89353700418638,0.672443194783032,2.52502878797879,4,4
1073,"2020-03-28",67,"Jefferson","Alabama",4.90315613357815,0.208419894304738,43.3349996942564,4.72383696813993,0.201277327031407,42.6194204813626,6.31619916620786,"2020-04-04",74,5.73518885248105,1.02283263396032,0.337572984656928,3.44374197920359,4,4
1075,"2020-03-28",67,"Lamar","Alabama",0,0,65,0,0.205150876821641,66,1.64120701457312,"2020-04-04",74,0.251314428280909,0.0631589418621604,1.93180140143006,3.37871907397486,4,2
1077,"2020-03-28",67,"Lauderdale","Alabama",1.92529086185258,0.287682072451782,60.2758275941131,1.64674178079683,0.285107852621548,60.224144422347,3.92760460176922,"2020-04-04",74,2.57587842799372,0.863294909164278,1.82716364886974,2.43117534009149,4,3
1081,"2020-03-28",67,"Lee","Alabama",3.60316593583991,0.252014483998331,52.4612362467,3.4119645612632,0.240264864907828,51.9214100453905,5.30470943279956,"2020-04-04",74,4.42227703729518,1.02073129922588,0.778686932635597,2.88492943329794,4,4
