"cutoff","block.mse.last","lm.mse.windowsize=2"
60,0.350756821392652,0.271544158305228
61,0.117955408245477,0.0744933044201197
62,0.219112366941214,0.458039940651416
63,0.873816366904652,0.237624626588381
64,0.676724351975421,0.115220823835531
65,0.576853498479908,0.171498210790787
66,0.367867386384087,0.448130046527738
67,0.279298840373768,0.44395370900973
68,0.231193423702177,0.452266611495247
69,0.18186825097699,0.304706784015525
70,0.199708012783007,0.167502265334281
71,0.194797535541869,0.153104046757493
72,0.232543164838439,0.158458582228529
73,0.234916238222631,0.17846297635289
74,0.218167732815251,0.186807813879082
75,0.17691843171623,0.131995052732742
76,0.158490460728005,0.116877688109245
77,0.141164595914202,0.107956615389422
78,0.136057566595123,0.108373350139534
79,0.132146759013421,0.126231841581222
80,0.12734330887593,0.11353056929954
81,0.131699205140028,0.121358178982705
82,0.106918869195116,0.0910053408173438
83,0.105513038388141,0.0871335636313243
84,0.0974000952639319,0.0846032493053619
85,0.0871501284028894,0.0768225060947608
86,0.0768414353658056,0.0662222089635439
87,0.0735875422915693,0.0634358982300187
88,0.0622639611504814,0.0535907087566713
89,0.0599407395968485,0.051173603561689
90,0.0615597211289481,0.0516560559514917
91,0.05632955685057,0.0462559091964388
92,0.0592124952348823,0.0469620188128188
93,0.0524878132483757,0.0420275317519649
94,0.0494294419080304,0.0408154282524691
95,0.0454128574301165,0.0447886503456116
96,0.0439615592695555,0.0498303875479551
97,0.0430513060949083,0.0498905523734984
98,0.0440396406582155,0.0502590166484939
99,0.0451556606433745,0.0471009187362514
100,0.0476363164366133,0.0468280540770695
101,0.0459805127780705,0.0440242885657808
102,0.0447256120654032,0.0445058501401988
103,0.0422190987203841,0.0451928863100276
104,0.0429772809412438,0.051219945401766
105,0.0480791074202163,0.0556866352161134
106,0.0489141830653154,0.05112446540108
107,0.0454375528453548,0.047748185537939
108,0.0387807799664018,0.0876262071617306
109,0.0376706997459394,0.0553892068982242
110,0.0390403010528771,0.0488058070083951
111,0.0406659365128105,0.0497698077653762
112,0.0434725145892372,0.0525848719093585
113,0.0448099428677926,0.0496939184743025
114,0.0454796123837676,0.0507711975258655
115,0.0409345349007197,0.0444799320019566
116,0.0429671742838651,0.0465921082577111
117,0.0433991388615958,0.0482516481494604
118,0.0436053620562155,0.0484438249485275
119,0.0425787895658276,0.0456322139175408
120,0.0466129514828457,0.0513489213316901
121,0.047089324487188,0.0538825888450029
122,0.0448272563990905,0.0508282150257928
123,0.0458410849691471,0.0536919633099493
124,0.0468319841612118,0.0563756230400966
125,0.0414269490773697,0.0534817574032912
126,0.0444027249813333,0.0480724352821398
127,0.0449994013535407,0.0492739529153126
128,0.0437366429982336,0.0498014030181778
129,0.0498103518958319,0.0633639561020596
130,0.0513900883704027,0.0706825918043626
131,0.0532362057809994,0.0639588006425809
132,0.0583708865921072,0.0628251486693611
133,0.0647448121607197,0.0695167071342097
134,0.0531443784531492,0.0574745224559198
135,0.0489047140598125,0.0560638728717897
136,0.0506317946281313,0.0930461600701025
137,0.0523896559149001,0.0789632926208599
138,0.0567614217678039,0.0684156308381704
139,0.06241785886907,0.0769071143691142
140,0.0664716791872166,0.0879962272146279
141,0.0488265109013698,0.054701101702027
142,0.046938333489244,0.0545773775192436
143,0.0432337325628562,0.0567260134936158
144,0.0440749448940539,0.0576700800098708
145,0.0473555156570399,0.057382039530491
146,0.0508721694321477,0.0612062288149986
147,0.0500849506022879,0.0535583097180028
148,0.056925048988759,0.0611335562536608
149,0.0543806985651621,0.0572200428738564
150,0.0491811832147919,0.0557161606415444
151,0.0453241789501874,0.0563376679221346
152,0.0484083470841868,0.0662415310533647
153,0.0527363187744134,0.093290946408127
154,0.0453293219814266,0.115406837045199
155,0.0449008769290853,0.0603475029774285
156,0.0488598485328361,0.0646417136694081
157,0.0442158298588044,0.0495097772825555
158,0.0486921963990884,0.0525204755845271
159,0.0618025321478097,0.0681175367629165
160,0.0532667620486572,0.0588059857810136
161,0.049749658044411,0.0587821261898927
162,0.0535627171905069,0.0623767060507656
163,0.0484526780478006,0.0611594728783243
164,0.0441553895186892,0.0522660803236731
165,0.0428756371895537,0.0530101256352484
166,0.046027170699527,0.0687316365959413
167,0.048733326010455,0.0662929560305824
168,0.038637964395303,0.0520641726849139
169,0.0416515766256007,0.053025775732435
170,0.0421489990473335,0.0514688918592205
171,0.0417393173542788,0.0537788803409011
172,0.034643611541796,0.0405035454888582
173,0.0328661044808826,0.0362585421006131
174,0.0336561412151394,0.0376955069955079
175,0.0344023701418446,0.0393141372468612
176,0.0326209111757475,0.0465478955035944
177,0.0306880402071122,0.0368997802609995
178,0.0317926186321614,0.0393400639445253
179,0.0276587800505546,0.0404078226917087
180,0.0285839846861996,0.0396391510961658
181,0.0292477972515894,0.0370735280683097
182,0.0316120229715317,0.0391148758568726
183,0.0311080000761823,0.0373105787666515
184,0.031550546769054,0.0373454954082474
185,0.029150905405124,0.0339603607068186
186,0.0275516307386955,0.0329931492062894
187,0.0236742041913012,0.0284130612699553
188,0.0253844128824272,0.0298181759466792
189,0.0267014455932783,0.0308203135358087
190,0.0274385470065187,0.0321610415413363
191,0.0282991837014304,0.0328994683552234
192,0.0255658513101322,0.028275608629256
193,0.0239295927195447,0.0267142806932001
194,0.0238089012592036,0.0265089749344193
195,0.0250495027059401,0.0292476854811905
196,0.0257235443094815,0.0294062809882312
197,0.0254815429062958,0.0295473837942188
198,0.0262717875183778,0.0304900091758091
199,0.0259744227999434,0.0277583551030552
200,0.024816414179201,0.0268239005479754
201,0.0236618988893044,0.024762872728609
