"cutoff","block.mse","block.mse.0","block.mse.last"
86,0.548294881658209,0.079601095995579,0.0768414353658056
87,0.481782631197384,0.0763233077931427,0.0735875422915693
88,0.393155490287083,0.0648171302203415,0.0622639611504814
89,0.341076633031144,0.062617289072836,0.0599407395968485
90,0.304869102881835,0.0646499742569571,0.0615597211289481
91,0.245365836822813,0.0591580618794171,0.05632955685057
92,0.216801358014797,0.0625884316971989,0.0592124952348823
93,0.183844896918523,0.0559445578828116,0.0524878132483757
94,0.164785035123411,0.0528645089210411,0.0494294419080304
95,0.145582346878512,0.048572029881215,0.0454128574301165
96,0.134893932701528,0.046616778176296,0.0439615592695555
97,0.120890678947087,0.0454222077845775,0.0430513060949083
98,0.113744342989435,0.0457307135765459,0.0440396406582155
99,0.107732435175456,0.0462478340165415,0.0451556606433745
100,0.107589671302439,0.0489218114717065,0.0476363164366133
101,0.106194112649964,0.0477566929897484,0.0459805127780705
102,0.101999861216043,0.0466128515454459,0.0447256120654032
103,0.0970342353687827,0.04393182216291,0.0422190987203841
104,0.0991099934867057,0.0438738275913779,0.0429772809412438
105,0.115239401478262,0.0483395059247929,0.0480791074202163
106,0.120341324425889,0.0500188765945639,0.0489141830653154
107,0.113266605276142,0.0461569938173933,0.0454375528453548
108,0.110310270197093,0.0419854158574803,0.0387807799664018
109,0.110096695609415,0.0387597265513092,0.0376706997459394
110,0.117065759289964,0.0389091876095794,0.0390403010528771
111,0.119004003608479,0.0405067884663602,0.0406659365128105
112,0.126566279702256,0.043110947528259,0.0434725145892372
113,0.126769579565365,0.044723728271057,0.0448099428677926
114,0.129168329916168,0.0453507960031042,0.0454796123837676
115,0.114528422856456,0.0410203495191128,0.0409345349007197
116,0.114464649467797,0.0434556528579443,0.0429671742838651
117,0.109102348596222,0.0439147863656037,0.0433991388615958
118,0.105390707270285,0.0439035070485465,0.0436053620562155
119,0.102140592373812,0.0428644985680736,0.0425787895658276
120,0.107225419695406,0.0471612859239416,0.0466129514828457
121,0.104264095100584,0.047352848371916,0.047089324487188
122,0.102619320325313,0.0448664300597173,0.0448272563990905
123,0.101681752211668,0.0458152410458457,0.0458410849691471
124,0.101691954194513,0.046617877786756,0.0468319841612118
125,0.0955220224514799,0.0421584376185219,0.0414269490773697
126,0.0996428652941578,0.0449214244821248,0.0444027249813333
127,0.106432757628422,0.0454377617657692,0.0449994013535407
128,0.105701203870065,0.0439336807321231,0.0437366429982336
129,0.11463495193444,0.0501479219986547,0.0498103518958319
130,0.11455938270563,0.0513823489558287,0.0513900883704027
131,0.117562671235333,0.0530625490580087,0.0532362057809994
132,0.122419959118047,0.0585145527125362,0.0583708865921072
133,0.13186701036507,0.0648320067169861,0.0647448121607197
134,0.119632006143651,0.0536255055511729,0.0531443784531492
135,0.113410515974852,0.0495619737731291,0.0489047140598125
136,0.12536270404322,0.0512524816897197,0.0506317946281313
137,0.129820543512506,0.0519857854830868,0.0523896559149001
