"cutoff","block.rmse","block.rmse.0","block.rmse.last"
123,0.240302952932444,0.146773804991825,0.146469387626457
124,0.235050970029264,0.146054100588524,0.145914432829837
125,0.233000687613635,0.145047008760036,0.14378352416206
126,0.239747547040768,0.148107447133518,0.147437787716018
127,0.250783449497675,0.151131111550773,0.150573610324368
128,0.252787361584975,0.151681418631775,0.15158838929345
129,0.259135653006984,0.15592220500254,0.155514730831743
130,0.252918645348955,0.155389194707654,0.155496651847034
131,0.258854616471951,0.159064323824038,0.159190204294188
132,0.263817255658245,0.162622432384159,0.162312259084191
133,0.265979001222608,0.164833892636609,0.164886957831069
134,0.257727532081323,0.154496834749573,0.154268289005228
135,0.255770032765314,0.150983989457942,0.150556342490091
136,0.263236683749937,0.151241851670739,0.150338448035773
137,0.266297110352548,0.15357485031074,0.15376069589487
138,0.276315831648832,0.160683267399927,0.160627190807323
139,0.282260699913356,0.170469994227367,0.170880668058006
140,0.280818281592122,0.171554355522557,0.171838240091568
141,0.252836462813168,0.158496484965396,0.157826373529345
142,0.254535854998526,0.152054600902177,0.151435502033349
143,0.246179640603929,0.14836837667866,0.148322065460189
144,0.253419010394968,0.149172821748575,0.149263390220236
145,0.252493439119332,0.155053771198732,0.155681530047498
146,0.252759348631707,0.157750413823072,0.158212796770528
147,0.254495886980342,0.163157071369502,0.162922000622555
148,0.26188448664141,0.170868318510816,0.17016647223666
149,0.251284784650819,0.158073097733414,0.157193926628159
150,0.249253898452712,0.150358155847324,0.149298502636953
151,0.24525634915645,0.143598418803083,0.14218649144309
152,0.246862240354914,0.146427896267049,0.14585346914768
153,0.259097469695198,0.152008745550897,0.15239139807937
154,0.259532718260774,0.152442301426182,0.150958949492035
155,0.262913508680647,0.153664688610372,0.152839598684619
156,0.267914275727693,0.158422382683512,0.158478174201515
157,0.270862515329796,0.155123675161678,0.153870765372661
158,0.278310891895791,0.158072756819273,0.157321842561159
159,0.290514278092897,0.1687517416283,0.168008252364862
160,0.292559842112058,0.16298927999778,0.162726399128541
161,0.294413694135883,0.163238015369008,0.162939615371092
162,0.307704732734641,0.167176048176432,0.167172600644467
163,0.309419661336813,0.159188295699398,0.159056445911335
164,0.295954424852627,0.150523323057404,0.150572597427743
165,0.298156471625642,0.149923734374669,0.14994145395619
166,0.300751009135395,0.154937979660733,0.155350733530409
167,0.295736543134109,0.154204676900616,0.154313012406098
168,0.285505786279478,0.14608870388043,0.145701559079254
169,0.295032345471404,0.147025950910907,0.146765047774632
170,0.300616475233262,0.146450565454036,0.145767246307217
171,0.303483461673437,0.142728416563712,0.142492633887506
172,0.291216877496,0.135285694011552,0.134896235647573
173,0.282769511108948,0.134177189168617,0.13410584792952
174,0.280165645338764,0.133261780272775,0.133172857343096
175,0.276106944813539,0.135562913246228,0.13569788592279
176,0.27840783624793,0.13244900043375,0.132457146703274
177,0.269207383218038,0.129723281861837,0.129726925711171
178,0.278253207538737,0.129156161489573,0.129178305966571
179,0.279299645765659,0.124874535654549,0.124541748238051
180,0.291309371158497,0.127196494337952,0.127464565958594
181,0.297901715261634,0.129586865872573,0.130049708419401
182,0.301151405587781,0.132257238312519,0.132661682010761
183,0.300382042805832,0.130832462912689,0.130879833585126
184,0.298116623216864,0.131206679862259,0.131429624833191
185,0.282303099158946,0.126149113254982,0.126283380912157
186,0.270958524590555,0.122148956214972,0.12174089417837
187,0.269554222171963,0.120544395126936,0.120266832820257
188,0.268262187491782,0.122072296883331,0.122243770213981
189,0.272185213458945,0.122719926320115,0.122967064997792
190,0.256651046379442,0.121504314360392,0.121789191172363
191,0.256303145769586,0.121363857763839,0.121440420954228
192,0.251071105872268,0.118346182183817,0.11826018994483
193,0.246586607593952,0.117952859153787,0.117576745330815
194,0.244268242754367,0.116790647170513,0.116584053700673
195,0.245900017753074,0.11990850933996,0.119861802610784
196,0.242054761192604,0.120801956129011,0.120887004910335
197,0.241346035441684,0.122240731494001,0.122214623477613
198,0.237945164904736,0.122801498997769,0.122689593301443
199,0.234556588100779,0.125280861189153,0.124981593849412
200,0.225708851744025,0.121442109067968,0.120972140120498
201,0.209573823556409,0.118807015956436,0.118530498494995
202,0.202003175884582,0.118335886408034,0.118037225073435
203,0.193179714754164,0.117572098329994,0.117251442348844
204,0.187740762499061,0.115343075149656,0.115150881520253
205,0.177162006395767,0.110704759095808,0.110781065836204
206,0.174980950166178,0.107903108845573,0.107898849659515
207,0.171792067316482,0.108108377159379,0.108069926871993
208,0.180575236223604,0.11422206208345,0.114118334583489
209,0.182159404472226,0.115785640364869,0.115827232959324
210,0.181612967149315,0.116072654913447,0.116076669366999
211,0.182893615825006,0.118288664022345,0.118243675847857
212,0.185909021046807,0.119158259851053,0.118836169832055
213,0.181906233780082,0.116296812572656,0.116097370264111
214,0.178345852346688,0.114375793492124,0.114525459330765
215,0.177831462447211,0.112199763655877,0.112197577783636
216,0.183190385529352,0.116347354607622,0.116446696948914
217,0.18306884577849,0.115571186308504,0.115867148183396
218,0.186500893904632,0.116860246445732,0.117033964686606
219,0.188291593285261,0.115429249984745,0.115658416020853
220,0.19200370096641,0.116912878375973,0.117109468532677
221,0.19171252564598,0.117207401325473,0.117438921338334
222,0.194108803108892,0.118979686269784,0.119215837155648
223,0.200353881659726,0.127362892754615,0.127551413083134
224,0.195188819734125,0.125994294568607,0.125617857024099
225,0.195664050104467,0.125430366555423,0.125551711129715
226,0.195193130717606,0.124013989238282,0.123947807958756
227,0.196069275817239,0.124409713439709,0.123928318606626
228,0.196678228243991,0.122589394754654,0.122513092250223
229,0.209616632059655,0.130408421852574,0.130517245642304
230,0.216910502609351,0.135934597584569,0.135613007043985
231,0.214307374344478,0.13425503392468,0.134399770154544
232,0.218093826961909,0.136663925413191,0.136819254373016
233,0.212767273282211,0.129115455627815,0.129054881011106
234,0.210679989084688,0.118494991522964,0.118516884682825
235,0.207215673547024,0.112229922612229,0.112520198077772
236,0.217545839872104,0.118504617593376,0.119193676021319
237,0.22135176178864,0.126333654421849,0.126806469935179
238,0.222691974880688,0.131548507649884,0.132044235549798
239,0.222026719105682,0.131063807760654,0.131501617494159
240,0.210558495675578,0.127392601526696,0.127490906476905
241,0.199246327851536,0.120238435113597,0.120174920158805
242,NA,NA,NA
243,NA,NA,NA
244,NA,NA,NA
245,NA,NA,NA
