"cutoff","block.mape","block.mape.0","block.mape.last","lm.mape","slm.mape","compare.mape"
60,0.26685002875788,0.0924760254000556,0.0910213350378076,0.0808385025020736,0.080838502502071,-0.12596513073053
61,0.224757333234108,0.0559026836192721,0.054337074082821,0.0433778073276637,0.0433778073276633,-0.252646858619987
62,0.161732868995959,0.0620261238525089,0.0639156382333658,0.0771422388993621,0.0771422388993622,0.171457308663953
63,0.174618314813218,0.114418673080554,0.107351835642849,0.0578839735789074,0.0578839735789076,-0.854603770359805
64,0.186713654943473,0.111419656066306,0.0987042505014891,0.0463209179320066,0.0463209179320061,-1.13087855137877
65,0.166889853194856,0.108703681830905,0.0925850075485528,0.0360088034376181,0.0360088034376167,-1.57117700978172
66,0.193910534773468,0.0970455371237365,0.0784404765085201,0.0644035772742114,0.0644035772742104,-0.217952167075188
67,0.221643780743521,0.0844261211948705,0.0681553121213564,0.0671345351422558,0.0671345351422565,-0.0152049459631711
68,0.204232384143722,0.068598247430495,0.0580120122571763,0.0667374690563705,0.0667374690563681,0.130742998237229
69,0.233376838989373,0.0629003228425547,0.0612204610146207,0.0546781794683232,0.0546781794683224,-0.119650683506894
70,0.223148712324791,0.0591946578824516,0.0562545025762033,0.0399481669590892,0.0399481669590875,-0.408187330192481
71,0.225914117378852,0.055433653877506,0.0525923553806339,0.040640170020336,0.0406401700203359,-0.294097818840746
72,0.239373580835263,0.0668405151712006,0.0643120971274081,0.0508158149921171,0.0508158149921182,-0.265592161365209
73,0.235575351811126,0.0673545516717052,0.0658508594369081,0.0572665232200011,0.0572665232199983,-0.149901473569969
74,0.234573674106346,0.0694072819361471,0.067753829057725,0.0585585209501712,0.0585585209501708,-0.157027670070054
75,0.214673910426767,0.061703284595141,0.0599174441915073,0.0495257970654515,0.0495257970654496,-0.20982291536515
76,0.208305081714303,0.0616080372754367,0.0597893780436131,0.0487651034330421,0.0487651034330416,-0.226068927049608
77,0.198175688440409,0.0586042576879016,0.0567800951741067,0.0468759345365891,0.0468759345365889,-0.211284547933373
78,0.195302277880037,0.0600264358955803,0.0585018260729352,0.0487972711916382,0.0487972711916361,-0.198874950264841
79,0.189909827427609,0.0596057953368362,0.058294457215896,0.050181143884318,0.0501811438843177,-0.161680517890974
80,0.181232957260523,0.0587437103937662,0.0573563783646048,0.0488415111745274,0.0488415111745255,-0.174336685850093
81,0.179009340248215,0.0603810494117045,0.0592021117787282,0.051689361547806,0.0516893615478058,-0.145344225696691
82,0.162357815726401,0.0551243730638517,0.0538492006539105,0.0456121048708275,0.045633362765502,-0.180590126380054
83,0.156954873395812,0.0545747988224484,0.0532874036934462,0.0453755537401221,0.0453635607569101,-0.174363711319919
84,0.149936518338183,0.0531704098203643,0.0521439288751835,0.045818485622339,0.045790796575401,-0.138054393700007
85,0.140932954601099,0.050900694241965,0.049979667674402,0.0444618660694051,0.0442646679338896,-0.124101889839342
86,0.133570940574371,0.0497691272133442,0.0488081566014878,0.0425254549388728,0.042537409754516,-0.147739787185015
87,0.126499901356101,0.0490851620831279,0.0481587052692424,0.0424572974051864,0.0424667342500496,-0.134285699102448
88,0.115182828991211,0.0453839871133878,0.044500716909073,0.0393160115750256,0.0395015693087975,-0.131872616940138
89,0.10729867231562,0.0440324444330656,0.0432619696781181,0.039161071187196,0.0393275411038478,-0.104718751724619
90,0.102572042109122,0.0445510534059896,0.0436534894642476,0.0389891506838684,0.0394369166808688,-0.119631710323689
91,0.0933177653614343,0.0420143948549468,0.04127060708017,0.0369364783823494,0.0377104057281393,-0.117340062930626
92,0.0887235069464778,0.0423654216226674,0.0415979180229171,0.0373931424249477,0.038352689193287,-0.112447773182178
93,0.0824289984597552,0.0410589485629745,0.0402538772617349,0.0357353213250126,0.0374036762961157,-0.126445090436603
94,0.0762697239469731,0.0401192083516189,0.0393885160025443,0.0356671912345927,0.0381284589245779,-0.104334673943778
95,0.0710437788627815,0.0394256611372814,0.0386167765184785,0.0350837972047161,0.0382910947742352,-0.100701166784976
96,0.0669405750253814,0.0383455564386389,0.0375936957109769,0.0354129114837411,0.0395188204749389,-0.0615816134812031
97,0.0628199693258115,0.0381582169053463,0.037412831470787,0.0352888892940698,0.0401245147729413,-0.0601872776164174
98,0.0599436959063156,0.0377566932650018,0.0372716710037508,0.0359421263477643,0.0414483326805214,-0.036991263208032
99,0.0564692914296899,0.0375819980302499,0.0371446570663461,0.0357449568871033,0.042661774638896,-0.0391579764290555
100,0.0562070535870085,0.0382057018166067,0.037727391660904,0.0360424207531013,0.0445500908317475,-0.0467496597785462
101,0.0554452641579287,0.0374658126785668,0.0369826826223557,0.0357446210566383,0.0453445148405176,-0.0346363041240709
