"cutoff","block.mse","block.mse.0","block.mse.last","lm.mse","slm.mse","compare.rmse"
60,2.95895562790113,0.355354857098723,0.344262998419003,0.364204646697311,0.381138030779996,0.0277623564433561
61,1.75976687247931,0.122898740201736,0.115034715926502,0.187574314013692,0.218715664958881,0.216880967860255
62,1.17628848478189,0.196572322075386,0.219483274448145,0.466173486966326,0.472795906079373,0.313837577395438
63,1.53285765079339,1.02348460317534,0.883075553580427,0.390657479665721,0.415699838191143,-0.503491091575435
64,1.66167247495141,0.893541723553399,0.676313929804387,0.175659939462495,0.21320569751263,-0.962175288300255
65,1.61583575670752,0.81680934462143,0.586454892444637,0.191390494927538,0.210555544059234,-0.75047988299568
66,1.90739436985285,0.567389447506154,0.362022709900128,0.275923393337431,0.257869863568162,-0.145443431880143
67,2.28765521960064,0.423314701082936,0.283702017495992,0.436587064370093,0.42177851262709,0.193887268770314
68,1.90887691219233,0.27882858829692,0.20049785617663,0.562358804750326,0.597013857080244,0.402898562071062
69,2.42719071939128,0.18474987500403,0.173477210559291,0.442545567627272,0.472714481827868,0.373902142778769
70,2.31635636868668,0.189907081432558,0.176058658779831,0.317844138655277,0.357607447002254,0.255745291267258
71,2.52069656577144,0.212421799443006,0.196161651167664,0.251449765125073,0.291204954084111,0.116754492588424
72,2.56369658358525,0.241060015846745,0.223401342138525,0.211515715315159,0.232269305293879,-0.0277123341619523
73,2.466629270172,0.241212054076424,0.226454422676763,0.214155135684013,0.222721373605055,-0.0283149661392679
74,2.31935955002224,0.221250067231175,0.211271686571292,0.262319916009018,0.282293746208608,0.102560837586194
75,1.87388748441704,0.171309119928551,0.16134838027678,0.2370154318895,0.262813279109642,0.174923926254205
76,1.71304207147999,0.162571901343244,0.153739604151075,0.215362669841049,0.243819105347002,0.155095416708046
77,1.5104675176442,0.144491402364181,0.136484459000726,0.177182887620113,0.19841830970124,0.122331091567307
78,1.42235683060454,0.143931257508001,0.136363940361294,0.162471604561226,0.178348606626727,0.0838617070494762
79,1.31145192188254,0.138535926983287,0.132544347555558,0.166361239009414,0.180090874834627,0.107404829432115
80,1.15730263161188,0.127897237814252,0.122745542778412,0.173087189559092,0.185543707143149,0.157886940990894
81,1.11383060718579,0.130019125353083,0.126429593304438,0.179685048175791,0.197813567760904,0.161180727300588
82,0.896709818946634,0.108814515948258,0.104806370038004,0.156331705078263,0.171253515096323,0.181214190176889
83,0.822957321839021,0.106913426219307,0.102628431570782,0.140143983642673,0.156374252407118,0.144250573516677
84,0.728189176307586,0.0982494548428533,0.0951888200114985,0.12645594163328,0.137562414331018,0.132392391943873
85,0.620532556455532,0.0857350698900368,0.0830781759722033,0.119152448523151,0.129923599183922,0.164989395976536
86,0.540453480832218,0.0777681241208087,0.0752480232128385,0.108775896178584,0.120184030293019,0.168272209735422
87,0.472131236672593,0.0743011795990768,0.0717859562829823,0.098148404985166,0.108048479867295,0.144779461818132
88,0.385845234283114,0.0639740295072761,0.0613985441880629,0.0880742003186401,0.0972054260296856,0.165061124686508
89,0.331139886254053,0.0602582659351534,0.0579033585865308,0.0813371781522824,0.0903716899568957,0.156262548455653
90,0.29555389185582,0.0628386179742242,0.0599327111892867,0.0768561895687003,0.0853723637389542,0.116935272923289
91,0.241274069433421,0.057681399925806,0.0551092459413083,0.0693619936285221,0.0771131749900789,0.108643469537757
92,0.212519660114489,0.0623080313551363,0.0588799877173662,0.0685157113586241,0.0763138628561659,0.0729807132026061
93,0.183459299325955,0.0561544904932976,0.0526526420102304,0.0614876237467747,0.069984475562711,0.0746282666981295
94,0.163302537852807,0.0522717482114088,0.0489797512727351,0.056627796868706,0.0657150752826136,0.0699775013384141
95,0.142803335385103,0.0490324575505069,0.0456414859002163,0.0565095069035188,0.0675819663693838,0.101290922052843
96,0.131108467712513,0.0451664304949543,0.042848142407777,0.0599626534706987,0.0731599391395068,0.154671370520585
