"cutoff","lm.mape","slm.mape"
53,0.0493486322452164,0.0493486322452113
54,0.0206647539810081,0.0206647539810078
55,0.0286939671981923,0.0286939671981909
56,0.0876660437404843,0.0876660437404851
57,0.0652242003162603,0.0652242003162612
58,0.0542068866953403,0.0542068866953339
59,0.0857359331160727,0.0857359331160727
60,0.06897859280632,0.0689785928063184
61,0.0651128585766319,0.0651128585766301
62,0.0693790243287757,0.069379024328776
63,0.0744842038677438,0.0744842038677439
64,0.0719486064617677,0.0719486064617677
65,0.0794024937427598,0.0794024937427575
66,0.0900579817424211,0.0900579817424226
67,0.0850904463703945,0.085090446370395
68,0.0805386617179011,0.0805386617178972
69,0.0812514849670338,0.0812514849670332
70,0.0686164049757993,0.0686164049757969
71,0.0690269281727069,0.0690269281727078
72,0.0763122650235947,0.0763122650235967
73,0.0805548282714153,0.0805548282714122
74,0.0750040707573042,0.0750040707573037
75,0.0667170050288755,0.0667170050288738
76,0.0655538845741397,0.0655538845741392
77,0.0651657206235211,0.0651657206235207
78,0.0638109869062123,0.06381098690621
79,0.0643102498143737,0.0643102498143734
80,0.0632951521106939,0.0632951521106919
81,0.0648673517733159,0.0648673517733157
82,0.056829625406228,0.0568426905299496
83,0.0557666281407241,0.0557590376450195
84,0.0550158935926885,0.0549976792638759
85,0.0543375532464822,0.0542029145194746
86,0.0528252273882852,0.0528337129633103
87,0.0538131403523318,0.0538199519964792
88,0.0500226137209624,0.0501607950120687
89,0.0478231325862736,0.0479503442912883
90,0.0458382304956245,0.0461872285762386
91,0.0431202447429858,0.0436997023822378
92,0.0430482460655022,0.0438059168202617
93,0.0412207155853462,0.0425825403397375
94,0.0394636019814026,0.041550767244376
95,0.0391306650580082,0.0418602632702839
96,0.0397205050077971,0.0433415889093485
97,0.0388853873037109,0.0432196220105264
98,0.0391786519248032,0.0441091706414948
99,0.0389440875352241,0.0452036177631664
100,0.0402761231181239,0.048022122922353
101,0.040343376220419,0.049000761205909
102,0.0381972301655097,0.0483850063834497
103,0.0372265050026443,0.0478143013181797
104,0.0390935366714707,0.0487403906757014
105,0.039256472603925,0.0489348071869809
106,0.0390245034673999,0.0486177429952324
107,0.0378999303019434,0.0467761728170552
108,0.0371887473706527,0.0453802359773072
109,0.0351652302949869,0.0423703555129917
110,0.0354681534205997,0.0409847208690839
111,0.0362531608560334,0.0419597249056896
112,0.0376529794360254,0.0420018805224367
113,0.0371215109538235,0.0425289355003553
114,0.0368684810327497,0.0421319332708678
115,0.0361301608957128,0.0418022333129516
116,0.0353245964842589,0.0418419225699521
117,0.0366651368267967,0.0429408940623857
118,0.0370560472518858,0.0434142002467917
119,0.0368374395806877,0.04404196826342
120,0.0378033523779289,0.0448292403002975
121,0.0377329874217522,0.045031881086019
122,0.0359823537851077,0.04381764628025
123,0.0364516075299754,0.044749738843249
124,0.0367482025277963,0.044997904011978
125,0.0363986721493663,0.0452190746534237
126,0.0368249821087492,0.0457927886001581
127,0.0372795702679962,0.04597336722387
128,0.0373128185062392,0.0440393819088635
129,0.0388896717626504,0.04476018239084
130,0.0382884215208454,0.0456759907242947
131,0.0381370422585262,0.0463657173791304
132,0.0378478383172447,0.045828289387073
133,0.0388142626050155,0.0463017625718911
