"cutoff","block.mse","block.mse0","block.mse6"
51,NA,NA,NA
52,NA,NA,NA
53,NA,NA,NA
54,NA,NA,NA
55,NA,NA,NA
56,NA,NA,NA
57,NA,NA,NA
58,0.595527045577882,0.619835802252741,0.595527045577882
59,0.670390675539497,0.726316415606384,0.670390675539497
60,0.203303885685907,0.243999683483472,0.203303885685916
61,0.264547625393008,0.338944496013758,0.264547625393012
62,0.232250950701149,0.175343722145146,0.232250950701149
63,0.287436302960219,0.220270154234941,0.287436302960217
64,0.24073057236113,0.278766712080408,0.24073057236113
65,0.458102604241721,0.887549643397557,0.458102604241721
66,0.37928787448747,1.1487728504636,0.37928787448747
67,0.145369338949904,0.41063055456028,0.145369338949905
68,0.200804120820064,0.267288374242619,0.200804120820064
69,0.239464377792152,0.257442594860268,0.239464377792151
70,0.271141617363046,0.27118268436236,0.270506692657994
71,0.426383425015028,0.413413643235786,0.429130561288638
72,0.393882187900268,0.405130355199879,0.405139023444928
73,0.347280977579528,0.331613371247322,0.344745243619651
74,0.379502312014541,0.380534807296349,0.380629417458315
75,0.370373981161788,0.386310481821799,0.368510246116485
76,0.394307655135362,0.406887087015099,0.38485598260391
77,0.355063601240538,0.36229078408484,0.351737095846064
78,0.314897108717368,0.315145865005699,0.309675468028607
79,0.283208851717797,0.285259065322064,0.280033033908048
80,0.26146594004713,0.263052387261235,0.259390108165639
81,0.260140767177834,0.268433974621658,0.262959286893157
82,0.244727614095908,0.254067474175656,0.249368459880399
83,0.225334225214948,0.23353669601672,0.23010593491896
84,0.209809903832802,0.210047904426893,0.209034723171855
85,0.190869159927401,0.192733306204292,0.19104210874683
86,0.165587992245066,0.168921200019208,0.168434345010401
87,0.144190260204992,0.145700189656256,0.143569771962367
88,0.122659107048015,0.126264495262339,0.123595445827807
89,0.105861500213798,0.108986872427787,0.107209249978874
90,0.0928940679111008,0.0963936233340482,0.0956666599240715
91,0.0837265720992707,0.0810801973278768,0.0798965692062354
92,0.0780431291694107,0.0750204840723842,0.0732516833090618
93,0.0584916113851543,0.0601113080066674,0.0580162444559519
94,0.0544986479702201,0.0526215276609236,0.0500615569674392
95,0.0462963258668777,0.0455360640175543,0.0428960820606201
96,0.0406277115919463,0.0410669267978224,0.0386366105886641
97,0.0421688740697124,0.0396432518160879,0.0382230867175177
98,0.0365483210463645,0.0372747313059577,0.0373660255001215
99,0.0390577111970988,0.0343929299418732,0.0358228725306624
100,0.0380314555684136,0.0341991836195227,0.0362402250390596
101,0.0402947788345709,0.0341845672242957,0.0360830103975605
102,0.039931976990364,0.0358329928599818,0.0365321697338421
103,0.0410992836492773,0.0372390773936904,0.0370503713014858
104,0.036876453290879,0.0358707921804516,0.0355497538755213
105,0.0408425844375202,0.0422562044754742,0.0436007497963631
106,0.0414071549690887,0.0447937897210644,0.0454641548224708
107,0.039428770704159,0.0399667843854927,0.0405615402595757
108,0.0350953675403947,0.0368297701910773,0.0352324363684189
109,0.0311345688399356,0.0317259725822038,0.0304014155569875
110,0.027388368119261,0.0273055302881533,0.0265672121400301
111,0.0267577423015273,0.0295637631759854,0.0290017762516991
112,0.0248091503967038,0.0295902617183043,0.0291543210140188
113,0.0249394832338484,0.0288609017992807,0.0295233656128889
114,0.023689309189928,0.0286319154854856,0.0283826939415413
115,0.0237347076445879,0.0277251463598326,0.0268402251618491
116,0.0224703097941161,0.0269246031589732,0.0262030580088227
117,0.021907237115513,0.0271001478268365,0.0261399179430143
118,0.0209196537293104,0.0237748217820214,0.0229230233046513
119,0.0189686642218128,0.021926035839531,0.0209581974524518
120,0.0165152882300306,0.0188285960847803,0.0180399691007526
121,0.0161464036807364,0.0184414038736181,0.0182521258232485
122,0.0149094217401568,0.0170838238488953,0.0166797760827499
123,0.0151123681451685,0.0162463499509175,0.0157173694556277
124,0.0155817687040606,0.0156856975122075,0.0152560109796843
125,0.0149420571875431,0.0153029864222237,0.0150134574954494
126,0.0140529864638812,0.0152114596302779,0.0152911681297387
127,0.0154898578619204,0.0159971465971636,0.0157101680396861
128,0.0143196780524161,0.0150536883295041,0.0145514098887979
129,0.0130132958523566,0.0139092705125987,0.0135167440960075
130,0.0122666335409174,0.0122036684674282,0.0119090670919901
131,0.011503445687131,0.0117221688351652,0.0113192966276765
132,0.0119439786102635,0.0132943088414683,0.0127428900890101
133,0.0126635427581991,0.0152103672596295,0.0149005307254206
134,0.0143481138364614,0.0169794616054962,0.0170809163695285
135,0.014098072350642,0.0159118905218056,0.0155742624261484
136,0.0133079639496327,0.0145332104142458,0.014223302501279
137,0.0130763685396321,0.0134986551724443,0.0134481944716455
138,0.0126905316156848,0.0130624624331729,0.0132189285334252
139,0.0118716636347546,0.0125605148015363,0.012401884163305
140,0.0115697966486947,0.0119086586523251,0.0115042465420535
141,0.010757447553624,0.0114084888898558,0.0109999240766039
142,0.0102654687651366,0.0113723203491902,0.0109914064721849
143,0.0107085166979357,0.0113891040039413,0.0111671596175057
144,0.0101823256124181,0.0113644520820493,0.0111175219104366
145,0.0102691615600048,0.0115273450668472,0.0112044944880588
146,0.0108998303745738,0.0115370511378497,0.0112210945085902
147,0.0131744733985301,0.0134205180854118,0.0129238086345386
148,0.014145974210361,0.0142941532148857,0.0137327493636348
149,0.0140086934697339,0.0136592472396334,0.0132080317522144
150,0.0137776249000669,0.0133920906419177,0.0131363295562272
151,0.013207822675204,0.0136337068217196,0.0134999904971804
152,0.013209021068984,0.0132407257991613,0.0132093552252312
153,0.0133069024225456,0.0130009826044858,0.0132505700919969
154,0.0133736620121135,0.0117934643952538,0.0117382317560689
155,0.0129060546425482,0.0118958575137271,0.0120686446101365
156,0.0137640763625769,0.0122164816568954,0.0124254539708521
157,0.0142174367808652,0.01362617442105,0.0134795475986628
158,0.0139513715277654,0.0126140800985716,0.0126252465046913
159,0.0142913661346681,0.0126148730553922,0.0140689797166694
160,0.013968179412813,0.0121925962023613,0.0125881964202192
161,0.0119160890899347,0.0113462520704283,0.0111594042257298
162,0.0108008840131163,0.0104302750656713,0.0102292711501946
