"cutoff","block.mse","block.mse.0","block.mse.last"
305,0.0945359403044665,0.0198000197590405,0.019778534111276
306,0.0968490925001786,0.0203513832829019,0.0206042235536402
307,0.0967590084193318,0.0202838768105279,0.0203213810352817
308,0.101671881853878,0.0214306340370702,0.0213587423593582
309,0.0976639901068316,0.0203063126002792,0.02046353191788
310,0.102983396626672,0.0214508296127929,0.0215297410611267
311,0.0887997655640429,0.0192596057920863,0.0194183944914663
312,0.0859590877175144,0.0184527330261999,0.0186371377777777
313,0.0879050672892487,0.0193224049340243,0.0193640258515186
314,0.0918031240467087,0.0219860818667231,0.0220006631620869
315,0.0904755995006434,0.0220049945664353,0.0218487188814153
316,0.0935264460966261,0.0235618885324998,0.0232982280205119
317,0.0754859984313835,0.0219108213156439,0.0215973938761838
318,0.0647350005591942,0.0183337701191723,0.0181409016425246
319,0.0534600569364439,0.0175680486032818,0.0175199758960544
320,0.05004864134899,0.0178624315164868,0.0178215066142977
321,0.0460155895077328,0.0196271380775199,0.0197405774861545
322,0.0434095095597695,0.0209912074844432,0.0213637339559375
323,0.0410545902791883,0.0213374110380385,0.0211544022130374
324,0.0464791321501802,0.0204002277951622,0.0201831358464261
325,0.0449495877678178,0.0203546332714162,0.019894088875455
326,0.0512159450217728,0.0252882187062717,0.0255805831606036
327,0.0546930641168761,0.0307461098223919,0.0306712220620074
328,0.0667165968015898,0.0401413833997514,0.0402552817615918
329,0.0714138934396085,0.0450280699285676,0.0453331418254648
330,0.0822866202193572,0.0547624669956252,0.0553720361832295
331,0.0951072019693163,0.0659674198895673,0.0661345889999781
332,0.175959205698612,0.0358747670531732,0.0380061152868943
333,0.138576941053295,0.0285448359712745,0.0294257400174693
334,0.136455087059461,0.0322521215087466,0.0322680872887847
335,0.113835481299621,0.0292944919198466,0.0294977760209787
336,0.114975550503939,0.0327012164439768,0.0325315917838525
337,0.102778109484339,0.0300091635656762,0.0301581899984645
338,0.106016861129372,0.0325871791821734,0.0326406632071881
