"cutoff","grf.rmse","lm.rmse.windowsize=2","lm.rmse.windowsize=4","lm.rmse.windowsize=8","lm.rmse.windowsize=16"
67,0.528487313351766,0.666298513438031,0.66074735290434,0.488826649432281,0.540179954496729
68,0.480825772710009,0.672507703669814,0.749905863925818,0.68266717670219,0.68133619020233
69,0.426460139962682,0.552002521747433,0.665240984626829,0.716340207308245,0.675461092363739
70,0.446887024630395,0.409270406130569,0.563776674451221,0.728924758027258,0.688533041950592
71,0.441358737924003,0.391285122075314,0.501447669378444,0.800456185701144,0.792631033577177
72,0.482227295824738,0.398068564732923,0.459908377087391,0.759280564789593,0.784491135716887
73,0.484681584365066,0.422448785479246,0.462768987383568,0.690698956434357,0.760369168707392
74,0.467084288769437,0.432212695185,0.512171764166102,0.686945921406528,0.774647748912473
75,0.420616727813136,0.363311233975419,0.486842307004537,0.65742832500241,0.75920440643276
76,0.398108604187356,0.341873789737156,0.464071836940197,0.656042057345096,0.764090455137293
77,0.375718772373969,0.328567520289852,0.420930977263628,0.641744970294115,0.758790272397595
78,0.368859819708142,0.329201078581972,0.403077665669069,0.609285095188544,0.741973340148159
79,0.363519956829637,0.355291206732199,0.407874047972427,0.582044209667275,0.733077695537733
80,0.356851942513881,0.336942976332109,0.416037485761911,0.560579656720646,0.724834715878606
81,0.362903851095615,0.348365008263897,0.423892731921404,0.556262292765052,0.718879937202342
82,0.326984509105731,0.301670914768633,0.395388043671357,0.546353063330159,0.709990415037933
83,0.324827705696637,0.295183948803664,0.374358095468327,0.533221871737216,0.699543511558177
84,0.312089883309171,0.290866377062324,0.355606442058183,0.515035328858168,0.684279801704632
85,0.295212005858314,0.277168732173672,0.345184658586027,0.50058177594434,0.672372092458682
86,0.277202877629013,0.257336761780248,0.329811910304319,0.479267230273818,0.655197030317984
87,0.271270238492116,0.251864841194675,0.313286458349489,0.45392646178678,0.634422466868732
88,0.249527475742615,0.231496671156782,0.296772977743325,0.428765258438841,0.613872960279037
89,0.244827979603738,0.226215834020718,0.285196735872419,0.41099859381134,0.595029036717419
90,0.248112315552751,0.227279686623094,0.27722948899549,0.399112408766206,0.578805788157942
91,0.237338485818398,0.215071869839918,0.263366652461017,0.379986690908109,0.557427436139191
92,0.243336177406653,0.216707219106376,0.261755059852955,0.365852845202063,0.538271242513116
93,0.229102189532042,0.205006174911794,0.247966981162361,0.346698194383918,0.518286737412507
94,0.22232733054672,0.202028285773228,0.237965957373541,0.329763498308733,0.497460357061924
95,0.213102926845495,0.211633292148498,0.237717283560785,0.31620066097817,0.476857540643288
96,0.209670120116233,0.223227210590365,0.244872729128212,0.3087475553999,0.458796401161581
97,0.207488086633687,0.2233619313435,0.252564751132569,0.308015814142921,0.444148909339449
98,0.209856238073152,0.224185228435091,0.257327185072846,0.312046010417282,0.432957871690094
99,0.212498613274004,0.217027460788379,0.256215581343257,0.31411950978483,0.423979825389156
100,0.2182574544812,0.216397906822292,0.252433521597652,0.31684299957149,0.417925758988577
101,0.214430671262463,0.209819657243502,0.244202990795123,0.316617864377037,0.412760194696843
102,0.211484306901016,0.210964096803695,0.241151852738004,0.312801306142461,0.409082822130847
103,0.205472866141455,0.212586185604868,0.244714019871011,0.306046420013901,0.401284630481878
104,0.207309625780483,0.226318239215857,0.247123730500614,0.298263087462467,0.390539010609935
105,0.219269485839267,0.235980158522096,0.261939885815368,0.317361008570651,0.397760499219936
106,0.221165510569156,0.226107198914763,0.261108142751304,0.31924490085783,0.389022543937981
107,0.213160861429473,0.218513582044547,0.250811233620363,0.30979149290659,0.378328203215695
108,0.196928362524045,0.296017241325114,0.252453369629981,0.30635360810927,0.366269565883782
109,0.194089411730623,0.235349117054269,0.270740746212478,0.300765043011412,0.356395579600671
110,0.197586186391856,0.220920363498694,0.27300482079619,0.29790636379791,0.348684212222727
111,0.201657969127953,0.223091478468758,0.252343347591853,0.30182437133536,0.346669572578817
112,0.208500634505599,0.229313915646998,0.252533277595945,0.306385679228907,0.345970828422893
113,0.211683591399505,0.222921327993314,0.253610521890127,0.308578684744627,0.349143121338723
114,0.213259495412907,0.225324649175064,0.255958844210531,0.31255918605989,0.356922556660645
115,0.202322848192486,0.210902660016313,0.243082268490164,0.301854381406417,0.35896048517017
116,0.207285248592043,0.215852051780174,0.236782452126483,0.293796453063694,0.358692137085616
117,0.208324599751435,0.219662577945039,0.238532031759375,0.288593566393535,0.357852677160732
118,0.208818969579431,0.220099579619152,0.244024372726675,0.287995379874276,0.358598614583303
