"cutoff","block.mape","block.mape.0","block.mape.last"
67,0.318791886112578,0.0817671100552779,0.0772628517037522
68,0.323962481924152,0.0856221942984317,0.0839202600408534
69,0.326482026594754,0.0901539749229035,0.0882460006990165
70,0.298217680498286,0.0778711205462621,0.0758698603762127
71,0.299100255629476,0.0759228272907118,0.0744133081832303
72,0.307018434109412,0.0854878392970975,0.0838731833070512
73,0.307480250199024,0.0910177641766315,0.0892880361536234
74,0.290795215283411,0.0868024514311901,0.0849439007482183
75,0.267888246118244,0.0802725290114834,0.0782277474721575
76,0.252330049917146,0.075643480787546,0.0739582703054872
77,0.24758160863521,0.0749338319729052,0.0733987556538861
78,0.232748389350237,0.0709909447945501,0.0698758927905008
79,0.229544498288922,0.0732744309929973,0.0719641509505657
80,0.220556809586503,0.0714031216979203,0.0701923656566111
81,0.218329362951953,0.0746484194978788,0.0732907509696931
82,0.196746764126698,0.0659588673979497,0.064730524950632
83,0.185919532900797,0.0635186834908207,0.0623419769445615
84,0.177330707828832,0.0625488865368347,0.0614850139022095
85,0.166314827333591,0.060075873599198,0.0592059014090934
86,0.15844416123014,0.0591529146036051,0.0582892463921793
87,0.152005319739146,0.0592515034393861,0.0584347954683764
88,0.13740716721832,0.0552049023713093,0.0543613020529409
89,0.130251899078603,0.0539635025488417,0.0530040360284252
90,0.119926346920864,0.0512278534530067,0.0503976770661466
91,0.108074751490414,0.0479923722127751,0.0472254090906706
92,0.104128577531794,0.0486304590421334,0.0476848806170824
93,0.0954572767933028,0.0463848988305781,0.0454171503519018
94,0.0877588199173525,0.0442378561674567,0.0433752568794973
95,0.0819706252140286,0.0429758616567193,0.0421647971450154
96,0.0781869926462878,0.042927783172759,0.04195907303711
97,0.0725072401363057,0.0413090059753219,0.0406030651827522
98,0.0687177173591992,0.0414242327271869,0.0408471755800935
99,0.0657351660665943,0.0411303775685368,0.0406513403523099
100,0.0646145941360427,0.0421565167035247,0.0413685222181171
101,0.0651385700475218,0.0412904749844716,0.0405171977589262
102,0.0629656383331268,0.0391017627869575,0.0386237905578778
103,0.0611926074086246,0.0371159167963072,0.0367352584694367
104,0.0613515764437758,0.0379513745941601,0.037743509376435
105,0.0630099308806586,0.0385062175945156,0.0383107322903584
106,0.0618784461949416,0.0380587894595171,0.0377179784535159
107,0.0609735820697416,0.0366236301955137,0.0363394794214614
108,0.0586795530262985,0.0345976058957452,0.0342819182755911
109,0.058000476244232,0.0328647122372745,0.0326803096461165
110,0.061148929306208,0.0335336247720063,0.0334776796084134
111,0.0621862764880576,0.0344927789057132,0.0343711373117136
112,0.0635302943943795,0.0352928406775676,0.0352775266880803
113,0.0626934385325971,0.0358820083121473,0.0358181338260873
114,0.0633744467851851,0.036056727073344,0.0359783061171456
115,0.0627211645166619,0.0353193775876412,0.0351592624250402
116,0.0607490034274614,0.0346086841323995,0.0344240442739107
117,0.061736583543757,0.0353849956362585,0.0351662553891989
118,0.0597821336571442,0.0355727190265572,0.0356393673482988
119,0.0601111458614327,0.0358458757961038,0.0357607946727833
120,0.0598611240826166,0.0371586245872623,0.0370004948828126
121,0.059742662288953,0.0362522387103665,0.0361227873401763
122,0.0565048722523167,0.0347632209721439,0.0346169780810481
123,0.0565685492102264,0.0347012627963096,0.0346415373258485
124,0.0570243793504498,0.0353951011737845,0.0353975250192512
125,0.0566896100056012,0.0352989832815567,0.035073656537012
126,0.0570901608854306,0.0355831297336023,0.0354656426209923
127,0.0597551854142936,0.0365998377436285,0.0363832254424367
128,0.0598938452762569,0.0366950087834452,0.0365998314514887
129,0.0603789542659955,0.0365727557678237,0.0363617075831783
130,0.0612498244466304,0.0370305011831824,0.0371206061818191
131,0.0629183308146356,0.0383449928672098,0.0384961823456152
132,0.0639507030212543,0.0398033192588444,0.0397405897261439
133,0.0647972490771018,0.0406900113132704,0.0407308525182699
134,0.05976217281265,0.0363487496504695,0.0363251633304666
135,0.0604437919323235,0.0358936672662201,0.0358189695880161
136,0.0618929777967297,0.0357376462052403,0.0354716126406286
137,0.062729722986591,0.0363816437664129,0.0364958951941256
138,0.0644960201211407,0.0380489985177109,0.0380694166363275
139,0.0674114892630778,0.0410704297259657,0.0410295281173943
140,0.0652630685663847,0.0403510593488907,0.0403078806920612
141,0.059270320169352,0.0370413028039045,0.0369518694251788
142,0.0600246330390751,0.0357502979176987,0.0356247839323357
143,0.0574581408637741,0.0348735896626742,0.0349119746206695
144,0.0595455555498878,0.0350372624126234,0.0351206111555729
145,0.0593031659962521,0.0364776261345296,0.0366109712850728
146,0.060613420787655,0.0377487884164568,0.0377350623590414
147,0.0605014724408474,0.0389614845632045,0.0386774456895223
148,0.0629669463483168,0.0408751362894628,0.0406594199271725
149,0.0604792213127811,0.0382245627371987,0.0380859549019759
150,0.0608478029462523,0.0375726340834174,0.0372214753500482
151,0.05826227601233,0.0349031096146458,0.0344826091268858
152,0.0581954211854826,0.0347712038066772,0.034657186095297
153,0.0591563192433277,0.0355534089257689,0.0356193171057916
154,0.0584432426808464,0.0354234213289332,0.0350646464574411
155,0.0592009213101199,0.0354318624811875,0.0352083600748992
156,0.0616409540285934,0.0365405234756422,0.0365468279300917
157,0.0624710023888573,0.0358944918949295,0.0358561596854758
158,0.0628202378878911,0.0363152760767593,0.0362438832501066
159,0.0651579634060562,0.0383030925099261,0.0381954820250496
160,0.0651361721031285,0.0371459841708629,0.0370680429256428
161,0.0659917642381895,0.0372832269767028,0.0372228238668082
162,0.0683972930348488,0.038127846120748,0.0381144619462994
163,0.0695887518388298,0.0368345813207779,0.0369055745807254
164,0.064486407564358,0.0340909186662831,0.0341538061390879
165,0.065888587086561,0.0344265693208421,0.0344023067016796
166,0.0657947902951034,0.0348764908275063,0.0349193033541398
167,0.0660852412790511,0.0349037278507941,0.0349898195336357
168,0.0633929372307379,0.0327865218375936,0.032859011132249
169,0.0651359003684342,0.033349799495481,0.0333679130770186
170,0.0655456645141675,0.032815017670964,0.0328020380036274
171,0.0661528296637049,0.0320854271118442,0.0321761764474449
172,0.0641628732783241,0.0311299502534648,0.0312152759189504
173,0.062840343442521,0.030804905654242,0.0307923805039933
174,0.0616765105976165,0.0307347103320631,0.0307350069156461
175,0.0603667332677642,0.0309549695704493,0.031020608585741
176,0.0612186665706655,0.03008864256553,0.0301551161277917
177,0.0593306727857377,0.0294001563594605,0.0294147317193839
