"cutoff","lm.rmse","slm.rmse"
67,0.472885254132052,0.950851070797649
68,0.597867826140545,0.772200749576221
69,0.551594244998079,0.708927434266507
70,0.558118720245252,0.652325662478981
71,0.627052120514613,0.62408904902917
72,0.629235904035339,0.533300195914098
73,0.629958033683312,0.489923877862494
74,0.66959926599699,0.448551633398153
75,0.665379822750728,0.407003680789138
76,0.685167266788347,0.385663515591646
77,0.685984723637534,0.377658883674605
78,0.678500190727236,0.39111398151513
79,0.676373887130838,0.407733327703549
80,0.669980691574512,0.418425674002385
81,0.665025368410267,0.432926736850899
82,0.657093069012303,0.451230187209303
83,0.645946953930386,0.478141817525864
84,0.631141180984256,0.489064877481825
85,0.617996782025333,0.491243112113992
86,0.60348300428523,0.484452976126007
87,0.585339941779394,0.48402543332512
88,0.569474915697619,0.485185262570888
89,0.551952016143372,0.487274936484228
90,0.536606534230269,0.490980882000714
91,0.516731686025101,0.490968631914316
92,0.497886584604715,0.487719238717355
93,0.479081303677597,0.484130788107593
94,0.459767631089264,0.474404745524788
95,0.438915279412627,0.461832894287471
96,0.419595335918456,0.449974279634258
97,0.402477734292351,0.435906298398569
98,0.387518207968484,0.424599607921519
99,0.375094567975348,0.414395994199022
100,0.364524764022064,0.40230223529748
101,0.354192041540725,0.392627140481637
102,0.340868853959902,0.384224953562269
103,0.325356699397338,0.36965511629233
104,0.309368889664058,0.356078684462399
105,0.302954605964505,0.345845568805993
106,0.292733073545381,0.334314141716791
107,0.281221239341052,0.325186611035702
108,0.272028753161656,0.315294797750388
109,0.263395089077092,0.305022997082041
110,0.256132558450146,0.296135728974591
111,0.25347564680323,0.290942650771826
112,0.252409906709392,0.284962157505803
113,0.253465008728399,0.283049402046707
114,0.257361814693509,0.284234539513693
115,0.258386350546127,0.284231705292068
116,0.259219743924677,0.28478287082895
117,0.260839373304145,0.284569571145783
118,0.262879791624263,0.286673966255812
119,0.260592019880164,0.290655205309064
120,0.261630319730456,0.292788443960545
121,0.261218968448396,0.295254280120967
122,0.26074773235709,0.294171005195142
123,0.261873535183407,0.29513631547224
124,0.253514513082763,0.289907568291947
125,0.250441851219598,0.286873170967576
126,0.251794758899961,0.288057618368329
127,0.249341959340564,0.284454698974747
128,0.247196377658127,0.282156530256022
129,0.248556158108564,0.28676784123675
130,0.250303912193451,0.289346867628319
131,0.25052205643049,0.290480380546573
132,0.250696474234814,0.289310645837826
133,0.252602356926011,0.2910335906947
134,0.253644048433376,0.28675211227695
135,0.250455214298891,0.282157262554647
136,0.243157816016596,0.274921740350874
137,0.241064491329969,0.27103866555475
138,0.237890057978325,0.266758573410047
139,0.240314653261308,0.263267600509888
140,0.244967572627453,0.264084181983144
141,0.246795389671838,0.268154383624507
142,0.249396326817284,0.273133913760371
143,0.248552864186217,0.276997536084844
144,0.24858717932488,0.279006751133551
145,0.248631594346275,0.279761917777898
146,0.247552201509959,0.28339970788868
147,0.245897756760614,0.286255301372949
148,0.248961488565016,0.294704893653216
149,0.249796027614582,0.29943184094347
150,0.251661603653417,0.302652769900934
151,0.25364151559954,0.307936420885196
152,0.254375464623528,0.309103708167515
153,0.252823977846641,0.309071069395664
154,0.253021160399404,0.308146022726121
155,0.250087546532771,0.305544360491056
156,0.247062069091503,0.302894642243905
157,0.24288569277652,0.295643652973228
158,0.243546609434814,0.293899366402196
159,0.25122947821843,0.292867400936845
160,0.253580257043688,0.285621468906798
161,0.253985699723025,0.277574359291612
162,0.25804528593021,0.275743832445566
163,0.259032041125349,0.271454911425561
164,0.258638772863723,0.266246249413756
165,0.258035055344119,0.260114393701951
166,0.256688189342533,0.253853364061815
167,0.254682560109273,0.250053656866338
168,0.252096402426693,0.245253970897367
169,0.252894957393022,0.242324191819982
170,0.252253204432133,0.239110302428282
171,0.252830564998254,0.23651956419153
172,0.248918957791298,0.233427359060603
173,0.245221790319388,0.231877719871781
174,0.24156460486951,0.230582482107164
175,0.238625847397122,0.228011316173267
176,0.234256604571918,0.22480811619563
177,0.229256428608753,0.222383241527187
178,0.225979197726794,0.219681777991637
179,0.221002726468594,0.217111967021579
180,0.218780224025617,0.214250339208541
181,0.218908656867091,0.213035181153439
182,0.219247654967098,0.214557453446579
183,0.2178931215632,0.216669022201117
184,0.218467275185759,0.219164108583374
185,0.219383688324381,0.221016601844329
186,0.216852947216745,0.218505245061278
187,0.212796005914747,0.215155292921601
188,0.210970347984228,0.213058272483658
189,0.209993196563004,0.212366499180803
190,0.208377932256322,0.212438814270685
191,0.209001252930852,0.212736516869597
192,0.207628203834474,0.212757249374199
193,0.207070221458104,0.212307144593201
194,0.207112998863187,0.211801405200862
195,0.207223059169664,0.213303681206098
196,0.208247651426348,0.215389863880835
197,0.209027273907358,0.217888238909784
198,0.21070471752725,0.220377678802652
199,0.213653132139361,0.222686195212281
200,0.214821129639899,0.226462362699399
201,0.215439048321564,0.228309073637735
202,0.214964220115143,0.230303254112685
203,0.213646195349465,0.232771790623841
204,0.211716357477696,0.234058040016413
205,0.210036331022515,0.234155929719872
206,0.208782297502682,0.234903785940411
207,0.205562957141156,0.235095418502826
208,0.203531208983883,0.235726430109714
209,0.202186137296923,0.23600556634802
210,0.199350162969054,0.235416838141379
211,0.196768095093514,0.235974614173778
212,0.194351320338644,0.235495333008963
213,0.193564897038032,0.235478452767789
214,0.191921839723374,0.236545017538168
215,0.189140234159213,0.236474654006144
216,0.189296502198376,0.2383543714928
217,0.18719031936631,0.238803737655301
218,0.187616683525222,0.238786016501122
219,0.188808460417357,0.238939640272027
220,0.187041760707515,0.238298157183087
221,0.186418292269969,0.23644207941682
222,0.186867586173341,0.235295659030076
223,0.188933879372238,0.237199018382104
224,0.188235938031087,0.237774907718771
225,0.190017821945562,0.238222706230688
226,0.192535692551005,0.238350372352967
227,0.194720376049866,0.238523843128281
228,0.196188813741042,0.237737901203671
229,0.20063941149158,0.238205858452573
230,0.199219315091483,0.235256325789924
231,0.200964273446362,0.23641028682346
232,0.203633518289579,0.238844930209538
233,0.202463881544529,0.237532626501227
234,0.199128686109221,0.235595462776761
235,0.194630556356873,0.232642022290066
