"cutoff","block.mse"
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,0.608767457240836
59,0.719737722506704
60,0.271654696209458
61,0.315736333681256
62,0.18954680647892
63,0.25720643936529
64,0.302278384021936
65,0.692549311205744
66,0.783182345897208
67,0.512660684279909
68,0.309580877587821
69,0.236940289378116
70,0.241079569346974
71,0.387819924491558
72,0.436245391641765
73,0.34554237110066
74,0.407808068281521
75,0.413109345549161
76,0.429917481929105
77,0.432322990075853
78,0.378790940638871
79,0.337208266074898
80,0.310152580332249
81,0.299232023706164
82,0.279147451050443
83,0.264006928951488
84,0.241557155648295
85,0.223628457454985
86,0.203617574343808
87,0.170709781959363
88,0.149204719515793
89,0.130176506052558
90,0.117725761112513
91,0.104788627244241
92,0.105735553926596
93,0.0877160371667157
94,0.0802896443928964
95,0.0716682967699938
96,0.063224499434335
97,0.0684106754240256
98,0.0592187965559585
99,0.0535155758268197
100,0.0520321703022493
101,0.0533816231014768
102,0.0543416806612482
103,0.0523762426915898
104,0.0489616147092053
105,0.0519639927749956
106,0.0481079634708788
107,0.0511962865250603
108,0.0491772675955126
109,0.0445309613107325
110,0.040871259801289
111,0.0399394490079146
112,0.0371816459412501
113,0.0353255429893041
114,0.0322363891590213
115,0.0307640541056819
116,0.0293816654385996
117,0.0284422864684737
118,0.0252102020762161
119,0.0253625341476393
120,0.0253311103961876
121,0.0237067980859964
122,0.0227306187109584
123,0.0213543160719579
124,0.0212877366048948
125,0.021942809759181
126,0.0220784461212184
127,0.0213762886344575
128,0.0207108356433772
129,0.0199054367838826
130,0.0195332439769223
131,0.0185535744082214
132,0.0184556889583045
133,0.0194826878779918
134,0.0194745218976648
135,0.0176524112564558
136,0.0176800379364144
137,0.0190459079439084
138,0.0186886763960801
139,0.0182996218663714
140,0.0173048814530155
141,0.0171199949803254
142,0.0162097857420967
143,0.0161704022408947
144,0.015405962237721
145,0.0151635887587879
146,0.0152030891789742
147,0.018482115763103
148,0.019691845248258
149,0.0199490820061673
150,0.0209030350992666
151,0.0206300369092354
152,0.020748128106107
153,0.0212691752838961
154,0.021104510055457
155,0.020146718837975
156,0.0199386223724804
157,0.0201899811010235
158,0.0199719598917071
159,0.0204885752096371
160,0.0192568781674016
161,0.0185594570588756
162,0.0175884206830227
163,0.0170044917770797
164,0.0163275394931372
165,0.0163473794830844
166,0.0170870539871928
167,0.0154629757422441
168,0.0154080052895494
169,0.0153843036506585
170,0.0147600256410444
171,0.0144315851546115
172,0.0141349538143257
173,0.0146910261560107
174,0.0145239270110788
175,0.0149847711526822
176,0.0155949925985407
177,0.015380543655701
178,0.0145471694637014
179,0.0138668183960357
180,0.0142069858198696
181,0.0143537741065049
182,0.0146558900551439
183,0.0131134261050459
184,0.013330672219001
185,0.0130415233311679
186,0.0125642530982264
187,0.0127564464700564
188,0.0129853364836692
189,0.0127841664076275
190,0.0127526405123689
191,0.0126700328820523
192,0.0122394460349938
193,0.0124577686575454
194,0.0127883080264251
195,0.0120187659117014
196,0.0119128290982053
197,0.0113965687430465
198,0.0113321235214588
199,0.010617782995063
200,0.0109036154202673
201,0.010600274649588
202,0.0104602939214173
203,0.0103487912902734
