"fips","county","new_rolled_cases","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
1001,"Autauga",19.8571428571429,"Alabama",206,"2020-08-14",7.10555171785338,-171.673677989137,0.0187269302677491,7.20375714354113,7.23436409942273,7.23664022972762,37.013390376834
1003,"Baldwin",50.8571428571431,"Alabama",206,"2020-08-14",8.22259199887033,-323.639781933773,0.0155248761126831,8.33126613165911,8.32889037092427,8.33126613165911,44.647517669637
1005,"Barbour",4.57142857142856,"Alabama",206,"2020-08-14",6.46258362543758,-761.047299520223,0.00668279992989364,6.50936322494684,6.51243978710014,6.50936322494684,103.721073177628
1007,"Bibb",7.57142857142861,"Alabama",206,"2020-08-14",6.12343221775632,-84.7075595999462,0.0210638905509819,6.27087945161319,6.27028266578179,6.27087945161319,32.9068924319697
1009,"Blount",11.4285714285714,"Alabama",206,"2020-08-14",6.86320610906996,-176.217707850025,0.0179562745736599,6.98890003108558,6.991028189882,6.98890003108558,38.6019481778657
1011,"Bullock",5.71428571428572,"Alabama",206,"2020-08-14",6.18826412308259,-327.23847475935,0.011605059304611,6.26949953821487,6.27053504918672,6.26949953821487,59.7280170972101
1013,"Butler",3.14285714285711,"Alabama",206,"2020-08-14",6.66531968428731,-1284.63401716551,0.00447146624022549,6.69661994796889,6.70359150165811,6.69661994796889,155.015635436172
1015,"Calhoun",28.2857142857142,"Alabama",206,"2020-08-14",7.55425998743011,-188.996563891698,0.0191248751963862,7.68813411380481,7.68490385740055,7.68813411380481,36.2432263448663
1017,"Chambers",3.28571428571433,"Alabama",206,"2020-08-14",6.81720518056447,-1006.39652737557,0.00562291711221031,6.85656560034994,6.86062073981707,6.85656560034994,123.271811895423
1019,"Cherokee",4.85714285714289,"Alabama",206,"2020-08-14",5.73565021350422,-96.0763452664747,0.0191002931072671,5.90344878711254,5.86870467611162,5.86935226525509,36.2898713997339
1021,"Chilton",11.2857142857142,"Alabama",206,"2020-08-14",6.76520373499823,-198.507836415885,0.0167245307159952,6.8822754500102,6.88182791965835,6.8822754500102,41.444940508676
1023,"Choctaw",2.14285714285717,"Alabama",206,"2020-08-14",5.68066005723535,-622.2692060195,0.00685847067107021,5.72866935193284,5.72954627682132,5.72866935193284,101.064393769841
1025,"Clarke",48.7142857142857,"Alabama",206,"2020-08-14",6.69826805411541,108.558733588102,0.0669756772334288,6.99502454905384,7.16145897769172,7.16709779474941,10.3492373528995
1027,"Clay",4.71428571428572,"Alabama",206,"2020-08-14",5.61417031596651,-4.46263543426678,0.0263951756308551,5.73996445543608,5.80333051538282,5.7989365453825,26.2603738749016
1029,"Cleburne",1.28571428571428,"Alabama",206,"2020-08-14",4.88280192258637,-197.417891384706,0.012197826067793,5.006206054221,4.97075609425373,4.96818670506092,56.8254684652475
1031,"Coffee",9.57142857142856,"Alabama",206,"2020-08-14",6.71139275034557,-277.823198839567,0.0138715811198029,6.80849381818419,6.8102597923511,6.80849381818419,49.9688661713132
1033,"Colbert",13.7142857142858,"Alabama",206,"2020-08-14",7.11963563801764,-332.687968700588,0.0132166227049612,7.21215199695237,7.21210226643758,7.21215199695237,52.4451061389347
1035,"Conecuh",3,"Alabama",206,"2020-08-14",6.03957420767851,-370.675261165823,0.010473093982684,6.1128858655573,6.11358828464973,6.1128858655573,66.1836112333166
1037,"Coosa",1.14285714285715,"Alabama",206,"2020-08-14",4.77310300532994,-50.866450262975,0.0185820413699155,4.90317729491935,4.90635243347134,4.90317729491935,37.3019931858594
1039,"Covington",7.42857142857144,"Alabama",206,"2020-08-14",6.79298555587873,-458.331044717589,0.010225301993476,6.86456266983306,6.86599062383874,6.86456266983306,67.787453221645
1041,"Crenshaw",5.85714285714289,"Alabama",206,"2020-08-14",5.87050683463649,-116.059694179945,0.0181693441377486,5.97879882541774,6.00004818918958,5.99769224360073,38.1492680916238
1043,"Cullman",9.71428571428555,"Alabama",206,"2020-08-14",7.18787310019871,-448.653151548442,0.0109796662296627,7.26473076380635,7.26755892952007,7.26473076380635,63.1300775507487
1045,"Dale",6.85714285714289,"Alabama",206,"2020-08-14",6.767178719182,-446.457495294958,0.0103840803564167,6.84785962278413,6.84255370528689,6.83986728167692,66.7509453672154
1047,"Dallas",7.71428571428578,"Alabama",206,"2020-08-14",7.27041229459842,-795.669029716179,0.00725829797958161,7.32122038045549,7.32523131312659,7.32122038045549,95.4972064401109
1049,"DeKalb",15.2857142857142,"Alabama",206,"2020-08-14",7.54870650223782,-504.183402373997,0.0106292353172491,7.62311114945857,7.6209422763621,7.62311114945856,65.2113872608603
1051,"Elmore",14.5714285714287,"Alabama",206,"2020-08-14",7.51355336319403,-440.882194367768,0.0116150257784378,7.5948585436431,7.5974970835793,7.5948585436431,59.6767664387545
1053,"Escambia",9.14285714285711,"Alabama",206,"2020-08-14",7.10002716662926,-215.842420481413,0.0168309938069448,7.21784412327787,7.22186837827674,7.21784412327787,41.1827838873032
1055,"Etowah",23.1428571428569,"Alabama",206,"2020-08-14",7.71728769333163,-322.9552613757,0.0145896794244198,7.81941544930257,7.82116677555918,7.81941544930257,47.50941815759
1057,"Fayette",5.57142857142856,"Alabama",206,"2020-08-14",5.45287612636463,28.2310650216323,0.030574086427404,5.649141387128,5.6675279771524,5.66689473135646,22.6710676116447
1059,"Franklin",8.14285714285711,"Alabama",206,"2020-08-14",7.17930796950403,-543.941811749176,0.00957315335273666,7.24632004297319,7.24777837552845,7.24632004297319,72.4053146356207
