"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future0","predicted.grf.future6","Predicted_Double_Days","predicted.grf.past","predicted.grf.past0","predicted.grf.past6","block.mse","block.mse0","block.mse6"
1001,"Autauga","Alabama",106,"2020-05-06",3.8859723282282,3.49290608779238,0.0375264295632731,4.10941024637519,4.15506154165531,4.14865733517111,18.4709067349782,3.81373463325916,3.900605908288,3.92631798808396,0.00521828457444006,0.000214141665366579,0.00162777226919669
1003,"Baldwin","Alabama",106,"2020-05-06",5.2164873483004,-93.2462988597934,0.0261811003674962,5.39975505087287,5.44022073260165,5.39975505087287,26.4750973347356,5.3421220631177,5.28942370668184,5.3421220631177,0.0157840815672244,0.00531971237394591,0.0157840815672244
1005,"Barbour","Alabama",106,"2020-05-06",3.78418963391826,23.5868406004036,0.0474573224867075,4.24330914018202,4.17636657920425,4.11639089132521,14.6056950590521,3.74382495887645,3.89105358025075,3.92565551196564,0.00162930699123094,0.0114199030257533,0.0200125946517162
1007,"Bibb","Alabama",106,"2020-05-06",3.74782198974739,-11.1654892101523,0.0333215226297934,4.13738315855546,4.10404074279857,3.98107264815594,20.8017859285995,3.85587263840228,4.00937835332645,3.97022100270817,0.0116749426747425,0.0684117313287014,0.0494613209659293
1009,"Blount","Alabama",106,"2020-05-06",3.68171096463532,0.859072549420748,0.0353632242423677,3.96566476418192,3.9818719072306,3.92925353433189,19.6007913704177,3.72126261800622,3.8000615509938,3.82823916884204,0.00156433328437182,0.014006861291396,0.0214705146280462
1013,"Butler","Alabama",106,"2020-05-06",4.57471097850338,46.2826116445532,0.0691591916420105,4.61412064712879,4.52910844543714,5.05882531999745,10.0224881769569,NA,NA,NA,NA,NA,NA
1015,"Calhoun","Alabama",106,"2020-05-06",4.63611498983751,-68.1288887141942,0.0265815828394069,4.81469255996606,4.85798871120177,4.82218606971336,26.0762191908438,4.73362939850025,4.76550203550327,4.73362939850025,0.00950905989684394,0.0167410075861136,0.00950905989684394
1017,"Chambers","Alabama",106,"2020-05-06",5.69757275802189,-107.001327188961,0.0267490012067736,5.88481576646931,6.01020134101353,5.8848157664693,25.9130116747844,5.96870517612215,5.96638212295484,5.8840058453704,0.0735127881448941,0.0722584746756562,0.0347572960582971
1021,"Chilton","Alabama",106,"2020-05-06",4.03297561584581,-26.7364842755648,0.0323409763312923,4.51921433057404,4.35505552965219,4.25936245016486,21.43247542868,4.3691207895472,4.26359004040734,4.19363232813515,0.112993577802737,0.0531830128158456,0.0258105792036197
1023,"Choctaw","Alabama",106,"2020-05-06",3.90916177314711,33.154456868669,0.0522740500170367,4.17384991528466,4.23082072645937,4.27508012326637,13.2598713957315,NA,NA,NA,NA,NA,NA
1025,"Clarke","Alabama",106,"2020-05-06",3.67810735713203,31.650506225352,0.0474365262336617,3.85893739553619,3.92826006401007,4.01016304076766,14.612098220381,3.60853251234987,3.62912509747767,3.51095780420601,0.00484065902646166,0.00239926176084713,0.0279389730433683
1031,"Coffee","Alabama",106,"2020-05-06",4.83628190695148,-8.16261529630285,0.0413383612321827,5.00866395895455,5.12962837073074,5.12565043557676,16.7676501897786,4.89313180149293,4.80739850540348,4.89313180149293,0.00323191050937403,0.000834250884982993,0.00323191050937403
1033,"Colbert","Alabama",106,"2020-05-06",3.64133850934494,34.8562551693034,0.049327967774484,3.8546721267861,3.87150316458681,3.98663428376633,14.0518089804318,NA,NA,NA,NA,NA,NA
1037,"Coosa","Alabama",106,"2020-05-06",3.40119738166216,13.8303019961031,0.0369014703890899,3.65950767438579,3.87134704570417,3.65950767438579,18.7837279450219,3.81765183723185,3.82173022975218,3.74967258621045,0.173434313563847,0.176847876322704,0.121434968184973
1039,"Covington","Alabama",106,"2020-05-06",3.75453342433537,12.068384868079,0.0395832882173215,3.9952052120066,4.036732738905,4.03161644185662,17.5111066254629,3.79060791517039,3.72731094488742,3.78792299077375,0.00130136888900597,0.000741063387294053,0.00111486314694301
1043,"Cullman","Alabama",106,"2020-05-06",4.05054193956371,-67.0193921024168,0.0245082396847574,4.41195840955035,4.25880099829669,4.22209961735701,28.2822099618619,4.15220879560545,4.19801552816569,4.12160245308474,0.0103361496174118,0.0217484593351459,0.0050495965818724
1045,"Dale","Alabama",106,"2020-05-06",3.43858491373377,17.3018200695884,0.038928864960005,3.72542152342925,3.72495106934827,3.71108696845381,17.8054813895056,NA,NA,NA,NA,NA,NA
1047,"Dallas","Alabama",106,"2020-05-06",4.03802613163188,33.3386264168954,0.0538265062977628,4.28789342685941,4.25916596874797,4.41481167571622,12.8774321098517,3.78388201299666,3.84599325333798,3.83870976186563,0.0645892330368728,0.0368766263458398,0.0397270152567965
1049,"DeKalb","Alabama",106,"2020-05-06",4.460969837014,6.64740767991074,0.0449040028152159,4.7756571049468,4.84643191363913,4.77529785672051,15.4362002740003,4.46456101488017,4.65997550083175,4.66320740859484,1.28965584664687e-05,0.0396032542315432,0.0409000353589153
1051,"Elmore","Alabama",106,"2020-05-06",4.63749907310345,-21.8097843304091,0.0359122067766101,4.84131685038387,4.85066944456331,4.88888452053972,19.3011580956756,4.67331220096834,4.65585155712678,4.61089137535352,0.00128258012746692,0.000336813669826551,0.000707969579551636
1053,"Escambia","Alabama",106,"2020-05-06",3.40594798442075,11.0596060222955,0.0369639960962122,3.7681243250382,3.71077153276928,3.66469595709424,18.7519547062979,NA,NA,NA,NA,NA,NA
