"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
51001,"2020-07-11","Accomack","Virginia",0.000117504924883804,-58972.6539921805,6.94967061970488,-0.000959123002373756,7414.05332339387,6.93930606586774,"2020-07-18",6.95204553782871,5.6402360949255e-06,0.000162294145844288
51003,"2020-07-11","Albemarle","Virginia",0.0267522296671172,-59.8927919685292,6.17689699922401,0.0263662091507121,-63.2366288847479,6.38686162113869,"2020-07-18",6.36302810354046,0.0346447879940629,0.000568036561105088
51005,"2020-07-11","Alleghany","Virginia",0.02290017309137,12.9952515239461,3.61833608936002,0.0244855392163487,23.0637232994282,3.81818381840326,"2020-07-18",3.97029191355212,0.123872902182741,0.0231368726098155
51007,"2020-07-11","Amelia","Virginia",0.010375860041976,-199.26216387374,3.84178839119309,0.0114706979563974,-164.160554361471,3.93629106963032,"2020-07-18",4.00212484012533,0.0257077768562025,0.00433408533758983
51009,"2020-07-11","Amherst","Virginia",0.00803258767061279,-281.31237203733,3.63323878289269,0.00918321564946291,-224.952299459773,3.70958107803551,"2020-07-18",3.75453342433537,0.0147123900427099,0.0020207134378624
51011,"2020-07-11","Appomattox","Virginia",0.0123473193316852,-135.374845658333,3.7829080545392,0.0141009823154399,-97.5835729225533,3.9001000705221,"2020-07-18",3.87120101090789,0.00779564614432427,0.000835155646585767
51013,"2020-07-11","Arlington","Virginia",0.0041328879959889,-1726.76681692263,7.84325769684559,0.00328296337337725,-2217.43142414431,7.86739659227607,"2020-07-18",7.89031517642165,0.00221440638405133,0.000525261499237609
51015,"2020-07-11","Augusta","Virginia",0.00990082758922952,-362.948925988552,5.28653625766693,0.0103793687453468,-338.446454817183,5.37076756052,"2020-07-18",5.37857983029322,0.00847201926181092,6.1031559009569e-05
51019,"2020-07-11","Bedford","Virginia",0.0220590801016133,-53.2440325028189,4.94661707528846,0.0223008113434776,-50.8404221799785,5.12562789414094,"2020-07-18",5.14749447681345,0.040351730443434,0.000478147437773926
51021,"2020-07-11","Bland","Virginia",0.0152343345929336,121.339245508817,0.756548550056214,0.02473255499936,139.450728155968,0.97815454106716,"2020-07-18",1.34992671694902,0.352097648945063,0.13821455075993
51023,"2020-07-11","Botetourt","Virginia",0.0332289930962254,21.4250953007294,4.97022347562063,0.0319575164868814,15.5735047610394,5.22270491599232,"2020-07-18",5.08051665964432,0.0121645864420836,0.020217500243285
51025,"2020-07-11","Brunswick","Virginia",0.0157091345338255,-131.192597493151,4.74718416914608,0.018799758208926,-81.9240363355442,4.90530879400524,"2020-07-18",4.95482051498986,0.0431128521153561,0.00245141051485845
51027,"2020-07-11","Buchanan","Virginia",0.0215034271119407,6.10932838608276,3.54571453848882,0.0220573946968285,10.1877415168596,3.72355861502566,"2020-07-18",3.85922481986117,0.0982886965261744,0.0184053191344705
51029,"2020-07-11","Buckingham","Virginia",0.00300035594247125,-1944.06404438995,6.34594497429267,0.00112186422305166,-5481.42086760271,6.35022365877853,"2020-07-18",6.35907943108505,0.000172513955230894,7.84247031448423e-05
51031,"2020-07-11","Campbell","Virginia",0.0244584312839049,8.66244736444844,3.97052187593394,0.0256477770825197,16.0744784763973,4.17867745709063,"2020-07-18",4.24645234041956,0.0761376212312517,0.00459343481024983
51033,"2020-07-11","Caroline","Virginia",0.00443073686023793,-928.233778470959,4.8704156202899,0.00409282267590251,-1018.78299829598,4.90231341623628,"2020-07-18",4.99721227376411,0.0160773913322601,0.0090057931600875
51035,"2020-07-11","Carroll","Virginia",0.0125257569210389,-265.233461693426,5.46415430199518,0.0130371854394718,-248.218772231615,5.56973035680704,"2020-07-18",5.56506760295878,0.0101834943113701,2.17412734494301e-05
51036,"2020-07-11","Charles City","Virginia",0.00527174883539666,-533.000720372616,3.71131497774275,0.00640389781415623,-408.981982532466,3.7653765327029,"2020-07-18",3.73084365321297,0.00038136916562098,0.00119251976586635
51037,"2020-07-11","Charlotte","Virginia",0.00785156670678413,-275.767000027434,3.50782090310523,0.00878516867821146,-228.554639939869,3.58043625745949,"2020-07-18",3.64133850934494,0.0178269511759821,0.00370908428471856
51041,"2020-07-11","Chesterfield","Virginia",0.00788061716524989,-847.372004370952,8.02539989825566,0.00601450712168047,-1162.56473953359,8.06885068012018,"2020-07-18",8.10578186813053,0.00646126108096469,0.00136391264785579
51043,"2020-07-11","Clarke","Virginia",0.0170872207624228,-66.1093398328519,4.05153963455627,0.0183310635318564,-50.1900708561479,4.20129774973471,"2020-07-18",4.10852919721406,0.0032478102519255,0.00860600433677694
51045,"2020-07-11","Craig","Virginia",0.0322611324999227,104.616603968976,2.1416035351517,0.0345372524243834,108.826732463325,2.42359185435792,"2020-07-18",2.25878247033565,0.0137309028508454,0.027162133061798
51047,"2020-07-11","Culpeper","Virginia",0.00384390872106138,-1577.15987455569,6.7197669876142,0.00340327841504822,-1803.17448485594,6.74589163916955,"2020-07-18",6.76898570119318,0.00242248176636999,0.000533335700751237
51049,"2020-07-11","Cumberland","Virginia",0.0150600357322578,-98.6827808731279,4.06143231632395,0.0170392758749602,-67.6474898652466,4.20269462368039,"2020-07-18",4.0990951649807,0.00141849016894081,0.0107328478428698
51051,"2020-07-11","Dickenson","Virginia",0.0206264832045392,92.4817550350803,1.61955526101881,0.0248106571207158,105.301792657952,1.82850095277498,"2020-07-18",1.98591548366901,0.134219812740308,0.02477933453659
