"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
1003,"Baldwin","Alabama",86,"2020-04-16",4.35119917087862,22.654416317242,0.073923265293923,5.20017524483638,4.86606614339581,4.86866202793608,9.37657688420491
1015,"Calhoun","Alabama",86,"2020-04-16",4.06780500698749,-81.1582069045745,0.0250854093951673,4.3688299197295,4.2487345534126,4.24340287275366,27.6314876763973
1017,"Chambers","Alabama",86,"2020-04-16",5.31390946130787,-37.1487655731175,0.04497642811189,5.85362659865055,5.62840568999095,5.6287444580911,15.4113434449612
1021,"Chilton","Alabama",86,"2020-04-16",3.47462485021697,10.9327677784789,0.0496839712656538,4.0774260075458,3.82219964919758,3.82241264907655,13.9511227243446
1043,"Cullman","Alabama",86,"2020-04-16",3.56347818757266,-7.82459033450345,0.0402309602505003,4.05627008602039,3.84820820662016,3.84509490932616,17.2291980167519
1051,"Elmore","Alabama",86,"2020-04-16",3.49216915986788,38.549527109996,0.0814152888678666,4.43310097933161,4.05251969260509,4.06207618194295,8.51372254767643
1055,"Etowah","Alabama",86,"2020-04-16",4.34380542185368,6.46231578950477,0.0587262679186089,5.08203522800151,4.75438144187204,4.75488929728394,11.8030177146725
1069,"Houston","Alabama",86,"2020-04-16",3.8286413964891,30.2107418477537,0.0760048677168783,4.77228925990241,4.3625723660704,4.36067547050725,9.11977352742657
1073,"Jefferson","Alabama",86,"2020-04-16",6.27233777763043,-179.182287715491,0.0241074741586146,6.56162746753381,6.46330797659976,6.44109009674073,28.7523767939934
1081,"Lee","Alabama",86,"2020-04-16",5.45165138646874,-83.708295274561,0.0330988270953876,5.84883731161339,5.68216005467082,5.68334317613645,20.9417445084191
1083,"Limestone","Alabama",86,"2020-04-16",3.55125807623789,-197.860383980065,0.012867826718384,3.74274102029813,3.66236400062412,3.64133286326658,53.8666859392549
1089,"Madison","Alabama",86,"2020-04-16",5.14998307204222,-199.848541837686,0.0183372256033239,5.37002977928211,5.30739379349858,5.27834365126549,37.8000028768965
1093,"Marion","Alabama",86,"2020-04-16",3.93741223943297,24.7859987945404,0.070117285134987,4.78298057272156,4.42915866384965,4.42823323537788,9.88553933920182
1095,"Marshall","Alabama",86,"2020-04-16",4.58642414316704,22.8926723696101,0.0789302198225402,5.53358678103752,5.1391566084177,5.13893568192482,8.78177182476315
1097,"Mobile","Alabama",86,"2020-04-16",6.18414889093748,-3.8695398614218,0.0728665302184411,7.05854725355877,6.68900017159452,6.69421460246657,9.51255917472688
1101,"Montgomery","Alabama",86,"2020-04-16",4.9416424226093,28.1826919478725,0.0935610428636801,6.06437493697346,5.58250010132638,5.59656972265506,7.40850207890341
1103,"Morgan","Alabama",86,"2020-04-16",3.67086094861126,-128.3262963611,0.0174893424220549,3.87085138406449,3.79980665661713,3.79328634556564,39.6325467151843
1115,"St. Clair","Alabama",86,"2020-04-16",3.70657903121334,-50.2743625851593,0.0282353611034206,4.04540336445439,3.90759385346268,3.90422655893728,24.548904404696
1117,"Shelby","Alabama",86,"2020-04-16",5.29760282561017,-201.319966916728,0.0187645347350609,5.5227772424309,5.43259458039878,5.4289545687556,36.939214872449
1121,"Talladega","Alabama",86,"2020-04-16",3.55125807623789,-9.52746790674408,0.0391141586242606,4.01027564304817,3.83083492496438,3.82505718660771,17.7211323198454
1123,"Tallapoosa","Alabama",86,"2020-04-16",4.66881545114845,43.2218354897989,0.122609653240055,6.10328348952218,5.49330536020992,5.52708302382884,5.65328391560528
1125,"Tuscaloosa","Alabama",86,"2020-04-16",4.68740828422507,-21.847477292218,0.0455763078262664,5.23432397814027,5.00625032837962,5.00644243900893,15.208497871354
1127,"Walker","Alabama",86,"2020-04-16",4.36218829245422,-135.156528105593,0.0201806918841854,4.60435659506444,4.51815436176307,4.50345313564352,34.3470473925194
2020,"Anchorage","Alaska",86,"2020-04-16",4.77310300532994,-144.339720424061,0.0212373833263263,5.0404746212089,4.93085125415804,4.92176468861422,32.6380689141071
2090,"Fairbanks North Star Borough","Alaska",86,"2020-04-16",4.25864761351338,-421.715144369814,0.00849903327631052,4.37458113982002,4.3306721432518,4.31814084644755,81.5560026682052
4001,"Apache","Arizona",86,"2020-04-16",4.4274096405217,35.1101867792394,0.0964791383922812,5.58515930122907,5.0931235066243,5.10276360926767,7.1844254842081
4005,"Coconino","Arizona",86,"2020-04-16",5.48420398950649,-58.6764218656152,0.0392636345938395,5.95536760463256,5.75776288137304,5.75904943166337,17.6536682793167
4013,"Maricopa","Arizona",86,"2020-04-16",7.54983470362859,-157.122334733131,0.0317056974604665,7.93030307315419,7.77797549404393,7.77177458585186,21.8619124031011
4015,"Mohave","Arizona",86,"2020-04-16",3.64880123054653,37.7049475467827,0.0836984933854583,4.62811258200418,4.22493600857308,4.23469068424474,8.28147739013391
4017,"Navajo","Arizona",86,"2020-04-16",5.80341231560504,-58.8870505981359,0.0414864155816462,6.30124930258479,6.09618637003039,6.09381722467656,16.7078107578568
4019,"Pima","Arizona",86,"2020-04-16",6.44571981938558,-59.6318116944773,0.0458340096861506,6.99572793561939,6.76502928469653,6.76655788718863,15.1229880454773
4021,"Pinal","Arizona",86,"2020-04-16",5.01727983681492,-28.8818594411236,0.0456043632096171,5.5583445866165,5.33860860646904,5.33651037928224,15.1991417438271
4025,"Yavapai","Arizona",86,"2020-04-16",4.14313472639153,-145.102570456571,0.0183883839944552,4.37832149562225,4.2856963359755,4.27185341435272,37.6948393490672
