"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
5021,"Clay","Arkansas",0.0724955020381546,4.21755017603162,0.0724955020381546,4.21755017603162,"2020-07-03",164,3.91772102654278,0.0695517798935312,4.19400039887464,4.19694412101926,NA,NA,NA,NA,NA,NA
5021,"Clay","Arkansas",0.0610358905863688,4.19836878645549,0.0610358905863677,4.19836878645548,"2020-07-04",165,3.94296780927757,0.0623635993428497,4.20899045650734,4.20766274775086,-0.0114596114517858,-0.0114596114517869,-0.0071881805506815,-1,-1,-1
5021,"Clay","Arkansas",0.0387145121806886,4.08083364979642,0.03871451218069,4.08083364979643,"2020-07-05",166,3.94296780927757,0.0392323839284863,4.0849766237788,4.084458752031,-0.0223213784056802,-0.0223213784056777,-0.0231312154143634,-1,-1,-1
5021,"Clay","Arkansas",0.0188093319574975,3.96030672019158,0.0188093319574971,3.96030672019157,"2020-07-06",167,3.94849268520954,0.0184990595946531,3.95782454128883,3.95813481365167,-0.0199051802231911,-0.0199051802231929,-0.0207333243338332,-1,-1,-1
5021,"Clay","Arkansas",0.0123458358223005,3.9274080830675,0.0123458358222996,3.92740808306749,"2020-07-07",168,3.95672318434605,0.0147272292689291,3.94645923064053,3.94407783719389,-0.006463496135197,-0.0064634961351975,-0.003771830325724,-1,-1,-1
5021,"Clay","Arkansas",0.0242436116099911,4.03493612519132,0.0242436116099922,4.03493612519133,"2020-07-08",169,3.95398720452718,0.0237445393513292,4.03094354712202,4.03144261938069,0.0118977757876906,0.0118977757876926,0.0090173100824001,1,1,1
5021,"Clay","Arkansas",0.0295006643966997,4.10123615909498,0.0295006643966973,4.10123615909496,"2020-07-09",170,3.95398720452718,0.0316880658559143,4.1187353707687,4.11654796930948,0.0052570527867086,0.0052570527867051,0.0079435265045851,1,1,1
5021,"Clay","Arkansas",0.0229895182247003,4.07864765411569,0.0229895182247,4.07864765411568,"2020-07-10",171,3.95124371858143,0.02166443150561,4.06804696036296,4.06937204708205,-0.0065111461719994,-0.0065111461719973,-0.0100236343503043,-1,-1,-1
5021,"Clay","Arkansas",0.0252467827347844,4.11969528842106,0.0252467827347838,4.11969528842105,"2020-07-11",172,3.93182563272433,0.0251622827084834,4.11901928821065,4.11910378823695,0.0022572645100841,0.0022572645100838,0.0034978512028734,1,1,1
5021,"Clay","Arkansas",6.2803698347348e-16,3.94296780927757,0,3.94296780927757,"2020-07-12",173,3.93182563272433,0.00429434688221763,3.97732258433531,3.97302823745309,-0.0252467827347838,-0.0252467827347838,-0.0208679358262658,-1,-1,-1
5021,"Clay","Arkansas",0.00552487593197035,3.98716681673333,0.00552487593197037,3.98716681673333,"2020-07-13",174,3.90916177314711,0.00779915541063367,4.00536105256264,4.00308677308398,0.00552487593196972,0.00552487593197037,0.00350480852841604,1,1,1
5021,"Clay","Arkansas",0.00823049913651483,4.01433667830166,0.00823049913651497,4.01433667830166,"2020-07-14",175,3.87120101090789,0.00884398870611281,4.01924459485844,4.01863110528884,0.00270562320454448,0.0027056232045446,0.00104483329547914,1,1,1
5021,"Clay","Arkansas",-0.00273597981887457,3.93483534579506,0,3.95398720452718,"2020-07-15",176,3.8255309740747,-0.00957915885646764,3.88008991349431,3.88693309253191,-0.0109664789553894,-0.00823049913651497,-0.0184231475625804,-1,-1,-1
5021,"Clay","Arkansas",6.2803698347353e-16,3.95398720452718,0,3.95398720452718,"2020-07-16",177,3.77111755235091,0.00526420848884151,3.99610087243791,3.99083666394907,0.0027359798188752,0,0.0148433673453092,1,0,1
5021,"Clay","Arkansas",-0.0027434859457504,3.93203931696117,0,3.95124371858143,"2020-07-17",178,3.71705033108063,-0.0070536703301588,3.89755784188591,3.90186802627032,-0.00274348594575103,0,-0.0123178788190003,-1,0,-1
5021,"Clay","Arkansas",-0.0194180858571005,3.79589903172462,0,3.93182563272433,"2020-07-18",179,3.67086094861126,-0.0203216291846648,3.78867068510411,3.78957422843168,-0.0166745999113501,0,-0.013267958854506,-1,0,-1
5021,"Clay","Arkansas",0,3.93182563272433,0,3.93182563272433,"2020-07-19",180,3.630038954091,-0.0144469035747334,3.81625040412646,3.8306973077012,0.0194180858571005,0,0.0058747256099314,1,0,1
5021,"Clay","Arkansas",-0.0226638595772104,3.75051475610664,0,3.90916177314711,"2020-07-20",181,3.60704943586631,-0.0221248511732162,3.7548268233386,3.7542878149346,-0.0226638595772104,0,-0.0076779475984828,-1,0,-1
5021,"Clay","Arkansas",-0.0379607622392211,3.60547567523334,0,3.87120101090789,"2020-07-21",182,3.60704943586631,-0.0349071300750441,3.62990473254676,3.62685110038258,-0.0152969026620107,0,-0.0127822789018279,-1,0,-1
5021,"Clay","Arkansas",-0.0456700368331905,3.50584071624237,0,3.8255309740747,"2020-07-22",183,3.62243435470578,-0.0389671594470498,3.55946373533149,3.55276085794535,-0.0077092745939694,0,-0.0040600293720057,-1,0,-1
5021,"Clay","Arkansas",-0.0544134217237982,3.39022360028432,0,3.77111755235091,"2020-07-23",184,3.64133850934494,-0.0503929495749864,3.42238737747481,3.41836690532601,-0.0087433848906077,0,-0.0114257901279366,-1,0,-1
5021,"Clay","Arkansas",-0.0540672212702733,3.33857978218872,0,3.71705033108063,"2020-07-24",185,3.64507683145554,-0.048270291569963,3.38495521979121,3.37915829009089,0.000346200453524896,0,0.0021226580050234,1,0,1
5021,"Clay","Arkansas",-0.0461893824693725,3.34753527132565,0,3.67086094861126,"2020-07-25",186,3.65251180994306,-0.04233041558046,3.37840700643695,3.37454803954804,0.0078778388009008,0,0.005939875989503,1,0,1
5021,"Clay","Arkansas",-0.0408219945202582,3.3442849924492,0,3.630038954091,"2020-07-26",187,3.65989191724069,-0.0354790271706572,3.387028731246,3.3816857638964,0.0053673879491143,0,0.0068513884098028,1,0,1
5021,"Clay","Arkansas",-0.0229895182246962,3.44612280829343,0,3.60704943586631,"2020-07-27",188,3.66356164612965,-0.0223335864601348,3.45137026240992,3.45071433064537,0.017832476295562,0,0.0131454407105224,1,0,1
5021,"Clay","Arkansas",-6.28036983473505e-16,3.6070494358663,0,3.60704943586631,"2020-07-28",189,3.64507683145554,-0.00708480080245332,3.55037102944668,3.55745583024914,0.0229895182246956,0,0.0152487856576815,1,0,1
5021,"Clay","Arkansas",0.0153849188394768,3.73012878658212,0.0153849188394775,3.73012878658212,"2020-07-29",190,3.61861025826738,0.0177018505559587,3.74866424031398,3.74634730859749,0.0153849188394774,0.0153849188394775,0.024786651358412,1,1,1
5021,"Clay","Arkansas",0.0189041546391536,3.77366759181901,0.0189041546391526,3.773667591819,"2020-07-30",191,3.5715427474094,0.0183747438005406,3.7694323051101,3.76996171594872,0.0035192357996768,0.0035192357996751,0.000672893244581901,1,1,1
5021,"Clay","Arkansas",0.0037383221106075,3.6712450862298,0.00373832211060821,3.6712450862298,"2020-07-31",192,3.51367536508885,0.00785641017081274,3.70418979071144,3.70007170265123,-0.0151658325285461,-0.0151658325285444,-0.0105183336297279,-1,-1,-1
5021,"Clay","Arkansas",0.00743497848751829,3.70455665935569,0.00743497848751851,3.70455665935569,"2020-08-01",193,3.46573590279973,0.00926482611906363,3.71919544040805,3.71736559277651,0.00369665637691079,0.0036966563769103,0.00140841594825089,1,1,1
5021,"Clay","Arkansas",0.00738010729762305,3.71155266832405,0.00738010729762317,3.71155266832405,"2020-08-02",194,3.4106761256167,0.00923735260792367,3.72641063080645,3.72455338549616,-5.48711898952399e-05,-5.48711898953396e-05,-2.74735111399603e-05,-1,-1,-1
5021,"Clay","Arkansas",0.00366972888896126,3.68924974835237,0.00366972888896111,3.68924974835237,"2020-08-03",195,3.36729582998647,0.00626089205626163,3.70997905369078,3.70738789052348,-0.00371037840866179,-0.00371037840866206,-0.00297646055166204,-1,-1,-1
5021,"Clay","Arkansas",-0.0184848146741041,3.51568312873681,0,3.64507683145554,"2020-08-04",196,3.35240721749272,-0.0181757538855571,3.51815561504519,3.51784655425664,-0.0221545435630654,-0.00366972888896111,-0.0244366459418187,-1,-1,-1
5021,"Clay","Arkansas",-0.0264665731881646,3.43334424595023,0,3.61861025826738,"2020-08-05",197,3.33729357968267,-0.0248781980994294,3.4460512466601,3.44446287157137,-0.0079817585140605,0,-0.0067024442138723,-1,0,-1
5021,"Clay","Arkansas",-0.0470675108579843,3.24207017140351,0,3.5715427474094,"2020-08-06",198,3.35739475900376,-0.041897620331702,3.28342929561376,3.27825940508749,-0.0206009376698197,0,-0.0170194222322726,-1,0,-1
5021,"Clay","Arkansas",-0.0578673823205537,3.10860368884497,0,3.51367536508885,"2020-08-07",199,3.43398720448515,-0.0522217160740136,3.15376901881729,3.14812335257075,-0.0107998714625694,0,-0.0103240957423116,-1,0,-1
5021,"Clay","Arkansas",-0.0479394622891219,3.13015966677587,0,3.46573590279973,"2020-08-08",200,3.50512830451039,-0.0413009825172851,3.18326750495057,3.17662902517873,0.00992792003143179,0,0.0109207335567285,1,0,1
5021,"Clay","Arkansas",-0.0550597771830255,3.02525768533552,0,3.4106761256167,"2020-08-09",201,3.59142411796322,-0.0487736765269165,3.0755464905844,3.06926038992828,-0.0071203148939036,0,-0.0074726940096314,-1,0,-1
5021,"Clay","Arkansas",-0.0433802956302278,3.06363376057488,0,3.36729582998647,"2020-08-10",202,3.66356164612965,-0.0385786244297452,3.10204713017874,3.09724545897825,0.0116794815527977,0,0.0101950520971713,1,0,1
