"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-16","Oakland","Michigan",26125,14,0,2020-03-16,55,2.63905732961526,6.85714285714286,1.92529086185258,-20.5331669977122,0.410223562158816,0.0224555743825804,0.30819646221727,0.0705715294874858,46.5953676039437
"2020-03-16","Wayne","Michigan",26163,13,0,2020-03-16,55,2.56494935746154,6.14285714285714,1.81528996663825,-25.1428727546188,0.491207025317289,0.0238481880818298,0.308558269140174,0.0719908842615435,45.6724852818682
"2020-03-17","Oakland","Michigan",26125,16,0,2020-03-17,56,2.77258872223978,9,2.19722457733622,-20.5331669977122,0.410223562158816,0.0224555743825804,0.30819646221727,0.0705715294874858,46.5953676039437
"2020-03-17","Wayne","Michigan",26163,17,0,2020-03-17,56,2.83321334405622,8.42857142857143,2.13162729485041,-25.1428727546188,0.491207025317289,0.0238481880818298,0.308558269140174,0.0719908842615435,45.6724852818682
"2020-03-18","Ingham","Michigan",26065,2,0,2020-03-18,57,0.693147180559945,1.28571428571429,0.251314428280909,-15.0751505659394,0.273527026210038,0.0164851233116712,0.23061800902953,0.0462468037855718,53.925736596511
"2020-03-18","Kent","Michigan",26081,5,0,2020-03-18,57,1.6094379124341,4.14285714285714,1.42138568093116,-11.6836369414152,0.230973430077711,0.00664555795433105,0.154759316721823,0.0445627564347535,45.2087093574091
"2020-03-18","Montcalm","Michigan",26117,1,0,2020-03-18,57,0,1,0,-2.88461929053225,0.0485778792562902,0.0142995377174974,0.107300740808393,0.0330245363352584,60.5408241084432
"2020-03-18","Oakland","Michigan",26125,23,0,2020-03-18,57,3.13549421592915,12.1428571428571,2.496741107435,-20.5331669977122,0.410223562158816,0.0224555743825804,0.30819646221727,0.0705715294874858,46.5953676039437
"2020-03-18","St. Clair","Michigan",26147,2,0,2020-03-18,57,0.693147180559945,1.57142857142857,0.451985123743056,-10.6356155218728,0.196971160930266,0.0108607737261275,0.125932320908078,0.0391667039189417,49.7626567613451
"2020-03-18","Washtenaw","Michigan",26161,7,0,2020-03-18,57,1.94591014905531,5.28571428571429,1.66500776358891,-14.2550752324634,0.279185172455398,0.0025994779820757,0.235141627452068,0.0425668805839696,49.1040116540499
"2020-03-18","Wayne","Michigan",26163,23,1,2020-03-18,57,3.13549421592915,11.5714285714286,2.44853900561713,-25.1428727546188,0.491207025317289,0.0238481880818298,0.308558269140174,0.0719908842615435,45.6724852818682
"2020-03-19","Bay","Michigan",26017,1,0,2020-03-19,58,0,1,0,-5.99596762527894,0.100178553307642,0.0214413727290905,0.107390933065051,0.0328552485412945,59.9970126559513
"2020-03-19","Charlevoix","Michigan",26029,1,0,2020-03-19,58,0,1,0,-8.46624399833171,0.142765769587264,0.0151655586965298,0.112957947160497,0.0315361033583302,58.5895828867065
"2020-03-19","Ingham","Michigan",26065,7,0,2020-03-19,58,1.94591014905531,2.14285714285714,0.762140052046895,-15.0751505659394,0.273527026210038,0.0164851233116712,0.23061800902953,0.0462468037855718,53.925736596511
"2020-03-19","Kent","Michigan",26081,12,0,2020-03-19,58,2.484906649788,5.42857142857143,1.69167601067107,-11.6836369414152,0.230973430077711,0.00664555795433105,0.154759316721823,0.0445627564347535,45.2087093574091
"2020-03-19","Leelanau","Michigan",26089,1,0,2020-03-19,58,0,1,0,58,0,0.00664555795433105,0.107300740808393,0.0330245363352584,62
"2020-03-19","Macomb","Michigan",26099,55,0,2020-03-19,58,4.00733318523247,12.4285714285714,2.51999796959927,-17.8736671853099,0.35699534076612,0.0229055041125294,0.281934547993173,0.0527952463801433,46.889954166622
"2020-03-19","Montcalm","Michigan",26117,1,0,2020-03-19,58,0,1,0,-2.88461929053225,0.0485778792562902,0.0142995377174974,0.107300740808393,0.0330245363352584,60.5408241084432
"2020-03-19","Oakland","Michigan",26125,105,0,2020-03-19,58,4.65396035015752,26.7142857142857,3.28519846779927,-20.5331669977122,0.410223562158816,0.0224555743825804,0.30819646221727,0.0705715294874858,46.5953676039437
"2020-03-19","St. Clair","Michigan",26147,4,0,2020-03-19,58,1.38629436111989,2,0.693147180559945,-10.6356155218728,0.196971160930266,0.0108607737261275,0.125932320908078,0.0391667039189417,49.7626567613451
"2020-03-19","Washtenaw","Michigan",26161,14,0,2020-03-19,58,2.63905732961526,7,1.94591014905531,-14.2550752324634,0.279185172455398,0.0025994779820757,0.235141627452068,0.0425668805839696,49.1040116540499
"2020-03-19","Wayne","Michigan",26163,119,3,2020-03-19,58,4.77912349311153,28.4285714285714,3.34739467566918,-25.1428727546188,0.491207025317289,0.0238481880818298,0.308558269140174,0.0719908842615435,45.6724852818682
"2020-03-20","Bay","Michigan",26017,1,0,2020-03-20,59,0,1,0,-5.99596762527894,0.100178553307642,0.0214413727290905,0.107390933065051,0.0328552485412945,59.9970126559513
"2020-03-20","Charlevoix","Michigan",26029,1,0,2020-03-20,59,0,1,0,-8.46624399833171,0.142765769587264,0.0151655586965298,0.112957947160497,0.0315361033583302,58.5895828867065
"2020-03-20","Ingham","Michigan",26065,7,0,2020-03-20,59,1.94591014905531,3,1.09861228866811,-15.0751505659394,0.273527026210038,0.0164851233116712,0.23061800902953,0.0462468037855718,53.925736596511
"2020-03-20","Kent","Michigan",26081,12,0,2020-03-20,59,2.484906649788,6.71428571428571,1.90423745265474,-11.6836369414152,0.230973430077711,0.00664555795433105,0.154759316721823,0.0445627564347535,45.2087093574091
