"fips","date.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","log_rolled_cases","lm_mse","grf_mse"
16001,"2020-04-14","Ada","Idaho",0.0486731851212025,-44.7144606064404,6.2162695837518,0.0228531447574756,-186.184812336611,6.33454464090229,"2020-04-21",6.38976116573753,0.0300993290199122,0.00304886461488125
16003,"2020-04-14","Adams","Idaho",0,77,0,-0.0112956722175721,80.5,-0.118604558284507,"2020-04-21",0.451985123743056,0.204290552085026,0.325572585236316
16005,"2020-04-14","Bannock","Idaho",0.0315268246926748,27.98841122015,1.73434071552785,0.0156893831728065,-25.0187215177192,1.82026217711063,"2020-04-21",2.07944154167984,0.119094580210785,0.0671739430184977
16011,"2020-04-14","Bingham","Idaho",5.23364152894591e-17,-13244070628955452,0.693147180559945,-0.0305839526622269,103.163754035168,0.372015677606563,"2020-04-21",1.04982212449868,0.127217015633699,0.459421579448514
16013,"2020-04-14","Blaine","Idaho",0.0206823747896372,-212.298521852376,6.10747470377673,-0.014893391577289,487.107772002525,5.89938815524111,"2020-04-21",6.16361551069756,0.00315179020172169,0.0698160953715111
16017,"2020-04-14","Bonner","Idaho",0.0895603139183967,68.6692331589217,1.28346797697832,0.0959342302252773,69.4552749868925,2.06687660954774,"2020-04-21",1.38629436111989,0.0105732652756298,0.463192196875108
16019,"2020-04-14","Bonneville","Idaho",0.183865508237568,68.497036046913,2.66659483818547,0.138073491581133,64.5162579918917,3.65670272919345,"2020-04-21",3.17805383034795,0.26159030066386,0.22910476836601
16025,"2020-04-14","Camas","Idaho",0,77,0,-0.0112956722175721,80.5,-0.118604558284507,"2020-04-21",0,0,0.014067041245863
16027,"2020-04-14","Canyon","Idaho",0.0651431820199332,7.08249335110167,4.94550795412867,0.0501076645638324,-14.9474737689319,5.30878047699908,"2020-04-21",5.25600616847632,0.0964091411130769,0.0027851276400557
16029,"2020-04-14","Caribou","Idaho",0,80,0,-0.0112956722175721,82,-0.101661049958149,"2020-04-21",0,0,0.0103349690785932
16031,"2020-04-14","Cassia","Idaho",0.0932735134942169,62.5705073146907,1.90553056166321,0.0974156367101754,63.3328712473222,2.6952109633845,"2020-04-21",2.316769727986,0.169117651917865,0.143217768649948
16037,"2020-04-14","Custer","Idaho",5.23364152894591e-17,-13244070628955452,0.693147180559945,-0.0305839526622269,103.163754035168,0.372015677606563,"2020-04-21",0.693147180559945,1.23259516440783e-32,0.103125442189098
16039,"2020-04-14","Elmore","Idaho",0.0628740843908704,39.2738814616166,2.74923966706752,0.0587597281250021,36.3872285696054,3.20903160140287,"2020-04-21",3.06472514504094,0.0995310868121163,0.0208243533477372
16043,"2020-04-14","Fremont","Idaho",0.0664133253236134,72.4115408582518,0.703214781656714,0.0826509012450316,74.0005975705562,1.40501593142051,"2020-04-21",0.693147180559945,0.00010135659184365,0.506757118451786
16045,"2020-04-14","Gem","Idaho",0.0393286393295014,27.8446236460109,2.16918590370895,0.0185285979538618,-31.2658395169389,2.26541458390075,"2020-04-21",2.30258509299405,0.0177953437019205,0.00138164674625507
16047,"2020-04-14","Gooding","Idaho",0.163478340292953,73.5399984854159,1.54650534677302,0.137466851028626,72.2230264058082,2.58121143184121,"2020-04-21",2.02438176449681,0.228365870616518,0.310059278434876
16049,"2020-04-14","Idaho","Idaho",0.0413550810784625,56.3112214117745,1.1037166024012,0.0416437486790817,56.4788940372814,1.4375882608354,"2020-04-21",1.09861228866811,2.60540186858175e-05,0.114904709706761
16051,"2020-04-14","Jefferson","Idaho",0.0524130241399259,53.2754395509201,1.55795410436631,0.0578307371629777,55.8258973684675,2.03414428422776,"2020-04-21",1.6094379124341,0.00265058249316117,0.180375502242134
16053,"2020-04-14","Jerome","Idaho",0.130825291509858,57.5767457606291,3.32600464699492,0.131982751027245,57.7777776271597,4.38476030400635,"2020-04-21",3.75453342433537,0.1836369130089,0.397185919859815
16055,"2020-04-14","Kootenai","Idaho",0.0162034716264401,-150.072885372914,3.77658988503253,-0.0229012622153436,243.638658945327,3.49561795270533,"2020-04-21",3.92055790787798,0.020726791602028,0.180573965502141
16057,"2020-04-14","Latah","Idaho",0.120818452634945,74.6444952460531,1.00949915535579,0.131734932917975,75.12972342948,2.09066981940716,"2020-04-21",1.18958406687384,0.0324305753564642,0.811955533418545
16063,"2020-04-14","Lincoln","Idaho",0.0738222273934559,47.3424831193925,2.6323173194462,0.0778627553380561,49.0631244317629,3.26532068201215,"2020-04-21",2.79902197930793,0.0277904436196179,0.21743448014363
16065,"2020-04-14","Madison","Idaho",0.0974312472198118,63.2953708755821,1.91984659159586,0.106271837007223,64.7265973681023,2.79212276212218,"2020-04-21",2.07944154167984,0.0254705480923059,0.507914521971182
16067,"2020-04-14","Minidoka","Idaho",0.188199375090135,72.7953824978115,1.92050263694573,0.138520158877351,70.0321792079068,2.90446586743258,"2020-04-21",2.27359755612079,0.124676021947245,0.39799482621738
16069,"2020-04-14","Nez Perce","Idaho",0.067021930813818,38.0150631329022,3.0149773263706,0.0683241371699311,38.8247938828098,3.56482593962033,"2020-04-21",3.49216915986788,0.227712045956501,0.00527900764399551
16073,"2020-04-14","Owyhee","Idaho",0.102473029483291,70.9577195708268,1.23400895746473,0.117358292219635,72.1680247704482,2.21008845206266,"2020-04-21",1.42138568093116,0.0351100364970167,0.622052061190513
16075,"2020-04-14","Payette","Idaho",0.0620723724480663,50.2872851296027,2.0305558212227,0.0606196690064518,49.5632608056152,2.51188141467027,"2020-04-21",2.33075596996074,0.0901201293023458,0.0328064267212253
