"fips","date.x","county","state","r","t0","lm_predict","r.grf2000","t0.grf2000","grf_predict2000","date.y","log_rolled_cases","lm_mse","grf_mse"
16001,"2020-04-20","Ada","Idaho",0.0198086138631645,-231.821779306617,6.37484335904133,0.0240946695578214,-175.019550608659,6.38555849827797,"2020-04-28",6.47256706942177,0.00954992357051978,0.00757049145248536
16003,"2020-04-20","Adams","Idaho",0.0359020611829875,86.3333333333334,0.131640891004286,0.0322938592825188,86.2029813414251,0.122620386253115,"2020-04-28",1.09861228866811,0.935033683899929,0.95256019357964
16005,"2020-04-20","Bannock","Idaho",0.0424575949984738,40.8652142877996,2.0861448321054,0.0426089155765937,41.0308322726502,2.08652313355071,"2020-04-28",2.11453286149111,0.000805880212403503,0.000784544859295294
16011,"2020-04-20","Bingham","Idaho",0.0609856439986919,73.5287899890728,1.00450734995409,0.0421644627511908,67.2923847628463,0.957454396835342,"2020-04-28",1.09861228866811,0.00885573949036892,0.0199255504266714
16013,"2020-04-20","Blaine","Idaho",0.0064369194695397,-866.94971707744,6.15980826522628,0.0200991259095185,-218.170803507077,6.19396378132623,"2020-04-28",6.19440539110467,0.00119696111904499,1.95019196415091e-07
16017,"2020-04-20","Bonner","Idaho",0.00519537773869629,-178.16558901216,1.39322153143815,0.0192003551855956,15.6141898808787,1.4282339750554,"2020-04-28",1.38629436111989,4.79856886182048e-05,0.00175893121705962
16019,"2020-04-20","Bonneville","Idaho",0.0421643370476189,14.0263462400236,3.20337874387474,0.041099361779989,12.1224815402346,3.20071630570567,"2020-04-28",3.31678003984957,0.0128598539287715,0.0134707903834272
16025,"2020-04-20","Camas","Idaho",0,85,0,0.0107973949206453,87.5,0.0269934873016132,"2020-04-28",0,0,0.000728648356702354
16027,"2020-04-20","Canyon","Idaho",0.0335028149455298,-65.9414864400071,5.2244787625304,0.0294545219713119,-87.0308150026514,5.21435803009486,"2020-04-28",5.44118008660145,0.0469594638541445,0.0514482453178787
16029,"2020-04-20","Caribou","Idaho",0,85,0,0.0107973949206453,87.5,0.0269934873016132,"2020-04-28",0,0,0.000728648356702354
16031,"2020-04-20","Cassia","Idaho",0.044645285946578,38.4103434814668,2.30323496715565,0.0437112034247217,37.3613266032914,2.30089976085102,"2020-04-28",2.484906649788,0.0330046002704677,0.0338585351762679
16037,"2020-04-20","Custer","Idaho",-7.76994260291722e-17,8920879033259655,0.693147180559945,0.00767062224278847,-2.8638790466584,0.712323736166916,"2020-04-28",0.693147180559945,1.23259516440783e-32,0.000367740284947258
16039,"2020-04-20","Elmore","Idaho",0.0427905916192927,19.7712095048773,3.00513149399366,0.0438150179023792,21.3547568004517,3.00769255970138,"2020-04-28",3.3964241029095,0.153109905792163,0.151112212684968
16043,"2020-04-20","Fremont","Idaho",-7.76994260291722e-17,8920879033259655,0.693147180559945,0.00767062224278847,-2.8638790466584,0.712323736166916,"2020-04-28",0.693147180559945,1.23259516440783e-32,0.000367740284947258
16045,"2020-04-20","Gem","Idaho",0.014758472233284,-66.6964447380626,2.31260012872101,0.0231441686588686,-10.8273143952732,2.33356436978497,"2020-04-28",2.43611648561857,0.0152562904212441,0.0105169364619467
16047,"2020-04-20","Gooding","Idaho",0.0610257399392802,57.8432491955928,1.96238951188199,0.0428584097982054,45.27199456174,1.91697118652931,"2020-04-28",2.18122423598978,0.0478886364753308,0.0698296741491578
16049,"2020-04-20","Idaho","Idaho",0,85,0,0.0107973949206453,-14.2479027804657,1.12560577596972,"2020-04-28",1.09861228866811,1.20694896081258,0.000728648356702348
16051,"2020-04-20","Jefferson","Idaho",-7.76994260291722e-17,20713639658417084,1.6094379124341,0.00767062224278847,-122.31842952144,1.62861446804107,"2020-04-28",1.6094379124341,4.93038065763132e-32,0.000367740284947258
16053,"2020-04-20","Jerome","Idaho",0.0462050544353004,9.25154592346233,3.73098671617278,0.0414575390606234,0.290914221955742,3.71911792773609,"2020-04-28",3.81928095372953,0.00779587238572853,0.0100326317761637
16055,"2020-04-20","Kootenai","Idaho",0.0191176691163872,-113.864209327179,3.89740849859091,0.0230613970820598,-79.42892941836,3.90726781850509,"2020-04-28",4.08477511120595,0.0351062475228359,0.0315088389619902
16057,"2020-04-20","Latah","Idaho",0.00664571651927034,-78.9780045009701,1.12297991590543,0.021964431786447,37.1292171195646,1.16127670407338,"2020-04-28",1.42138568093116,0.0890460006005886,0.0676566798420032
16063,"2020-04-20","Lincoln","Idaho",0.0198015799916898,-50.0253197674834,2.77272257023777,0.0245940603107432,-23.2266789562596,2.7847037710354,"2020-04-28",3.08452777233712,0.0972224840562189,0.0898944317565734
16065,"2020-04-20","Madison","Idaho",-0.00151710660852024,1460.10721132019,2.0785987046751,0.00762988475804308,-185.425678071512,2.10146618309151,"2020-04-28",2.11453286149111,0.00129126362607722,0.000170738084398476
16067,"2020-04-20","Minidoka","Idaho",0.025810601556848,2.10343829179427,2.26866313246741,0.0275776305858745,7.57519929198476,2.27308070503997,"2020-04-28",2.316769727986,0.00231424453238946,0.00190873072597843
16069,"2020-04-20","Nez Perce","Idaho",0.0543933135946221,27.5809957219894,3.39517647395789,0.0441938763573882,13.7523802253778,3.3696778808648,"2020-04-28",4.02535169073515,0.39712080384027,0.429908144949894
16073,"2020-04-20","Owyhee","Idaho",-1.55398852058344e-16,8920879033259655,1.38629436111989,0.00767062224278847,-93.2277580933168,1.40547091672686,"2020-04-28",2.00533356952611,0.383209541544204,0.359835202223356
