"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","tau.var.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
1001,"Autauga","Alabama",140,"2020-06-09",5.04065631035112,-484.229517553762,0.00812133131742449,1.34553332036204e-06,5.12642404939211,5.09913644204585,5.09750562957309,85.3489598525286
1003,"Baldwin","Alabama",140,"2020-06-09",4.34565899050301,595.992075070339,-0.00942675422313919,6.85350532387997e-07,4.23253793982534,4.27762506401552,4.27967171094104,-73.5297817416864
1005,"Barbour","Alabama",140,"2020-06-09",4.72485617179056,398.646865901205,-0.017923556450957,4.65963671184524e-05,4.51040680668667,4.5814677201829,4.59939127663386,-38.6724131707094
1007,"Bibb","Alabama",140,"2020-06-09",3.49216915986788,-10.3010677555175,0.0238727911898682,3.67611584316658e-06,3.75521554447077,3.66117258266806,3.65927869819696,29.035028834589
1009,"Blount","Alabama",140,"2020-06-09",3.22457384598284,82.5032958068833,0.0611747095386912,4.4321689767597e-06,3.9455671452168,3.65547531561076,3.65279681275368,11.3306166189731
1011,"Bullock","Alabama",140,"2020-06-09",5.27957132372698,-180.046413514965,0.0167580746748485,5.55668508126466e-06,5.48066821982516,5.40118610817835,5.39687784645092,41.3619818510692
1013,"Butler","Alabama",140,"2020-06-09",5.22881416078107,322.6665434546,-0.0280987590401226,3.71041100070694e-06,4.93601187594204,5.03493495503407,5.03212284750021,-24.6682488564777
1015,"Calhoun","Alabama",140,"2020-06-09",3.94573406277046,-51.128908125932,0.0212357818067175,2.10087986961458e-06,4.20742226256547,4.09609389487384,4.09438453541748,32.6405303496141
1017,"Chambers","Alabama",140,"2020-06-09",4.06290303638728,66.9911299728293,0.0597407813828414,2.98730248569806e-06,4.77979241298138,4.48005109118806,4.48108850606717,11.6025797539874
1021,"Chilton","Alabama",140,"2020-06-09",3.67449071666184,-285.526928759951,0.00874212514222953,8.21043753842844e-07,3.78120453860369,3.7371549584706,3.73568559265745,79.2881787074452
1023,"Choctaw","Alabama",140,"2020-06-09",4.34008794545355,313.964757550094,-0.0242510760490859,3.380102052777e-06,4.04907503286452,4.17181605170491,4.17033041310995,-28.582120610111
1025,"Clarke","Alabama",140,"2020-06-09",4.43421238784445,-729.580145184825,0.00512874649335896,5.28461671592601e-06,4.49575734576476,4.47354600654314,4.47011361329796,135.14943299644
1031,"Coffee","Alabama",140,"2020-06-09",4.43759648582869,440.154543349143,-0.0145992440009571,2.08480856148836e-06,4.27983470834331,4.33589083347223,4.33540177782199,-47.4782927468369
1033,"Colbert","Alabama",140,"2020-06-09",4.82258306259331,-275.405042078107,0.0117633274707497,9.46307223191392e-07,4.96888883526059,4.90629097513842,4.90492635488856,58.9244142257793
1035,"Conecuh","Alabama",140,"2020-06-09",3.4106761256167,72.4519917116234,0.0539611304575482,6.20420906223071e-06,4.02269480059947,3.78908380266415,3.78840403881954,12.8453050312808
1039,"Covington","Alabama",140,"2020-06-09",3.50941096630239,-19.6160904168948,0.0225783755716589,2.50154046396183e-06,3.76192066571413,3.6684388590722,3.667459595304,30.6996036256038
1041,"Crenshaw","Alabama",140,"2020-06-09",3.55534806148941,-516.964008497342,0.00535476211378125,3.15430844888608e-06,3.5553693176159,3.59409617314814,3.59283139628588,129.444999764981
1043,"Cullman","Alabama",140,"2020-06-09",4.7349445297349,65.3146223084822,0.0679474616711627,4.8159354597715e-06,5.55031406978885,5.21373472944681,5.21057676143304,10.2012225845093
1045,"Dale","Alabama",140,"2020-06-09",4.32129039948605,374.724367013056,-0.0180260790896184,8.57236357643947e-06,4.10497745041063,4.1770817667691,4.19510784585872,-38.4524652928625
1047,"Dallas","Alabama",140,"2020-06-09",5.17534230418923,-9.93638141594227,0.0357076825958342,5.403090854154e-06,5.60383449533924,5.42397773380927,5.42529608236007,19.4117100346582
1049,"DeKalb","Alabama",140,"2020-06-09",4.4274096405217,282.268844197702,-0.0297352200613818,1.81227291605045e-06,4.02224884966743,4.21978228838845,4.21926310009203,-23.3106457301845
1051,"Elmore","Alabama",140,"2020-06-09",5.45897742656081,-257.01495445209,0.0139254315800036,1.88470793840676e-06,5.62608260552085,5.55814082430634,5.55645544762084,49.775633636754
1053,"Escambia","Alabama",140,"2020-06-09",3.76120011569356,51.811764466601,0.0445151703222241,3.67468176592678e-06,4.23732051744124,4.07663790163491,4.07280630794913,15.571032875817
1055,"Etowah","Alabama",140,"2020-06-09",4.29241447598419,-427.713320537907,0.00758082019349764,1.68205127543896e-06,4.35679834580585,4.34718442904319,4.34548021733867,91.4343254249038
1059,"Franklin","Alabama",140,"2020-06-09",5.71326121861075,455.93823600815,-0.0178017468085843,2.88217697268298e-06,5.49964025690774,5.59046487467517,5.58864899095066,-38.9370317426209
1061,"Geneva","Alabama",140,"2020-06-09",3.27444567602301,292.679627977491,-0.0209197992769703,9.28491147676883e-07,3.04758857603282,3.12847847178857,3.12800708108422,-33.1335483377702
1065,"Hale","Alabama",140,"2020-06-09",4.7779222917659,-154.545588020203,0.016449629189817,2.8979117193487e-06,4.96031310675765,4.8937709683163,4.89306969609462,42.1375565711252
1067,"Henry","Alabama",140,"2020-06-09",3.89182029811063,494.813105949527,-0.0108705351486886,4.61563503788083e-06,3.78091459339887,3.81066998678654,3.81572655206981,-63.7638507285051
1069,"Houston","Alabama",140,"2020-06-09",4.79460921055091,430.823844498309,-0.0162076495851176,9.44774112169336e-06,4.6001174155295,4.66494801386997,4.68115566345509,-42.7666687214423
