"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future0","predicted.grf.future6","Predicted_Double_Days"
1001,"Autauga","Alabama",130,"2020-05-30",5.25526073422637,3.97801324791884,0.0407192231314037,5.41655195994063,5.48417041569811,5.5402952961462,17.0226032634049
1003,"Baldwin","Alabama",130,"2020-05-30",5.63121178182137,-179.064510656577,0.0182201824785978,5.75875305917156,5.82997927899045,5.75875305917155,38.0428231920369
1005,"Barbour","Alabama",130,"2020-05-30",4.86091921133686,19.5870166147132,0.0432395741686754,5.07688740345356,5.15289591272877,5.16359623051759,16.0303886864383
1007,"Bibb","Alabama",130,"2020-05-30",4.20469261939097,-2.51473081877198,0.0315387363227026,4.40011830842609,4.39633861058783,4.42546377364989,21.9776459483887
1009,"Blount","Alabama",130,"2020-05-30",3.99688922607139,-38.7961112271791,0.0236787992152974,4.16264082057847,4.17902540070676,4.16264082057847,29.2729024921223
1011,"Bullock","Alabama",130,"2020-05-30",5.12226185133273,56.3030062923068,0.0695043528050727,5.60879232096824,5.23428992675228,5.60879232096824,9.97271613338951
1013,"Butler","Alabama",130,"2020-05-30",5.94167388260497,-29.645938450465,0.0372178205112845,6.20219862618396,6.24363434148581,6.20219862618396,18.6240669399161
1015,"Calhoun","Alabama",130,"2020-05-30",5.00872871582568,-86.3648845279882,0.0231004250396464,5.15982377152806,5.21505904790837,5.1704316911032,30.0058193461948
1017,"Chambers","Alabama",130,"2020-05-30",5.83939503348455,-232.37129278787,0.0162451238822234,6.00048240987597,6.01244142793392,5.95311090066011,42.6680144506892
1019,"Cherokee","Alabama",130,"2020-05-30",3.5305534028762,-14.5404475153964,0.0242133940135315,3.66930856467718,3.74876132666106,3.70004716097092,28.6266014658079
1021,"Chilton","Alabama",130,"2020-05-30",4.53566698022112,-46.5247478512278,0.0255381905324183,4.68688997803868,4.75598731069435,4.71443431394805,27.1415932808576
1023,"Choctaw","Alabama",130,"2020-05-30",4.9894602969598,9.23051167483975,0.0413139143516627,5.27865769742144,5.34227220645307,5.27865769742144,16.7775721917778
1025,"Clarke","Alabama",130,"2020-05-30",4.81566261974874,23.3486730554958,0.0440854398066697,5.01036873296007,5.06814710906432,5.12426069839543,15.7228142352587
1027,"Clay","Alabama",130,"2020-05-30",3.29583686600433,-71.4742900347092,0.0167449195014157,3.490885204746,3.51352081952273,3.41305130251424,41.3944767247966
1031,"Coffee","Alabama",130,"2020-05-30",5.38055546478501,-53.2110617579816,0.029368070973207,5.58613196159746,5.60522479026698,5.58613196159746,23.6020670609355
1033,"Colbert","Alabama",130,"2020-05-30",5.05533547301416,4.94883577430731,0.0399015826743763,5.26905044659912,5.24610839347923,5.33464655173479,17.3714207332699
1035,"Conecuh","Alabama",130,"2020-05-30",3.49216915986788,61.3386850493354,0.0484764626896188,3.66779291125339,3.75318806812996,3.83150439869521,14.2986336482093
1037,"Coosa","Alabama",130,"2020-05-30",3.55942138687705,-82.6613495916236,0.0168856629457451,3.70912751141163,3.72034084090569,3.67762102749727,41.0494502221844
1039,"Covington","Alabama",130,"2020-05-30",4.28653786749521,-27.2686822692121,0.0272561441073025,4.47733087624633,4.46754291992141,4.47733087624633,25.4308598395705
1041,"Crenshaw","Alabama",130,"2020-05-30",4.20041910861358,-0.851576258119412,0.0314894829433726,4.34087485929708,4.40098933429095,4.42084548921719,22.0120216583558
1043,"Cullman","Alabama",130,"2020-05-30",4.54784369079637,-25.5375600484859,0.0294053834945848,4.77947928549983,4.66289650566175,4.75368137525846,23.5721183737526
1045,"Dale","Alabama",130,"2020-05-30",4.56285898791637,14.8734611015031,0.0384148801468928,4.6914763545406,4.7918079178938,4.83176314894462,18.0437158181791
1047,"Dallas","Alabama",130,"2020-05-30",5.44179909002573,-0.469937566242641,0.0417092181657771,5.73376361718617,5.71189181328424,5.73376361718617,16.6185608611739
1049,"DeKalb","Alabama",130,"2020-05-30",5.4614075614141,-51.2341521335811,0.0301345386458326,5.67234933193493,5.72653604872525,5.67234933193493,23.0017518670658
1051,"Elmore","Alabama",130,"2020-05-30",5.7037824746562,-26.4013106349034,0.0367680487450571,6.00794735443034,5.92718203119291,5.9611588158716,18.8518891868889
1053,"Escambia","Alabama",130,"2020-05-30",3.88890058800729,4.2261552442325,0.0305625393100373,4.05790584969293,4.0790239756658,4.10283836317755,22.6796331786575
1055,"Etowah","Alabama",130,"2020-05-30",5.48834723307782,-99.8639877436873,0.0238764988241554,5.65548272484691,5.71628420471648,5.65548272484691,29.0305201639824
1059,"Franklin","Alabama",130,"2020-05-30",6.21375058800806,-13.3170704283178,0.0426490282159278,6.41087697803292,6.55372835016451,6.51229378551955,16.2523557875835
1061,"Geneva","Alabama",130,"2020-05-30",3.64133850934494,48.2055152434875,0.0442609659216215,3.93012966383595,3.8817558359724,3.95116527079629,15.6604621279027
1063,"Greene","Alabama",130,"2020-05-30",4.51711930786536,-24.8286151377911,0.0290673937399709,4.70393607460439,4.85358823737083,4.72059106404516,23.8462101817815
1065,"Hale","Alabama",130,"2020-05-30",4.96583715119636,8.90411781697674,0.0408822254204267,5.23684473083478,5.23842181076359,5.25201272913935,16.9547321221319
1067,"Henry","Alabama",130,"2020-05-30",4.22160634183303,28.3900435491536,0.0400518199823912,4.35002642406464,4.3978094061988,4.50196908170977,17.3062592627423
1069,"Houston","Alabama",130,"2020-05-30",5.22804817070148,-38.9510189279989,0.0309441647873665,5.44465732421305,5.42427319498233,5.44465732421305,22.399931790789
