"fips","county","state","predicted.lm","predicted.slm","predicted.grf","predicted.grf.augmented","predicted.grf.fonly","date.y","days_from_start.y","log_rolled_cases.y"
46003,"Aurora","South Dakota",3.38340390343506,3.32831280514635,3.45268395781512,3.45274829460853,3.45799807206803,"2020-06-10",141,3.34739462541792
46003,"Aurora","South Dakota",3.41645411539631,3.36109448975525,3.49067342776406,3.44281360107099,3.43590697624588,"2020-06-11",142,3.35739490825748
46003,"Aurora","South Dakota",3.44311604961186,3.39436163653256,3.47975680928554,3.43796344953483,3.43709256952295,"2020-06-12",143,3.37220994282811
46003,"Aurora","South Dakota",3.4614266924777,3.41534749960831,3.54613562119092,3.49148766079157,3.49020283628698,"2020-06-13",144,3.39162807487676
46003,"Aurora","South Dakota",3.47107076282548,3.43219826356902,3.56625988578321,3.51798336971056,3.49927229563035,"2020-06-14",145,3.41067598410726
46003,"Aurora","South Dakota",3.47419452041451,3.4454292527716,3.57144522105655,3.4979478827098,3.52753939239921,"2020-06-15",146,3.42936816603625
46003,"Aurora","South Dakota",3.47286164749381,3.44413758977978,3.55100170502106,3.53565613974751,3.50506115214919,"2020-06-16",147,3.4477173518425
46003,"Aurora","South Dakota",3.47029915901221,3.44780754063824,3.55372401863375,3.5506343612868,3.54351304776596,"2020-06-17",148,3.46573590279973
46003,"Aurora","South Dakota",3.46490908761357,3.44691158824362,3.53440909617137,3.57605746354196,3.54386311694787,"2020-06-18",149,3.48343552375878
46003,"Aurora","South Dakota",3.46635685729181,3.4454624173435,3.53696324924465,3.57298825109825,3.57677701345795,"2020-06-19",150,3.50082730881789
46003,"Aurora","South Dakota",3.48218308926318,3.45740338166864,3.61502736127973,3.63205051992896,3.63721317146892,"2020-06-20",151,3.50512817575501
46003,"Aurora","South Dakota",3.50538775559608,3.47259937436095,3.58069326863199,3.63763478289951,3.63479585010995,"2020-06-21",152,3.50941092356734
46003,"Aurora","South Dakota",3.53407338985067,3.49061346865083,3.60650232864587,3.67404270638209,3.66921285317142,"2020-06-22",153,3.51367540764204
46003,"Aurora","South Dakota",3.56640584194891,3.52104753890046,3.63387437016802,3.66392688802739,3.65652341196253,"2020-06-23",154,3.51792178308893
46003,"Aurora","South Dakota",3.59416786611223,3.55393588900672,3.63274708874275,3.658193625575,3.6712018812307,"2020-06-24",155,3.52214990769163
46003,"Aurora","South Dakota",3.61401505174033,3.57869150319159,3.62853758443866,3.69000454974695,3.65680937157299,"2020-06-25",156,3.52636052461616
46003,"Aurora","South Dakota",3.62901422956627,3.59430202105539,3.64774961704962,3.6685521193528,3.68131445059143,"2020-06-26",157,3.52636052461616
46003,"Aurora","South Dakota",3.62826728488207,3.60145685400887,3.66028920764308,3.69712948696138,3.70044382819397,"2020-06-27",158,3.52636052461616
46003,"Aurora","South Dakota",3.61667523838123,3.60124805663474,3.62762219758485,3.7107051808398,3.71902097250527,"2020-06-28",159,3.52636052461616
46003,"Aurora","South Dakota",3.59903182092978,3.59474389817427,3.62913200041975,3.71059797884445,3.70740794331151,"2020-06-29",160,3.52636052461616
46003,"Aurora","South Dakota",3.58002679769838,3.58298756411211,3.63627065560634,3.69399046756617,3.69685818103579,"2020-06-30",161,3.52636052461616
46003,"Aurora","South Dakota",3.5642496229844,3.56699848920798,3.59186672204253,3.68015095564828,3.67558160061057,"2020-07-01",162,3.52636052461616
46003,"Aurora","South Dakota",3.55619413687901,3.54777382221163,3.58838353046499,3.66497911641929,3.67160794142973,"2020-07-02",163,3.52636052461616
46003,"Aurora","South Dakota",3.55516915982914,3.54918037924671,3.57593171139542,3.66301135510152,3.68114276628506,"2020-07-03",164,3.52636052461616
46003,"Aurora","South Dakota",3.55055486319904,3.54818496384049,3.60454620083628,3.66562178128754,3.66668217324839,"2020-07-04",165,3.52636052461616
46003,"Aurora","South Dakota",3.54386397487723,3.54509765844627,3.57592954020837,3.67571282142525,3.65213754505563,"2020-07-05",166,3.52636052461616
46003,"Aurora","South Dakota",3.53660256570546,3.54022667250778,3.60890551724324,3.68108555213213,3.66890740653509,"2020-07-06",167,3.52636052461616
46003,"Aurora","South Dakota",3.53027038318894,3.53387948340997,3.59025318013941,3.67695179732614,3.67635093230361,"2020-07-07",168,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.65537128505313,3.68409687180718,3.67531029780586,"2020-07-08",169,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.68314995083946,3.68110876651904,3.68313354432609,"2020-07-09",170,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.67498898385772,3.65749356496969,3.66613903103477,"2020-07-10",171,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.73461134788766,3.67234518717949,3.67614852286904,"2020-07-11",172,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.72144276202909,3.68210305990489,3.66719723419036,"2020-07-12",173,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.68301313969569,3.67341507589103,3.69548317050455,"2020-07-13",174,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.65177860774457,3.65985189714258,3.67475566976749,"2020-07-14",175,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.64799526084652,3.65576878272441,3.68144485558559,"2020-07-15",176,3.52636052461616
46003,"Aurora","South Dakota",3.52636052461616,3.52636052461616,3.6362483308138,3.6701937070033,3.65874551387901,"2020-07-16",177,3.5305534865582
