,date,county,state,fips,cases,deaths,datetime,logcases,days_from_start,window_days,normalized_cases,rate
201011,2020-06-03,Dougherty,Georgia,13095,1790,149,2020-06-03,7.489970898834801,134,0,1.0,0.002292981097872979
201012,2020-06-03,Douglas,Georgia,13097,556,25,2020-06-03,6.320768294250582,134,0,1.0,0.01519891725650148
201013,2020-06-03,Early,Georgia,13099,247,32,2020-06-03,5.5093883366279774,134,0,1.0,0.002854308533236562
201014,2020-06-03,Echols,Georgia,13101,125,0,2020-06-03,4.8283137373023015,134,0,1.0,0.023007857431785305
201015,2020-06-03,Effingham,Georgia,13103,75,1,2020-06-03,4.31748811353631,134,0,1.0,0.011818407105582145
201016,2020-06-03,Elbert,Georgia,13105,75,0,2020-06-03,4.31748811353631,134,0,1.0,0.012187718836424452
201017,2020-06-03,Emanuel,Georgia,13107,28,2,2020-06-03,3.332204510175204,134,0,1.0,0.039686432634201026
201018,2020-06-03,Evans,Georgia,13109,5,0,2020-06-03,1.6094379124341003,134,0,1.0,0.04078104414235945
201019,2020-06-03,Fannin,Georgia,13111,49,1,2020-06-03,3.8918202981106265,134,0,1.0,0.027236656323601706
201020,2020-06-03,Fayette,Georgia,13113,239,13,2020-06-03,5.476463551931511,134,0,1.0,0.008511883376530832
201021,2020-06-03,Floyd,Georgia,13115,281,15,2020-06-03,5.638354669333745,134,0,1.0,0.025768208462608428
201022,2020-06-03,Forsyth,Georgia,13117,534,12,2020-06-03,6.280395838960195,134,0,1.0,0.009911038305864631
201023,2020-06-03,Franklin,Georgia,13119,105,1,2020-06-03,4.653960350157523,134,0,1.0,0.028289182190035074
201024,2020-06-03,Fulton,Georgia,13121,4688,244,2020-06-03,8.452761331256848,134,0,1.0,0.008041697949931495
201025,2020-06-03,Gilmer,Georgia,13123,157,1,2020-06-03,5.056245805348308,134,0,1.0,0.006752414619246004
201026,2020-06-03,Glascock,Georgia,13125,1,0,2020-06-03,0.0,134,0,1.0,1.3494123635547507e-10
201027,2020-06-03,Glynn,Georgia,13127,135,2,2020-06-03,4.90527477843843,134,0,1.0,0.03001938127150441
201028,2020-06-03,Gordon,Georgia,13129,170,16,2020-06-03,5.135798437050262,134,0,1.0,0.03568094048089972
201029,2020-06-03,Grady,Georgia,13131,117,4,2020-06-03,4.762173934797756,134,0,1.0,0.015144875113498598
201030,2020-06-03,Greene,Georgia,13133,71,7,2020-06-03,4.2626798770413155,134,0,1.0,0.018591146028741182
201031,2020-06-03,Gwinnett,Georgia,13135,4063,135,2020-06-03,8.309676895987726,134,0,1.0,0.02327146499171691
201032,2020-06-03,Habersham,Georgia,13137,538,23,2020-06-03,6.2878585601617845,134,0,1.0,0.008711238123954987
201033,2020-06-03,Hall,Georgia,13139,2539,50,2020-06-03,7.839525581704678,134,0,1.0,0.007426326544395169
201034,2020-06-03,Hancock,Georgia,13141,197,25,2020-06-03,5.2832037287379885,134,0,1.0051020408163265,0.002823364166657662
201035,2020-06-03,Haralson,Georgia,13143,49,4,2020-06-03,3.8918202981106265,134,0,1.0,0.014492535822961198
201036,2020-06-03,Harris,Georgia,13145,111,6,2020-06-03,4.709530201312334,134,0,1.0,0.052795755397356585
201037,2020-06-03,Hart,Georgia,13147,34,0,2020-06-03,3.5263605246161616,134,0,1.0,0.02121787408404913
201038,2020-06-03,Heard,Georgia,13149,35,2,2020-06-03,3.5553480614894135,134,0,1.0,0.017649545365329627
201039,2020-06-03,Henry,Georgia,13151,716,23,2020-06-03,6.573680166960646,134,0,1.0,0.014735652967304393
201040,2020-06-03,Houston,Georgia,13153,381,18,2020-06-03,5.942799375126701,134,0,1.0,0.011928483538989908
201041,2020-06-03,Irwin,Georgia,13155,31,1,2020-06-03,3.4339872044851463,134,0,1.0,0.015812153573844637
201042,2020-06-03,Jackson,Georgia,13157,199,6,2020-06-03,5.293304824724492,134,0,1.0,0.025201319273758137
201043,2020-06-03,Jasper,Georgia,13159,40,1,2020-06-03,3.6888794541139363,134,0,1.0,0.0319524173692188
201044,2020-06-03,Jeff Davis,Georgia,13161,38,1,2020-06-03,3.6375861597263857,134,0,1.0,0.03497815200675672
201045,2020-06-03,Jefferson,Georgia,13163,46,1,2020-06-03,3.828641396489095,134,0,1.0,0.01662885718009267
201046,2020-06-03,Jenkins,Georgia,13165,21,1,2020-06-03,3.044522437723423,134,0,1.0,0.0701185375542184
201047,2020-06-03,Johnson,Georgia,13167,82,2,2020-06-03,4.406719247264253,134,0,1.0649350649350648,0.0033839644633220957
