"fips","county","state","date.x","weekly new cases","days_from_start","log_rolled_cases.x.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","log_rolled_cases.x.y","block.mse","block new cases","block.mse.0","block.mse.last","block.mape","block.mape.0","block.mape.last","metrics.testPositivityRatio","metrics.vaccinationsInitiatedRatio","metrics.vaccinationsCompletedRatio","d20","rolled_cases.2021.06.09","rolled_cases.2021.06.10","rolled_cases.2021.06.11","rolled_cases.2021.06.12","rolled_cases.2021.06.13","rolled_cases.2021.06.14","rolled_cases.2021.06.15","rolled_cases.2021.06.16","rolled_cases.2021.06.17","rolled_cases.2021.06.18","rolled_cases.2021.06.19","rolled_cases.2021.06.20","rolled_cases.2021.06.21","rolled_cases.2021.06.22"
1001,"Autauga","Alabama","2021-06-22",12,518,4.60087526170521,748.716979356017,-0.0193963303230843,4.33928843047194,4.46277473489214,4.46510094944362,-35.7359958824275,4.13113705712043,4.48561419819401,4.47223517860881,4.94977254869255,0.220653980846532,-41.5714285714281,0.0132851127617329,0.0165482709790487,0.10209757445384,0.0250519861884891,0.0279599154028624,0.0518571428571429,0.314,0.248,0,211.857142857143,204.714285714286,193,177.857142857143,166,153.142857142857,141.142857142857,128.285714285714,114.142857142857,104.714285714286,103.285714285714,102.857142857143,101.285714285714,99.5714285714286
1003,"Baldwin","Alabama","2021-06-22",68,518,5.56452040732269,-1547.65064313112,0.00270037059696227,5.59692485448624,5.58502808173698,5.58342300150143,256.685945751182,5.29714280873021,5.42723052863015,5.43226477465843,5.62143552695793,0.0714907802290815,-15.2857142857161,0.0188485107914124,0.0174915523714238,0.0480504300497527,0.0246723650275183,0.0237676606397592,0.0818571428571429,0.353,0.284,0,383,352.142857142857,320.428571428571,299.714285714286,290.142857142857,282.428571428571,276.285714285714,269.142857142857,261.714285714286,258.428571428571,256.285714285714,257.571428571429,260.714285714286,261
1005,"Barbour","Alabama","2021-06-22",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222857142857143,0.318,0.243,0,24.4285714285714,23.2857142857143,22.4285714285714,21.7142857142857,21,20.1428571428571,19.1428571428571,17.8571428571429,17,16,15,14.1428571428571,13.2857142857143,12.2857142857143
1007,"Bibb","Alabama","2021-06-22",3,518,3.05803615689015,695.919583417936,-0.0167514540448947,2.8631515469981,2.93735805540045,2.94077597857589,-41.3783292305419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402857142857143,0.305,0.233,0,31.5714285714286,26.7142857142857,21.8571428571429,19,18.4285714285714,18.1428571428571,18.4285714285714,19.1428571428571,19.5714285714286,19.8571428571429,20.5714285714286,21.1428571428571,21.5714285714286,21.2857142857143
1009,"Blount","Alabama","2021-06-22",12,518,4.45434729625351,658.354069825972,-0.0306903207765209,4.09267917981364,4.2415073774717,4.23951505081786,-22.5852048144842,4.14368767967301,4.37644781446549,4.37373509647771,4.68080760019371,0.0965093973739431,-21.8571428571425,0.006068329262842,0.00649832675269346,0.0697430164104607,0.0174884167324671,0.0180974213312019,0.0858571428571429,0.293,0.241,0,161.285714285714,146.857142857143,132.142857142857,124,118.428571428571,113,107.857142857143,103.571428571429,100,96.2857142857143,93.7142857142857,91.5714285714286,88.8571428571429,86
1011,"Bullock","Alabama","2021-06-22",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.421,0.341,0,7.28571428571429,7.57142857142857,7.57142857142857,7.85714285714286,8.42857142857143,8.57142857142857,8.85714285714286,9.14285714285714,9,9.14285714285714,9.28571428571429,9.42857142857143,9.85714285714286,10.2857142857143
1013,"Butler","Alabama","2021-06-22",6,518,3.25258688221051,576.866414665333,-0.05163571870865,2.67815959808533,2.89849947330327,2.89113685124996,-13.4237926360814,3.4381498546854,3.50047794407324,3.50601724010531,3.59926729542425,0.0344336167537168,-10.7142857142858,0.0614499785514319,0.0642269463026863,0.0570508887832624,0.0762135096893275,0.0779165529077472,0.149428571428571,0.327,0.258,0,44.2857142857143,41.4285714285714,38.4285714285714,36.8571428571429,36.7142857142857,36.8571428571429,36.5714285714286,35.1428571428571,33,31.4285714285714,29.8571428571429,28.5714285714286,27.4285714285714,25.8571428571429
1015,"Calhoun","Alabama","2021-06-22",10,518,4.62216776235667,1059.23233799942,-0.00846190794797201,4.52062486698101,4.56007475432155,4.56293440672087,-81.9138171700468,4.45638254092982,4.52992051051902,4.54336783084207,4.63749907310345,0.0274847396435499,-1.57142857142767,0.00850955547159895,0.00620942920670575,0.0358674176166905,0.019957573281723,0.017048262972269,0.0564285714285714,0.315,0.263,0,116.285714285714,111.428571428571,105.142857142857,104,103.714285714286,103.285714285714,103.285714285714,104.428571428571,104.142857142857,103.571428571429,102.571428571429,102.571428571429,102.285714285714,101.714285714286
1017,"Chambers","Alabama","2021-06-22",4,518,4.19181690503092,621.963884416779,-0.038522188100592,3.73526099446721,3.92592899979252,3.92216158832678,-17.9934529874042,4.07328399075989,4.23807207623613,4.23066357328541,4.48702994368387,0.0140500517655833,-22.7142857142861,0.00213954086322332,0.00150906363447443,0.028277216528415,0.0110346353987208,0.00926726265354469,0.0925714285714286,0.342,0.293,0,111.142857142857,108.714285714286,105.142857142857,100.285714285714,96.4285714285714,92.8571428571429,88.8571428571429,84.5714285714286,80.5714285714286,76.7142857142857,74.1428571428571,71.8571428571429,69,66.1428571428571
1019,"Cherokee","Alabama","2021-06-22",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,0.277,0.237,0,19.8571428571429,21,21.1428571428571,20.7142857142857,20.4285714285714,19.4285714285714,18.4285714285714,17.2857142857143,16,14.8571428571429,13.5714285714286,12.5714285714286,12.1428571428571,11.7142857142857
