"state","fips","county","date.x","weekly.new.cases","days_from_start","log_rolled_cases.x.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","log_rolled_cases.x.y","block.mse","block.new.cases","block.mse.0","block.mse.last","block.mape","block.mape.0","block.mape.last","b1","b2","R0"
"Alabama",1007,"Bibb","2020-08-29",30.4285714285714,221,4.92725368515721,357.922506035099,-0.0350702026179579,4.55640861128378,4.68427901796296,4.68176226683151,-19.7645616169043,4.81027141724197,4.92459889672677,4.92361302797561,5.08229128300269,0.0136848510065931,-23.1428571428563,7.04790161040151e-06,1.32543847139397e-05,0.0237418804450106,0.000538796782158364,0.00073888161930197,5.582396905,5.8,0.987709115741272
"Alabama",1009,"Blount","2020-08-29",129.285714285714,221,5.82726353142722,-1142.21532726947,0.00428695820036264,5.87405583350042,5.85734156108592,5.85727223882976,161.687412884341,5.65719995522928,5.75701817947408,5.75668988218763,5.89597577992931,0.0289216199492325,-24.1428571428581,0.00493440947102055,0.00498063996699263,0.0291841230932433,0.0120546036015529,0.0121109417583359,5.582396905,5.8,1.00150764054102
"Alabama",1031,"Coffee","2020-08-29",107.857142857143,221,5.62401750618734,-188.153577861442,0.0139155455110568,5.79100405232002,5.72079615927341,5.72142632476474,49.8109959116726,5.53244168718085,5.51019949897916,5.51060911253143,5.48004350802223,0.0083861306267094,37.1428571428571,0.0129545387648413,0.0128614637516139,0.0162829896787735,0.0202378472476235,0.0201650143391521,5.582396905,5.8,1.00489796727173
"Alabama",1033,"Colbert","2020-08-29",70,221,5.63427926888923,526.250962640658,-0.0181603925445834,5.41635455835423,5.50720603991198,5.50715652107715,-38.1680725710241,5.42390260877102,5.63984726018886,5.63602767313385,5.93300276324182,0.0442583391224928,-97.4285714285711,3.10025271127558e-05,3.05691740260552e-06,0.0373386994286644,0.000988234880435335,0.000310315509966685,5.582396905,5.8,0.993625930558337
"Alabama",1035,"Conecuh","2020-08-29",30.7142857142857,221,4.43081679884331,698.769371559994,-0.00917791612281826,4.32068180536949,4.36586092095986,4.36657138598358,-75.5233727661373,4.12526622654113,4.26792357439147,4.26748654028531,4.49503639157761,0.0933611522341898,-5.57142857142914,0.0265342025723174,0.0266767733606232,0.0689603263176997,0.0367637011068397,0.0368623362177011,5.582396905,5.8,0.996776120646471
"Alabama",1005,"Barbour","2020-08-29",47,221,4.76217393479776,80.0124921731646,0.0347783327290498,5.14675878694455,5.00561448054474,5.00562226390111,19.9304315695666,4.31889795283389,4.47194870064676,4.47299180948909,4.68872320880638,0.196493596186033,8.28571428571395,0.0842306865380024,0.083626301598039,0.0930826945913926,0.060943854240663,0.060724813765323,5.582396905,5.8,1.01226362099196
"Alabama",1013,"Butler","2020-08-29",18.1428571428571,221,4.21318523943662,56.3212864792939,0.0262293028558859,4.50301297084347,4.39732231678843,4.39679035942782,26.4264431414121,3.85541548715609,4.07120313130413,4.07032139688214,4.39091558209113,0.127999195646872,-13.1428571428573,0.0201589190297461,0.0204100775094312,0.084916691754187,0.0336994696562347,0.0339087494224639,5.582396905,5.8,1.00924211554914
"Alabama",1015,"Calhoun","2020-08-29",231.142857142857,221,6.60934924316738,570.247926882879,-0.0186574112128892,6.38546030861271,6.47991523107359,6.47874736467716,-37.151305325848,6.48076526481201,6.62327659590036,6.62159970658254,6.81876792506129,0.0165338394896942,-172.857142857141,0.000193971154148832,0.00015007385388616,0.019454862139158,0.00210721997288573,0.00185350523394171,5.582396905,5.8,0.993451769656636
"Alabama",1017,"Chambers","2020-08-29",49.2857142857143,221,4.7043688995321,85.5845970443299,0.0356685318864321,5.0797483414434,4.95416370623991,4.95404862273713,19.4330168330704,4.24208638453245,4.40736273806558,4.40618294555579,4.67282883446191,0.213705123674402,3.42857142857005,0.0882126599490764,0.0889148631487619,0.0982666378577643,0.0631341138013348,0.0633849003648433,5.582396905,5.8,1.01257850587418
"Alabama",1011,"Bullock","2020-08-29",15.8571428571429,221,4.47571211875121,403.203248744213,-0.0239083036687394,4.18881247472634,4.30854324098036,4.30835399307003,-28.9919013144479,4.7001683300636,4.65027674258215,4.65023934022872,4.5776521570942,0.0503805907967122,-9.42857142857106,0.0304728078932376,0.0304597510366597,0.0501498321064976,0.0390026478914033,0.0389942911534277,5.582396905,5.8,0.991612730365063
"Alabama",1021,"Chilton","2020-08-29",115.571428571429,221,5.68260747751974,-117.563820769836,0.0170360426511628,5.88703998933369,5.80123098254924,5.80185977607788,40.6871005639702,5.37990641351914,5.51035522550481,5.50966384110873,5.69132423973416,0.0916279341470955,-2.57142857142952,0.029670838324215,0.0299095013750637,0.0532679874860402,0.0303121855057482,0.0304338522579944,5.582396905,5.8,1.00599795581571
"Alabama",1023,"Choctaw","2020-08-29",14.1428571428572,221,3.73766961828337,1.22320176321314,0.0171431773866171,3.88767487934232,3.85766195815006,3.85767185998969,40.4328302115717,3.41963190799579,3.5508528147176,3.55111960982486,3.72051653905712,0.101147985164967,0.714285714285737,0.0349005180945316,0.0348009056558703,0.085089840132432,0.04998216071638,0.0499107806495184,5.582396905,5.8,1.00603573194651
"Alabama",1025,"Clarke","2020-08-29",57,221,6.09807428216624,-812.624697360052,0.00592837630461027,6.16921479782156,6.1406742518548,6.13957291629851,116.920240036199,6.02194061046045,6.04127157898842,6.04569535661489,6.0789520012311,0.00579633596740502,8.42857142857048,0.00322654708830755,0.00274355184191389,0.0124848711548894,0.00931485917512339,0.00858942071344259,5.582396905,5.8,1.00208519618241
