"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future0","predicted.grf.future6","Predicted_Double_Days","predicted.grf.past","block.mse"
6085,"Santa Clara","California",54,"2020-03-15",4.24029847484518,35.1756482948113,0.225256016316163,5.81709058905832,6.18091509432063,5.81709058905832,3.0771527966075,NA,NA
53033,"King","Washington",54,"2020-03-15",5.63121178182137,29.0008373853262,0.225256016316163,7.20800389603451,7.08273701507487,7.20800389603451,3.0771527966075,NA,NA
53061,"Snohomish","Washington",54,"2020-03-15",4.66478589566244,33.2911817764056,0.225256016316163,6.24157800987558,6.02584317997405,6.24157800987558,3.0771527966075,NA,NA
