"fips","county","state","date.x","new_rolled_cases","days_from_start","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","block.mse","block.mse.0","block.mse.last","block.mape","block.mape.0","block.mape.last"
1001,"Autauga","Alabama","2020-08-16",8,208,7.12689080889881,-234.51919809515,0.0161052691941433,7.23962769325781,7.24161442647837,7.23962769325781,43.038534296093,7.10924588466112,7.10550261166025,7.10924588466112,0.00031134335135381,0.000457454981115531,0.00031134335135381,0.00247582356890579,0.00300105583375205,0.00247582356890579
1003,"Baldwin","Alabama","2020-08-16",48.8571428571427,208,8.24860387718299,-381.644079807887,0.0139891235402049,8.34652774196442,8.34343751528932,8.34652774196442,49.5490070244809,8.27318040644458,8.27156497416541,8.27318040644458,0.000604005790545737,0.000527211974636051,0.000604005790545737,0.00297947745188391,0.00278363433670675,0.00297947745188391
1005,"Barbour","Alabama","2020-08-16",5.85714285714289,208,6.47938702765639,-646.691736692858,0.00758096369660448,6.53245377353262,6.53309904684331,6.53245377353262,91.4325946278316,6.48380536126943,6.48839105541198,6.48380536126943,1.95216719161162e-05,8.10725158234322e-05,1.95216719161162e-05,0.000681906111516508,0.00138964190858755,0.000681906111516508
1007,"Bibb","Alabama","2020-08-16",5.28571428571428,208,6.14999338390579,-144.921153929505,0.017425969838958,6.2719751727785,6.27221974091923,6.2719751727785,39.7766773938933,6.18242848561164,6.18288552022658,6.18242848561164,0.0010520358226688,0.00108189263174541,0.0010520358226688,0.00527400595108451,0.00534832060256629,0.00527400595108451
1009,"Blount","Alabama","2020-08-16",10.1428571428571,208,6.88448665204278,-271.11187809374,0.0144062936232526,7.00307044956921,6.98362656993332,6.98533070740555,48.1141922195146,6.94422899341008,6.93959874722915,6.94422899341008,0.00356914735204708,0.00303734303583153,0.00356914735204708,0.00867782078560262,0.0080052584850342,0.00867782078560262
1011,"Bullock","Alabama","2020-08-16",4.57142857142861,208,6.20686390368876,-345.844357214619,0.0112068739580632,6.2853120213952,6.28249034663709,6.2853120213952,61.8501808045441,6.18175420118029,6.18215869269466,6.18175420118029,0.000630497160063848,0.000610347450262975,0.000630497160063848,0.00404547334984208,0.00398030492974352,0.00404547334984208
1013,"Butler","Alabama","2020-08-16",4.57142857142856,208,6.67726336589816,-1174.11237104065,0.0048312015041661,6.71108177642732,6.71363894067309,6.71108177642732,143.473042878096,6.68267980749417,6.68722228155642,6.68267980749417,2.93378395629857e-05,9.91800010883454e-05,2.93378395629857e-05,0.000811176869804548,0.00149146665520522,0.000811176869804548
1015,"Calhoun","Alabama","2020-08-16",25.2857142857142,208,7.58084551419552,-265.491187728974,0.0160105313692444,7.69291923378023,7.68977308936851,7.69291923378023,43.2932027410067,7.68660660500937,7.68544022500426,7.68660660500937,0.0111854083301354,0.010940053529164,0.0111854083301354,0.0139510943226329,0.0137972354947587,0.0139510943226329
1017,"Chambers","Alabama","2020-08-16",3,208,6.82375235905696,-1118.43228676348,0.00514444078838509,6.85976344457566,6.86593359230781,6.85976344457566,134.737128693347,6.84605842436788,6.84947746748944,6.84605842436789,0.000497560549655016,0.00066178120386287,0.000497560549655492,0.00326888552473824,0.00376993581813328,0.0032688855247398
1019,"Cherokee","Alabama","2020-08-16",4.85714285714283,208,5.76608635799236,-133.535296037404,0.0168828417586476,5.88426625030289,5.88441958420236,5.88426625030289,41.0563097415106,5.77855736189372,5.83028978619838,5.83238992061768,0.000155525938307731,0.00412208019340556,0.00439616241680975,0.00216281948050843,0.0111346629619981,0.0114988847736241
1021,"Chilton","Alabama","2020-08-16",10,208,6.78816704350399,-280.495330451242,0.0138960735555722,6.885439558393,6.88366176926126,6.885439558393,49.8807938651131,6.83733843021175,6.83711458239947,6.83733843021175,0.00241782527076402,0.00239586156392447,0.00241782527076402,0.00724369132235992,0.00721071514324626,0.00724369132235992
1023,"Choctaw","Alabama","2020-08-16",1.71428571428572,208,5.6927696748208,-603.748386677993,0.00701297319249127,5.74186048716824,5.74315645296886,5.74186048716824,98.8378483040677,5.68720789182399,5.68964094152545,5.68720789182399,3.0933430103612e-05,9.78897203343178e-06,3.0933430103612e-05,0.000976990694250374,0.000549597730817821,0.000976990694250374
1025,"Clarke","Alabama","2020-08-16",25.8571428571428,208,6.76008356525259,86.4378508263151,0.0541115064373445,6.9566915626107,7.12576847290645,7.138864110314,12.8096079040516,6.49636796740782,6.48420189196404,6.49636796740782,0.0695459165466247,0.0761106976564904,0.0695459165466247,0.039010700873624,0.0408103939286499,0.039010700873624
1027,"Clay","Alabama","2020-08-16",7.28571428571428,208,5.66543756834831,-21.4109019071911,0.0244660770357645,5.78404733815591,5.83263915823496,5.83670010759866,28.3309489930364,5.68590730779406,5.71340128734304,5.71046513825642,0.000419010232976904,0.00230051833980548,0.00202748205182975,0.00361309063930219,0.00846602198260811,0.00794776561649367
1029,"Cleburne","Alabama","2020-08-16",1.14285714285714,208,4.89996972620873,-253.367057733074,0.0106262945525686,4.97700631419156,4.97555688073204,4.97435378807671,65.2294341297358,4.95839069795138,4.96134506707538,4.95839069795138,0.00341300993935549,0.00376693246649742,0.00341300993935549,0.0119227209568603,0.0125256571562816,0.0119227209568603
