"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future0","predicted.grf.future6","Predicted_Double_Days","predicted.grf.past","predicted.grf.past0","predicted.grf.past6","block.mse","block.mse0","block.mse6"
1001,"Autauga","Alabama",162,"2020-07-01",6.23860360397841,-107.316613789506,0.0231645701919244,6.40075559532188,6.40049698004751,6.40075559532188,29.9227300492538,6.27696901966292,6.27111012781131,6.27696901966292,0.00147190512064529,0.00105667409169892,0.00147190512064529
1003,"Baldwin","Alabama",162,"2020-07-01",6.38447142029411,32.9938599513546,0.049489670940365,6.73089911687667,6.73370551530155,6.73089911687667,14.0058959251353,6.20161576323668,6.20353118697334,6.20161576323668,0.0334361913179044,0.0327393680341748,0.0334361913179044
1005,"Barbour","Alabama",162,"2020-07-01",5.76115250631516,-105.976660354916,0.0214987099946873,5.91164347627797,5.91427283310018,5.91164347627797,32.2413382352352,5.76657496628893,5.76620672416918,5.76657496628893,2.94030721671426e-05,2.55451181158995e-05,2.94030721671426e-05
1007,"Bibb","Alabama",162,"2020-07-01",5.08759633523238,12.8886191912649,0.0335503887207109,5.23759750985999,5.32865010516127,5.32244905627736,20.6598852350125,5.03849117647759,5.03596565167487,5.03849117647759,0.0024113166163331,0.00266572748461578,0.0024113166163331
1009,"Blount","Alabama",162,"2020-07-01",5.27079933765415,24.425001793473,0.0379711284150402,5.48967582250424,5.53889140746141,5.53659723655943,18.2545847198313,5.30013433882603,5.29607262924328,5.30013433882603,0.000860542293754203,0.000638739267749192,0.000860542293754203
1011,"Bullock","Alabama",162,"2020-07-01",5.88451546876502,-262.731600378732,0.0139486077987151,6.02205476799453,5.98388177622768,5.98215572335603,49.6929292559073,5.88808032843467,5.88381220256859,5.88808032843467,1.27082244642973e-05,4.9458334304099e-07,1.27082244642973e-05
1013,"Butler","Alabama",162,"2020-07-01",6.3976436859498,-773.172757181537,0.00684113564773987,6.44553163548398,6.44900282533261,6.44553163548398,101.320484821689,6.42784498059712,6.42650249319367,6.42784498059712,0.000912118198374281,0.000832830755538871,0.000912118198374281
1015,"Calhoun","Alabama",162,"2020-07-01",5.53958145897544,-39.7432757149142,0.0274585680208915,5.73179143512168,5.73620019317185,5.73179143512168,25.2433841427045,5.43889499841416,5.43124785460674,5.42601875036295,0.0101377633403582,0.011736169835514,0.0128964887874054
1017,"Chambers","Alabama",162,"2020-07-01",6.34813949104671,-323.607082823644,0.0130725842261904,6.43964758063004,6.43958085783224,6.43964758063004,53.0229653576263,6.36801136524068,6.36484483254833,6.36801136524068,0.000394891383980965,0.000279068434685742,0.000394891383980965
1019,"Cherokee","Alabama",162,"2020-07-01",4.25864761351338,22.3890020553029,0.0305036685949364,4.47217329367794,4.47166089202838,4.47217329367794,22.7234038555942,4.1236074654044,4.16921362186259,4.17039482235045,0.0182358416012953,0.00799843886259366,0.00778855514804782
1021,"Chilton","Alabama",162,"2020-07-01",5.31882002887455,-21.7678718621867,0.0289431442774899,5.52142203881698,5.52292444252674,5.52142203881698,23.9485791147795,5.51951376815028,5.31639363283846,5.31735133958557,0.0402779769844746,5.88739772395739e-06,2.1570482275663e-06
1023,"Choctaw","Alabama",162,"2020-07-01",5.24852670204502,-1036.55290498054,0.00437905300653394,5.27918007309076,5.28420928251622,5.27918007309076,158.287003953984,5.31747220578407,5.29055537929188,5.28940647772822,0.00475348248583134,0.0017664097111207,0.00167115605990873
1025,"Clarke","Alabama",162,"2020-07-01",5.55240572171167,-59.5433316412916,0.0250623915447013,5.72784246252458,5.7284884719534,5.72784246252458,27.6568650411373,5.52075482666051,5.51869719442965,5.52075482666051,0.00100177915753956,0.00113626481152272,0.00100177915753956
1027,"Clay","Alabama",162,"2020-07-01",3.75453342433537,74.3246398199321,0.0428231308844845,4.05429534052676,4.04451255599723,4.05429534052676,16.1862798502452,3.53995437520612,3.55026768775972,3.54600452915995,0.0460441683252129,0.0417244911387927,0.0434843001230812
1029,"Cleburne","Alabama",162,"2020-07-01",3.27444567602301,52.8724508928276,0.0299792316910793,3.48141470040111,3.50006566827702,3.48430029786057,23.1209120934944,3.34352258905661,3.16272958413992,3.16031924209794,0.0047716199142515,0.012480485185631,0.0130248429204534
1031,"Coffee","Alabama",162,"2020-07-01",5.84602580788275,-272.118852395102,0.0134664177232325,5.94029073194538,5.94427688497881,5.94029073194538,51.4722768003933,5.85648275035344,5.85459995536314,5.85648275035344,0.00010934764583531,7.35160050154779e-05,0.00010934764583531
1033,"Colbert","Alabama",162,"2020-07-01",5.87653458043401,-87.3811372467622,0.0235644710153807,6.04148587754167,6.04429195440107,6.04148587754167,29.4149263994733,5.96615108096176,5.85878094121297,5.8602397431169,0.00803111716684026,0.000315191705590834,0.000265521723191056
1035,"Conecuh","Alabama",162,"2020-07-01",5.13243143050236,-22.7984381146937,0.0275372948830107,5.2816101484652,5.32779813305514,5.32519249468344,25.1712153828002,5.16673160705098,5.30809595879222,5.31374816906994,0.00117650211126645,0.0308580264992988,0.0328757596847839
1037,"Coosa","Alabama",162,"2020-07-01",4.00212484012533,-160.959431497282,0.012558534561382,4.14380692431257,4.09228153109469,4.090034582055,55.1933171161069,3.98191533531033,4.00871834775976,4.00998769981488,0.000408424084867524,4.34743429252765e-05,6.18245624975368e-05
1039,"Covington","Alabama",162,"2020-07-01",5.70616059706117,14.7352478889139,0.0387476331930186,5.9773940294123,5.98257084427714,5.9773940294123,17.888761801452,5.79925755167947,5.78103824363027,5.79925755167947,0.00866704295920182,0.0056066619557271,0.00866704295920182
