"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days","predicted.grf.past","predicted.grf.past.0","predicted.grf.past.last","block.mse","block.mse.0","block.mse.last"
1001,"Autauga","Alabama",164,"2020-07-03",6.28280064973837,-101.815362601826,0.023635957637067,6.44825235319784,6.45175959681988,6.44825235319784,29.3259613679845,6.31490604975194,6.31712238057348,6.31490604975194,0.00103075671003136,0.00117798120751774,0.00103075671003136
1003,"Baldwin","Alabama",164,"2020-07-03",6.52041071198717,53.8946013912509,0.0592197185095069,6.93494874155372,6.93407299350938,6.93494874155372,11.7046686138616,6.28555572075108,6.28546573856448,6.28555572075108,0.0551568669085039,0.0551991405365883,0.0551568669085039
1005,"Barbour","Alabama",164,"2020-07-03",5.79039694749297,-144.771397091651,0.0187530224691578,5.92166810477707,5.92396190111612,5.92166810477707,36.9618914337639,5.80531465793784,5.80643166224492,5.80531465793784,0.000222538084917,0.000257112077176416,0.000222538084917
1007,"Bibb","Alabama",164,"2020-07-03",5.14416668672078,-2.1981140526123,0.0309520160083906,5.36083079877951,5.35920879621236,5.36083079877951,22.3942498728369,5.03798558962348,5.09533402216455,5.09648663496013,0.0112744253807863,0.00238462912766133,0.00227338733589824
1009,"Blount","Alabama",164,"2020-07-03",5.33616350903815,13.6965369092856,0.0365364956401533,5.7473172933949,5.59978840152695,5.59191897851922,18.9713646154445,5.32090711264287,5.38376911607453,5.37941229566516,0.000232757630969915,0.00226629382130216,0.00187045754470863
1011,"Bullock","Alabama",164,"2020-07-03",5.89989735358249,-333.703522828594,0.012096880551062,6.1053382293577,5.98662514459536,5.98457551743992,57.29966313498,5.89298012037308,5.89402674704304,5.89298012037308,4.78481152733594e-05,3.44640211410284e-05,4.78481152733594e-05
1013,"Butler","Alabama",164,"2020-07-03",6.41017488196617,-826.721278690918,0.00647021015884125,6.45546635307806,6.45718870840169,6.45546635307806,107.129005634043,6.42117209850771,6.42358349766238,6.42117209850771,0.00012093877166152,0.00017979097488864,0.00012093877166152
1015,"Calhoun","Alabama",164,"2020-07-03",5.6198831333732,0.0689544371969406,0.0342819940791519,5.85985709192726,5.86366927537947,5.85985709192726,20.2189866481971,5.4704735227973,5.47268350868409,5.4704735227973,0.0223232317324422,0.0216677295086148,0.0223232317324422
1017,"Chambers","Alabama",164,"2020-07-03",6.37963815810609,-289.996907371885,0.0140521621502595,6.47800329315791,6.47820764872779,6.47800329315791,49.3267280257752,6.38458895116255,6.38399323583656,6.38458895116255,2.45103518878976e-05,1.89667020384391e-05,2.45103518878976e-05
1019,"Cherokee","Alabama",164,"2020-07-03",4.33261127511053,38.6591468127574,0.035115117936645,4.64716466750625,4.58132411212356,4.57841710066704,19.7392810074147,4.21246983215926,4.21468330393208,4.2135497224151,0.0144339663144132,0.0139070063862652,0.0141756533302467
1021,"Chilton","Alabama",164,"2020-07-03",5.37063802812766,-32.5027886017516,0.0273311033718317,5.56195575173048,5.56322799635734,5.56195575173048,25.3611122511185,5.41360065495523,5.38162960465041,5.38009903039142,0.00184578730392508,0.000120814754455473,8.95105638348678e-05
1023,"Choctaw","Alabama",164,"2020-07-03",5.25749537202778,-903.574288151234,0.00492471149818756,5.29196835251509,5.29589351661632,5.29196835251509,140.74878920624,5.47634031137162,5.27454999877612,5.27095631963746,0.047893107476409,0.000290860293525202,0.000181197110550546
1025,"Clarke","Alabama",164,"2020-07-03",5.57703076901706,-103.031109514335,0.0207608304427592,5.68911340066829,5.72704173779065,5.72235658211638,33.3872569534759,5.60235880400161,5.58548083447115,5.58560921281144,0.000641509356178563,7.14036061784051e-05,7.35896979333348e-05
1027,"Clay","Alabama",164,"2020-07-03",3.91772102654278,108.519127646528,0.0668057057142224,4.17407877121397,4.39483469890105,4.38536096654234,10.3755685708201,3.5718773443671,3.63842834837197,3.63459270073766,0.119607852500833,0.0780044000798237,0.0801616488732103
1029,"Cleburne","Alabama",164,"2020-07-03",3.3722098447889,81.8362635496787,0.0396413165246179,3.5345678991448,3.6570233009971,3.64969906046123,17.4854732720466,3.17249673178943,3.17646131835406,3.17249673178943,0.039885327503939,0.0383174856014112,0.039885327503939
1031,"Coffee","Alabama",164,"2020-07-03",5.87493073085203,-251.117682068407,0.0141524463655198,5.97399785541067,5.97612395138576,5.97399785541067,48.9771988995972,5.86188047611221,5.86274835830836,5.86188047611221,0.000170309148774198,0.000148410200792782,0.000170309148774198
1033,"Colbert","Alabama",164,"2020-07-03",5.91735657495426,-89.3864603027893,0.0233682099834829,6.08476548121143,6.08364802231792,6.08093404483864,29.6619715866074,5.88993831816157,5.88963759635544,5.88993831816157,0.0007517608055499,0.000768341774561835,0.0007517608055499
1035,"Conecuh","Alabama",164,"2020-07-03",5.19057305953494,-18.7983620115179,0.0283950742359928,5.38933857918689,5.39207619435455,5.38933857918689,24.4108247366838,5.2859774407963,5.29042954705692,5.2859774407963,0.00910199596386287,0.00997131810022736,0.00910199596386287
1037,"Coosa","Alabama",164,"2020-07-03",4.02023659006838,-248.125596670355,0.0100862809317284,4.22741851369547,4.09057335111173,4.09084055659048,68.7217801339953,4.04399683975882,4.06888808905192,4.06515655569828,0.000564549465352059,0.00236696835334542,0.00201780331219145
1039,"Covington","Alabama",164,"2020-07-03",5.76563883057383,-9.76446639484423,0.0331807702126659,5.99790422206249,5.99312994152925,5.99790422206249,20.8900268473983,5.80785500195898,5.80618933788068,5.80785500195898,0.00178220512642031,0.00164434364284286,0.00178220512642031
