,date,county,state,fips,cases,deaths,datetime,logcases,difflogcases,days_from_start,rolled_cases,log_rolled_cases,diff_log_rolled_cases,cluster,rate,intercept
141759,2020-05-14,Appling,Georgia,13001,108,10,2020-05-14,4.68213122712422,0.08701137698963013,114,95.71428571428571,4.561367563329698,0.030305349495328926,0.0,0.019176457143113976,-110.28843134799392
141760,2020-05-14,Atkinson,Georgia,13003,20,2,2020-05-14,2.995732273553991,0.0,114,20.0,2.995732273553991,0.007168489478612372,0.0,0.019176457143113976,-110.28843134799392
141761,2020-05-14,Bacon,Georgia,13005,51,2,2020-05-14,3.9318256327243257,0.060624621816434576,114,44.57142857142857,3.797093038754169,0.06283057879241527,0.0,0.019176457143113976,-110.28843134799392
141762,2020-05-14,Baker,Georgia,13007,33,2,2020-05-14,3.4965075614664802,-0.029852963149681333,114,32.42857142857143,3.4790398684260895,0.017778246021284083,0.0,0.019176457143113976,-110.28843134799392
141763,2020-05-14,Baldwin,Georgia,13009,280,12,2020-05-14,5.634789603169249,0.010772096981910728,114,274.2857142857143,5.614170315966514,0.005221943981151611,0.0,0.019176457143113976,-110.28843134799392
141764,2020-05-14,Banks,Georgia,13011,41,0,2020-05-14,3.713572066704308,0.05001042057466165,114,37.285714285714285,3.6186102582673803,0.023256862164267478,0.0,0.019176457143113976,-110.28843134799392
141765,2020-05-14,Barrow,Georgia,13013,255,7,2020-05-14,5.541263545158426,0.003929278139889192,114,216.42857142857142,5.377260568888156,0.04316246505928145,0.0,0.019176457143113976,-110.28843134799392
141766,2020-05-14,Bartow,Georgia,13015,382,35,2020-05-14,5.945420608606575,0.013175421158564404,114,368.0,5.908082938168931,0.008968669982761135,0.0,0.019176457143113976,-110.28843134799392
141767,2020-05-14,Ben Hill,Georgia,13017,44,1,2020-05-14,3.784189633918261,0.022989518224698635,114,41.0,3.713572066704308,0.021127546425875554,0.0,0.019176457143113976,-110.28843134799392
141768,2020-05-14,Berrien,Georgia,13019,20,0,2020-05-14,2.995732273553991,0.05129329438755059,114,19.142857142857142,2.951929650895598,0.0074906717291578495,0.0,0.019176457143113976,-110.28843134799392
141769,2020-05-14,Bibb,Georgia,13021,384,16,2020-05-14,5.950642552587727,0.01574835696813892,114,374.85714285714283,5.926545001008666,0.0019073055562675023,0.0,0.019176457143113976,-110.28843134799392
141770,2020-05-14,Bleckley,Georgia,13023,32,0,2020-05-14,3.4657359027997265,0.0,114,29.285714285714285,3.377099830083095,0.05001042057466165,0.0,0.019176457143113976,-110.28843134799392
141771,2020-05-14,Brantley,Georgia,13025,28,2,2020-05-14,3.332204510175204,0.0,114,25.857142857142858,3.2525868822105126,0.02801303622767426,0.0,0.019176457143113976,-110.28843134799392
141772,2020-05-14,Brooks,Georgia,13027,64,8,2020-05-14,4.1588830833596715,0.0,114,64.0,4.1588830833596715,0.0,0.0,0.019176457143113976,-110.28843134799392
141773,2020-05-14,Bryan,Georgia,13029,61,4,2020-05-14,4.110873864173311,0.0,114,60.142857142857146,4.096722684627069,0.009546611883580525,0.0,0.019176457143113976,-110.28843134799392
141774,2020-05-14,Bulloch,Georgia,13031,45,2,2020-05-14,3.8066624897703196,0.0,114,43.857142857142854,3.780937598531884,0.01311494207782804,0.0,0.019176457143113976,-110.28843134799392
141775,2020-05-14,Burke,Georgia,13033,112,3,2020-05-14,4.718498871295094,-0.008888947417246662,114,107.85714285714286,4.680807600193711,0.02957204736237351,0.0,0.019176457143113976,-110.28843134799392
141776,2020-05-14,Butts,Georgia,13035,196,17,2020-05-14,5.278114659230517,0.020619287202735315,114,184.42857142857142,5.217262241791329,0.022719347745484342,0.0,0.019176457143113976,-110.28843134799392
141777,2020-05-14,Calhoun,Georgia,13037,117,5,2020-05-14,4.762173934797756,0.0,114,116.28571428571429,4.756050216947227,0.008636697732591792,0.0,0.019176457143113976,-110.28843134799392
141778,2020-05-14,Camden,Georgia,13039,46,1,2020-05-14,3.828641396489095,0.06744128079553269,114,38.714285714285715,3.6562086718243876,0.041437189864172996,0.0,0.019176457143113976,-110.28843134799392
