"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.grf","t0.grf"
"2020-03-19","Ada","Idaho",16001,3,0,2020-03-19,58,1.09861228866811,2.28571428571429,0.82667857318447,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-20","Ada","Idaho",16001,4,0,2020-03-20,59,1.38629436111989,2.71428571428571,0.998528830111126,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-20","Blaine","Idaho",16013,19,0,2020-03-20,59,2.94443897916644,7.28571428571429,1.98591548366901,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-20","Teton","Idaho",16081,1,0,2020-03-20,59,0,1,0,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-21","Ada","Idaho",16001,11,0,2020-03-21,60,2.39789527279837,4,1.38629436111989,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-21","Blaine","Idaho",16013,21,0,2020-03-21,60,3.04452243772342,10,2.30258509299405,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-21","Teton","Idaho",16081,2,0,2020-03-21,60,0.693147180559945,1.14285714285714,0.13353139262452,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-22","Ada","Idaho",16001,13,0,2020-03-22,61,2.56494935746154,5.57142857142857,1.71765149707433,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-22","Blaine","Idaho",16013,21,0,2020-03-22,61,3.04452243772342,12.7142857142857,2.54272622067683,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-22","Teton","Idaho",16081,2,0,2020-03-22,61,0.693147180559945,1.28571428571429,0.251314428280909,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-23","Ada","Idaho",16001,15,0,2020-03-23,62,2.70805020110221,7.42857142857143,2.00533356952611,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-23","Blaine","Idaho",16013,21,0,2020-03-23,62,3.04452243772342,15.4285714285714,2.7362210780689,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-23","Madison","Idaho",16065,2,0,2020-03-23,62,0.693147180559945,1.42857142857143,0.356674943938733,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-23","Teton","Idaho",16081,2,0,2020-03-23,62,0.693147180559945,1.42857142857143,0.356674943938733,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
"2020-03-24","Ada","Idaho",16001,22,0,2020-03-24,63,3.09104245335832,10.1428571428571,2.316769727986,53.3924834226266,0.275712789532615,0.253836167566591,53.0977896554671
"2020-03-24","Blaine","Idaho",16013,33,0,2020-03-24,63,3.49650756146648,19.5714285714286,2.97407077677281,49.7474917228254,0.234356511108122,0.249641258953314,50.8843074323523
"2020-03-24","Madison","Idaho",16065,2,0,2020-03-24,63,0.693147180559945,1.57142857142857,0.451985123743056,55.6201961682813,0.0604184243362874,0.100834985398643,60.1839612865824
"2020-03-24","Teton","Idaho",16081,2,0,2020-03-24,63,0.693147180559945,1.57142857142857,0.451985123743056,54.5868271176419,0.0493173186604509,0.119644030274677,61.0784934282886
