"fips","date.x","days_from_start.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases","lm_mse","grf_mse"
4013,"2020-02-29",39,"Maricopa","Arizona",0,32,0,0,NA,NA,"2020-03-07",46,0.538996500732684,0.290517227802079,NA
6023,"2020-02-29",39,"Humboldt","California",0,36,0,0.0176745147780619,37.5,0.150233375613526,"2020-03-07",46,0,0,0.0225700671482349
6037,"2020-02-29",39,"Los Angeles","California",0,32,0,0.0176745147780619,35.5,0.18558240516965,"2020-03-07",46,1.92529086185258,3.70674490273304,3.0265855142541
6059,"2020-02-29",39,"Orange","California",0,32,0,0.0176745147780619,35.5,0.18558240516965,"2020-03-07",46,0.887303195000903,0.787306959858811,0.492412066881398
6067,"2020-02-29",39,"Sacramento","California",0.155077464151921,34.0596802502945,0.611054794732058,0.0176745147780619,3.42735105291171,0.752450912956554,"2020-03-07",46,1.09861228866811,0.237712309893203,0.119827698034517
6073,"2020-02-29",39,"San Diego","California",0,32,0,0.0176745147780619,35.5,0.18558240516965,"2020-03-07",46,0,0,0.0344408291085522
6075,"2020-02-29",39,"San Francisco","California",0.0551335969943492,19.9576875115154,0.994737585586225,0.0176745147780619,-12.9824394819576,1.04248599827,"2020-03-07",46,1.55059741241117,0.308980147077853,0.258177209180534
6085,"2020-02-29",39,"Santa Clara","California",0.0202863864109697,-0.289557420060412,0.776756757328358,0.0176745147780619,-5.57840019473207,0.911623196470584,"2020-03-07",46,2.81626378574244,4.15958891895045,3.62765577430185
17031,"2020-02-29",39,"Cook","Illinois",0.00574940595724587,-86.5597909965611,0.716144804388928,0.00575731777911949,-86.392053977111,0.762223126176569,"2020-03-07",46,1.51982575374441,0.645903068356933,0.573961741297702
25025,"2020-02-29",39,"Suffolk","Massachusetts",0,32,0,0,NA,NA,"2020-03-07",46,0.619039208406225,0.383209541544206,NA
31055,"2020-02-29",39,"Douglas","Nebraska",0.0295861436475983,-46.8191525045783,2.509471630068,0.0295941163101746,-46.7968410035064,2.74624050587455,"2020-03-07",46,2.58668934409794,0.0059625753600103,0.0254565732242644
48029,"2020-02-29",39,"Bexar","Texas",0.197164226920849,27.1077753855262,2.14755704556097,0.197367680801293,27.1164264000005,3.72700712667242,"2020-03-07",46,2.39789527279837,0.0626692280163635,1.76653832010852
53061,"2020-02-29",39,"Snohomish","Washington",0.02889116620344,33.8349329938972,0.120333643121779,0.0281826729804766,33.7930743422917,0.344023793908183,"2020-03-07",46,2.42353770341171,5.30474894333602,4.32437809981864
55025,"2020-02-29",39,"Dane","Wisconsin",0,32,0,0,NA,NA,"2020-03-07",46,0,0,NA
