"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","lm_mse","grf_mse"
4013,"2020-02-28",38,"Maricopa","Arizona",0,0,31,0,0,NA,NA,"2020-03-06",45,0.451985123743056,0.204290552085026,NA
6023,"2020-02-28",38,"Humboldt","California",0,0,36,0,0.0110306101192335,37,0.0882448809538677,"2020-03-06",45,0,0,0.00778715901456228
6037,"2020-02-28",38,"Los Angeles","California",0,0,31,0,0.0110306101192335,34.5,0.115821406251951,"2020-03-06",45,1.6094379124341,2.59029039398023,2.23089026753977
6059,"2020-02-28",38,"Orange","California",0,0,31,0,0.0110306101192335,34.5,0.115821406251951,"2020-03-06",45,0.762140052046895,0.580857458934045,0.41772779190221
6067,"2020-02-28",38,"Sacramento","California",0.619039208406225,0.167054084663167,34.2943784963151,0.451985123743057,0.0110306101192335,-11.0478282965416,0.618241741968892,"2020-03-06",45,1.09861228866811,0.418126690419011,0.230755862136106
6073,"2020-02-28",38,"San Diego","California",0,0,31,0,0.0110306101192335,34.5,0.115821406251951,"2020-03-06",45,0,0,0.0134145981461795
6075,"2020-02-28",38,"San Francisco","California",0.998528830111126,0.048110122056229,17.6154195751445,0.932594530248583,0.0110306101192335,-39.1422751169144,0.928140631359961,"2020-03-06",45,1.27296567581289,0.115852516732757,0.118904311281962
6085,"2020-02-28",38,"Santa Clara","California",0.762140052046895,0.00574940595724587,-87.5597909965611,0.716144804388929,0.0110306101192335,-29.120351178234,0.817592695747765,"2020-03-06",45,2.54272622067683,3.3363996703283,2.97608567883416
17031,"2020-02-28",38,"Cook","Illinois",0.693147180559945,5.23364152894592e-17,-13244070628955476,0.693147180559945,-5.63911270555931e-18,122917773903792896,0.693147180559945,"2020-03-06",45,1.42138568093116,0.530331313422916,0.530331313422916
25025,"2020-02-28",38,"Suffolk","Massachusetts",0,0,31,0,0,NA,NA,"2020-03-06",45,0.356674943938733,0.127217015633699,NA
31055,"2020-02-28",38,"Douglas","Nebraska",2.5084371471982,0.0311123653061384,-42.8218536538061,2.48344667029033,0.0310806309054761,-42.9018229791399,2.73204411593314,"2020-03-06",45,2.57587842799372,0.00854362983213913,0.0243877220895921
48029,"2020-02-28",38,"Bexar","Texas",2.13162729485041,0.203043897195971,27.2231832811036,1.98512296877545,0.203285532720507,27.2318328755991,3.61201131935084,"2020-03-06",45,2.39789527279837,0.170380974968392,1.47407777449621
53061,"2020-02-28",38,"Snohomish","Washington",0.13353139262452,0.0111276160520433,33,0.0445104642081733,0.0111510033929356,33.0031459959344,0.133776959703889,"2020-03-06",45,2.06142303617716,4.06793632296654,3.71581939614279
55025,"2020-02-28",38,"Dane","Wisconsin",0,0,31,0,0,NA,NA,"2020-03-06",45,0,0,NA
