"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","lm_mse","grf_mse"
4013,"2020-03-01",40,"Maricopa","Arizona",0,0,33,0,0,NA,NA,"2020-03-08",47,0.619039208406225,0.383209541544206,NA
6023,"2020-03-01",40,"Humboldt","California",0,0,36,0,0.0235063126404923,38,0.211556813764431,"2020-03-08",47,0,0,0.044756285450158
6037,"2020-03-01",40,"Los Angeles","California",0,0,33,0,0.0235063126404923,36.5,0.246816282725169,"2020-03-08",47,2.164963715118,4.68706788777752,3.6792895723952
6059,"2020-03-01",40,"Orange","California",0,0,33,0,0.0235063126404923,36.5,0.246816282725169,"2020-03-08",47,0.998528830111126,0.997059824563093,0.565071753897484
6067,"2020-03-01",40,"Sacramento","California",0.887303195000903,0.144905505741421,33.8064799621009,0.75256964766998,0.0235063126404923,9.56662770971183,0.879920552243454,"2020-03-08",47,1.09861228866811,0.11974550938896,0.0478260755804309
6073,"2020-03-01",40,"San Diego","California",0,0,33,0,0.0235063126404923,36.5,0.246816282725169,"2020-03-08",47,0,0,0.0609182774182705
6075,"2020-03-01",40,"San Francisco","California",1.09861228866811,0.0577306583766188,20.7789471463667,1.05191337755542,0.0235063126404923,-2.1103403581237,1.15440301433904,"2020-03-08",47,1.76766191764899,0.512295972646084,0.376086482488927
6085,"2020-03-01",40,"Santa Clara","California",1.145132304303,0.0516863637246075,21.3598571194078,0.911754841080335,0.0235063126404923,3.20941360573908,1.02935521449398,"2020-03-08",47,3.04452243772342,4.54869762129073,4.06089893757825
17031,"2020-03-01",40,"Cook","Illinois",0.82667857318447,0.0152343345929336,-10.6607544911831,0.756548550056214,0.0147700989540915,-12.1430534965954,0.87354875259184,"2020-03-08",47,1.6376087894008,0.776267145353933,0.583787739848503
25025,"2020-03-01",40,"Suffolk","Massachusetts",0,0,33,0,0,NA,NA,"2020-03-08",47,1.09861228866811,1.20694896081258,NA
31055,"2020-03-01",40,"Douglas","Nebraska",2.55389952127496,0.0283574439735782,-50.3642945175411,2.53414297501952,0.0282568651065068,-50.6734835340369,2.75994644870389,"2020-03-08",47,2.61843804241252,0.00710565838679125,0.0200246290511238
48029,"2020-03-01",40,"Bexar","Texas",2.34454929209308,0.178564892064629,26.2535432776833,2.27606966882695,0.178840004561189,26.2693055692169,3.70747748655786,"2020-03-08",47,2.39789527279837,0.0148414777830008,1.7150055745952
53061,"2020-03-01",40,"Snohomish","Washington",0.356674943938733,0.0494510824624909,34.6256204922142,0.216317801761748,0.0488500351457664,34.6025582616484,0.605615464636067,"2020-03-08",47,2.78147766965702,6.58004514786051,4.73437633523866
55025,"2020-03-01",40,"Dane","Wisconsin",0,0,33,0,0,NA,NA,"2020-03-08",47,0,0,NA
