"fips","date.x","days_from_start.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases","lm_mse","grf_mse"
1001,"2020-04-07",77,"Autauga","Alabama",0.0920491579891989,50.1970040596278,2.37514404990998,0.0961068906675614,51.180880735631,3.15414350694637,"2020-04-14",84,2.89037175789616,0.265459591076702,0.0695755355970058
1003,"2020-04-07",77,"Baldwin","Alabama",0.148038158155677,53.3333827069078,3.35552427568898,0.154316162199601,54.1538159208608,4.6057485833956,"2020-04-14",84,4.20469261939097,0.721086875945574,0.160845886263685
1007,"2020-04-07",77,"Bibb","Alabama",0.15754052331995,66.4050925253632,1.51158674476078,0.161495053328297,66.6400430625703,2.80354717138716,"2020-04-14",84,2.59738463321469,1.17895705457097,0.0425029921457152
1009,"2020-04-07",77,"Blount","Alabama",0.10412814858395,56.2264721044274,2.05898085073907,0.103978880477059,56.2016748879496,2.89043872428831,"2020-04-14",84,2.54272622067683,0.234009582936218,0.120903985167768
1011,"2020-04-07",77,"Bullock","Alabama",-0.0415747315412934,96.0469421879962,0.83344623968977,0.045880246547511,54.0219970085997,1.37539816824747,"2020-04-14",84,1.55059741241117,0.514305804535673,0.0306947751555315
1013,"2020-04-07",77,"Butler","Alabama",0.0111276160520433,72,0.0445104642081733,0.045880246547511,73.1361958504129,0.49843401282693,"2020-04-14",84,1.69167601067107,2.71315433745442,1.42382646541908
1015,"2020-04-07",77,"Calhoun","Alabama",0.245829287950943,63.91879749343,2.96991340978124,0.239816077673089,63.6785559468844,4.87340900547131,"2020-04-14",84,4.04555439805267,1.15700353564953,0.685343251024272
1017,"2020-04-07",77,"Chambers","Alabama",0.190706993829871,53.4906468047028,4.29269108092994,0.192871358541289,53.7151878577743,5.84107286103879,"2020-04-14",84,5.21182533519459,0.844807777362639,0.39595244878105
1019,"2020-04-07",77,"Cherokee","Alabama",0.192443589346448,68.249568798173,1.49152079946229,0.211016849806576,68.7117007384844,3.22608874906522,"2020-04-14",84,2.06142303617716,0.324788559412604,1.35644622277706
1021,"2020-04-07",77,"Chilton","Alabama",0.119128426184008,53.1117771991607,2.72663796041291,0.125953644169718,54.2165810011806,3.75133015873493,"2020-04-14",84,3.35240721749272,0.391587163106227,0.159139513049331
1023,"2020-04-07",77,"Choctaw","Alabama",0.155912481775521,66.7546807396235,1.44146067069233,0.159645222026464,66.9240869673254,2.72608792740592,"2020-04-14",84,2.14843441316679,0.499811872548341,0.333683582512823
1027,"2020-04-07",77,"Clay","Alabama",0.238516012927278,67.9329641181686,1.92411723467571,0.240141316047825,67.9706424358353,3.84931102085967,"2020-04-14",84,2.51999796959927,0.355073850253041,1.76707318825123
1029,"2020-04-07",77,"Cleburne","Alabama",0.10561041728979,57.5736367109691,1.94601591608781,0.108159859979504,57.9490379963319,2.81766840264813,"2020-04-14",84,2.484906649788,0.290403222867931,0.110730384166543
1033,"2020-04-07",77,"Colbert","Alabama",0.147945637666043,64.8149925523128,1.65477305914752,0.150182073918849,64.9443253348817,2.86182074113032,"2020-04-14",84,2.164963715118,0.260294505439587,0.485609714702746
1037,"2020-04-07",77,"Coosa","Alabama",0.12804898009382,62.1083874772146,1.77880681540121,0.128071007556981,62.1104327649168,2.80341893078338,"2020-04-14",84,2.59738463321469,0.670069643816271,0.0424501317746255
1039,"2020-04-07",77,"Covington","Alabama",0.110825752011358,64.5363791394489,1.27046440264367,0.105646621240591,64.0479310018637,2.10786867641225,"2020-04-14",84,2.47293045874129,1.44592461606697,0.133270104917258
1041,"2020-04-07",77,"Crenshaw","Alabama",0.0828792745495546,71.9427807234871,0.336259390325855,0.0620256612837521,71.2511241686446,0.790757454064267,"2020-04-14",84,0.887303195000903,0.303649274670753,0.00932108009300406
1043,"2020-04-07",77,"Cullman","Alabama",0.114650682513843,53.6772597129323,2.55931740949157,0.117244198205516,54.1157512440557,3.50375478436488,"2020-04-14",84,3.49216915986788,0.870212388180153,0.000134226694985437
1047,"2020-04-07",77,"Dallas","Alabama",0.170321269848373,66.2972571745163,1.65258347904858,0.171287005897565,66.3378670757939,3.02529386635208,"2020-04-14",84,2.47293045874129,0.672969167090954,0.305105334067405
1049,"2020-04-07",77,"DeKalb","Alabama",0.179463675326501,63.2834517897085,2.28215847928555,0.179918882811136,63.3105654137959,3.72241995674391,"2020-04-14",84,3.07797037179096,0.63331656825304,0.415315267546023
1051,"2020-04-07",77,"Elmore","Alabama",0.0651873603734853,32.1098018181126,2.86108616574639,0.0631547222921839,30.7776560978308,3.3612423488806,"2020-04-14",84,3.47462485021697,0.376429717341898,0.0128555916092919
1053,"2020-04-07",77,"Escambia","Alabama",0.142101591898024,71.2155622233389,0.67987622440058,0.141414225131712,71.199597681076,1.8101589753048,"2020-04-14",84,2.00533356952611,1.75683717374723,0.0380931222294539
1055,"2020-04-07",77,"Etowah","Alabama",0.241310295542435,63.2772503185183,3.07013048575078,0.237269591241183,63.1031567551901,4.95818545492711,"2020-04-14",84,4.20894794496111,1.29690520540226,0.561356846340056
1057,"2020-04-07",77,"Fayette","Alabama",0,75,0,0.045880246547511,76,0.367041972380088,"2020-04-14",84,0.998528830111126,0.997059824563093,0.39877565148702
1059,"2020-04-07",77,"Franklin","Alabama",0.0946478030742659,59.4967025248456,1.56200084950444,0.0950841376323407,59.5609626923936,2.32376478695835,"2020-04-14",84,2.19722457733622,0.4035091844005,0.0160124246512133
