"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","lm_mse","grf_mse"
4013,"2020-02-04",14,"Maricopa","Arizona",0,0,11,0,0,NA,NA,"2020-02-11",21,0,0,NA
6037,"2020-02-04",14,"Los Angeles","California",0,0,11,0,0,NA,NA,"2020-02-11",21,0,0,NA
6059,"2020-02-04",14,"Orange","California",0,0,10,0,0,NA,NA,"2020-02-11",21,0,0,NA
17031,"2020-02-04",14,"Cook","Illinois",0.619039208406225,0.096739870744805,7.44868592852583,0.537033405738229,0.0966093267922862,7.4432115652387,1.30971220414774,"2020-02-11",21,0.693147180559945,0.0243715106890856,0.380152428311818
53061,"2020-02-04",14,"Snohomish","Washington",0,0,7,0,0,NA,NA,"2020-02-11",21,0,0,NA
