"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.lm","t0.lm","predicted.lm","r.slm","t0.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","lm.mse","slm.mse"
1001,2020-07-04,165,"Autauga","Alabama",6.30731749652646,0.0234431881199489,-104.058769548724,6.4714198133661,0.0237935804818545,-100.140697582255,6.47387255989944,2020-07-11,172,6.47543271670409,1.61033932000342e-05,2.43408925509204e-06
1003,2020-07-04,165,"Baldwin","Alabama",6.5832116132262,0.0630072441468624,60.5762707809142,7.02426232225424,0.0617481748536751,58.5082015082125,7.01544883720192,2020-07-11,172,6.96156682847342,0.00393072494042022,0.00290327086461857
1005,2020-07-04,165,"Barbour","Alabama",5.8047045837151,0.0169170251346026,-178.314124110547,5.92312375965731,0.0179498603920579,-158.732443901663,5.9303536064595,2020-07-11,172,5.91118371584718,0.000142564646187946,0.000367484706088404
1007,2020-07-04,165,"Bibb","Alabama",5.16804596051072,0.0293709299534417,-11.099936830741,5.37364247018482,0.0304300217008696,-5.07533663886918,5.38105611241681,2020-07-11,172,5.32856940971856,0.00203158077979504,0.00275485396013493
1009,2020-07-04,165,"Blount","Alabama",5.36731023803499,0.0349822686074367,11.4533019253682,5.61218611828704,0.0357401794354936,14.6458145092773,5.61749149408344,2020-07-11,172,5.59524230608099,0.000287092772073871,0.000495026366768267
1011,2020-07-04,165,"Bullock","Alabama",5.90536184805457,0.0104804511253589,-398.954083480185,5.97872500593208,0.0117056265061391,-340.241537640145,5.98730123359754,2020-07-11,172,5.929969010441,0.00237714709632687,0.00328698381207233
1013,2020-07-04,165,"Butler","Alabama",6.41626532009432,0.00606544234408788,-892.790986394778,6.45872341650293,0.00610737433906645,-885.54900516202,6.45901694046778,2020-07-11,172,6.46414316680302,2.93736933153294e-05,2.62781964401088e-05
1015,2020-07-04,165,"Calhoun","Alabama",5.66790853575331,0.0375214870205915,14.2256512976576,5.93055894489745,0.0361529185958994,8.63165458956308,5.92097896592461,2020-07-11,172,6.04770984577243,0.0137243335758185,0.0160607159070027
1017,2020-07-04,165,"Chambers","Alabama",6.39788158294153,0.0150645401387292,-259.52931440631,6.50333336391263,0.0148192535301053,-266.506419950543,6.50161635765227,2020-07-11,172,6.49957219480692,1.4146393041739e-05,4.17860173827412e-06
1019,2020-07-04,165,"Cherokee","Alabama",4.36763789722178,0.0362810411656187,44.6216916488316,4.62160518538111,0.0357271905421524,42.802067763628,4.61772823101685,2020-07-11,172,4.72104664337389,0.00988860356772917,0.0106746943319797
1021,2020-07-04,165,"Chilton","Alabama",5.40010006085798,0.0267018041775509,-37.1959773980017,5.58701269010083,0.0272428671178669,-33.2398019791748,5.59080013068305,2020-07-11,172,5.65248918026865,0.00428717076469622,0.00380553883877527
1023,2020-07-04,165,"Choctaw","Alabama",5.26269018890489,0.00471999879947828,-949.898648707873,5.29573018050123,0.00468320619873213,-958.634040940478,5.29547263229601,2020-07-11,172,5.30968112519835,0.000194628857942026,0.000201881270555854
1025,2020-07-04,165,"Clarke","Alabama",5.58617799448641,0.0173466983414346,-157.562792521887,5.70760488287645,0.0195368313849145,-121.738916194157,5.72293581418081,2020-07-11,172,5.67332326717149,0.00117522917534255,0.00246140482075193
1027,2020-07-04,165,"Clay","Alabama",3.99688922607139,0.0777846025645841,113.668595305782,4.54138144402348,0.0748304133489084,111.760546049654,4.52070211951375,2020-07-11,172,4.29436569611546,0.0610167797145581,0.0512281765567298
1029,2020-07-04,165,"Cleburne","Alabama",3.42472787907235,0.0426372866986119,84.9652768062198,3.72318888596263,0.041853685226376,83.5230018385213,3.71770367565698,2020-07-11,172,3.67810735713203,0.00203234424170477,0.00156786844072968
1031,2020-07-04,165,"Coffee","Alabama",5.88887795833288,0.0140633143776842,-253.736467059802,5.98732115897667,0.014201645341743,-249.686990756256,5.98828947572508,2020-07-11,172,5.99787254340331,0.000111331713318803,9.18351861255754e-05
1033,2020-07-04,165,"Colbert","Alabama",5.93640476992496,0.0222022351218442,-102.544745072786,6.09182041577786,0.0232010159244011,-91.1563552860212,6.09881188139576,2020-07-11,172,6.1177824852142,0.00067402904941725,0.000359883809236213
1035,2020-07-04,165,"Conecuh","Alabama",5.22266974820872,0.0288249756977024,-16.1057672135278,5.42444457809264,0.0291095617200631,-14.3645382545265,5.42643668024916,2020-07-11,172,5.40138955168785,0.000531534242525306,0.000627358649166784
1037,2020-07-04,165,"Coosa","Alabama",4.02789946281395,0.00886487474586091,-289.440879454738,4.08995358603497,0.00941607214712193,-263.014463461898,4.0938119678438,2020-07-11,172,4.10852919721406,0.000345053330676528,0.000216596840336758
1039,2020-07-04,165,"Covington","Alabama",5.79301360838414,0.0314179303222898,-19.5301477400176,6.01293912064017,0.0332603396290809,-9.47454285476428,6.02583598578771,2020-07-11,172,5.985733872399,0.000740125531863936,0.0016081794982411
1041,2020-07-04,165,"Crenshaw","Alabama",4.84531131367087,0.00604437950516949,-636.85233265481,4.88762197020706,0.0064458206299563,-587.100377493486,4.89043205808056,2020-07-11,172,4.86533422954598,0.000496743383775379,0.000629900997151322
1043,2020-07-04,165,"Cullman","Alabama",6.03171494972928,0.0281362529792671,-49.5824822521003,6.22866872058415,0.0298754098910956,-37.2654918652923,6.24084281896695,2020-07-11,172,6.24250115902372,0.000191336353184464,2.75009174388282e-06
1045,2020-07-04,165,"Dale","Alabama",5.54182361238113,0.0248260378686271,-58.0312253621824,5.71560587746152,0.0238331344468887,-67.1978650686904,5.70865555350935,2020-07-11,172,5.8209303880302,0.0110932525265317,0.0126056384666836
