"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","lm_mse","grf_mse"
4013,"2020-02-26",36,"Maricopa","Arizona",0,0,29,0,0,NA,NA,"2020-03-04",43,0.251314428280909,0.0631589418621604,NA
6037,"2020-02-26",36,"Los Angeles","California",0,0,29,0,0.00541538170801151,32.5,0.0568615079341208,"2020-03-04",43,0.619039208406225,0.383209541544206,0.316043766908103
6059,"2020-02-26",36,"Orange","California",0,0,29,0,0.00541538170801151,32.5,0.0568615079341208,"2020-03-04",43,0.451985123743056,0.204290552085026,0.156122671769927
6073,"2020-02-26",36,"San Diego","California",0,0,29,0,0.00541538170801151,32.5,0.0568615079341208,"2020-03-04",43,0,0,0.00323323108454209
6075,"2020-02-26",36,"San Francisco","California",0.887303195000903,0.0265919961746449,4.56933204634019,0.809212205815612,0.00541538170801151,-104.652329314146,0.79959372331312,"2020-03-04",43,1.09861228866811,0.0837524079550327,0.0894121024269562
6085,"2020-02-26",36,"Santa Clara","California",0.693147180559945,5.23364152894592e-17,-13244070628955476,0.693147180559945,0.00541538170801151,-95.4959969459778,0.750008688494066,"2020-03-04",43,1.96611285637283,1.62044161179776,1.47890934713211
17031,"2020-02-26",36,"Cook","Illinois",0.693147180559945,5.23364152894592e-17,-13244070628955476,0.693147180559945,1.59308054141015e-31,-4.35098642248428e+30,0.693147180559945,"2020-03-04",43,1.145132304303,0.204290552085026,0.204290552085026
25025,"2020-02-26",36,"Suffolk","Massachusetts",0,0,29,0,0,NA,NA,"2020-03-04",43,0,0,NA
31055,"2020-02-26",36,"Douglas","Nebraska",2.46080909820894,0.0346676974360927,-34.9257597778722,2.42416508296818,0.034795217989561,-34.6713221906588,2.7025905871614,"2020-03-04",43,2.56494935746154,0.0198202119446214,0.0189451081132907
48029,"2020-02-26",36,"Bexar","Texas",1.83827948486295,0.172886214926064,25.9426240208725,1.5658954501936,0.170845339306928,25.8642912503352,2.92755597560119,"2020-03-04",43,2.38482319123102,0.670642645040654,0.294558875230194
53061,"2020-02-26",36,"Snohomish","Washington",0,0,29,0,0,NA,NA,"2020-03-04",43,1.18958406687384,1.4151102521601,NA
55025,"2020-02-26",36,"Dane","Wisconsin",0,0,29,0,0,NA,NA,"2020-03-04",43,0,0,NA
