"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.x","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","r.y","lm_mse","grf_mse"
4013,"2020-02-22",32,"Maricopa","Arizona",0,0,25,0,0,NA,NA,"2020-02-29",39,0,0,0,NA
6037,"2020-02-22",32,"Los Angeles","California",0,0,25,0,-0.000187873884483153,28.5,-0.00197267578707311,"2020-02-29",39,0,0,0,3.89144976090452e-06
6059,"2020-02-22",32,"Orange","California",0,0,25,0,-0.000187873884483153,28.5,-0.00197267578707311,"2020-02-29",39,0,0,0,3.89144976090452e-06
6073,"2020-02-22",32,"San Diego","California",0,0,26,0,-0.000187873884483153,29,-0.00187873884483154,"2020-02-29",39,0,0,0,3.52965964707893e-06
6075,"2020-02-22",32,"San Francisco","California",0.693147180559945,5.23364152894592e-17,-13244070628955480,0.693147180559945,-0.000187873884483153,3717.9280568415,0.691174504772872,"2020-02-29",39,1.04982212449868,0.0551335969943492,0.127217015633699,0.128628115134987
6085,"2020-02-22",32,"Santa Clara","California",0.693147180559945,5.23364152894592e-17,-13244070628955480,0.693147180559945,-0.000187873884483153,3717.9280568415,0.691174504772872,"2020-02-29",39,0.887303195000903,0.0202863864109697,0.0376965579435976,0.038466463130563
17031,"2020-02-22",32,"Cook","Illinois",0.693147180559945,5.23364152894592e-17,-13244070628955480,0.693147180559945,2.22412293631026e-32,-3.11649670638193e+31,0.693147180559945,"2020-02-29",39,0.762140052046895,0.00574940595724587,0.00476001631601484,0.00476001631601483
25025,"2020-02-22",32,"Suffolk","Massachusetts",0,0,25,0,0,NA,NA,"2020-02-29",39,0,0,0,NA
48029,"2020-02-22",32,"Bexar","Texas",0.944461608840851,0.0784376193493774,20.3707588708672,0.833732369659665,0.0785696130003436,20.3869355916646,1.46242126731338,"2020-02-29",39,2.24374459297111,0.197164226920849,1.98813446988769,0.61046613921686
53061,"2020-02-22",32,"Snohomish","Washington",0,0,25,0,0,NA,NA,"2020-02-29",39,0.251314428280909,0.02889116620344,0.0631589418621604,NA
55025,"2020-02-22",32,"Dane","Wisconsin",0,0,25,0,0,NA,NA,"2020-02-29",39,0,0,0,NA
