"fips","date.x","days_from_start.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases","lm_mse","grf_mse"
4013,"2020-02-17",27,"Maricopa","Arizona",0,20,0,0,NA,NA,"2020-02-24",34,0,0,NA
6037,"2020-02-17",27,"Los Angeles","California",0,20,0,7.70880160384644e-05,23.5,0.000809424168403876,"2020-02-24",34,0,0,6.55167484396306e-07
6059,"2020-02-17",27,"Orange","California",0,20,0,7.70880160384644e-05,23.5,0.000809424168403876,"2020-02-24",34,0,0,6.55167484396306e-07
6073,"2020-02-17",27,"San Diego","California",0,26,0,7.70880160384644e-05,26.5,0.000578160120288483,"2020-02-24",34,0,0,3.34269124691993e-07
6075,"2020-02-17",27,"San Francisco","California",5.23364152894592e-17,-13244070628955500,0.693147180559945,7.70880160384644e-05,-8968.13341049129,0.693956604728349,"2020-02-24",34,0.762140052046895,0.00476001631601484,0.00464898248824098
6085,"2020-02-17",27,"Santa Clara","California",5.23364152894592e-17,-13244070628955500,0.693147180559945,7.70880160384644e-05,-8968.13341049129,0.693956604728349,"2020-02-24",34,0.693147180559945,1.23259516440783e-32,6.55167484396353e-07
17031,"2020-02-17",27,"Cook","Illinois",5.23364152894592e-17,-13244070628955500,0.693147180559945,0,-Inf,NA,"2020-02-24",34,0.693147180559945,1.23259516440783e-32,NA
25025,"2020-02-17",27,"Suffolk","Massachusetts",0,20,0,0,NA,NA,"2020-02-24",34,0,0,NA
53061,"2020-02-17",27,"Snohomish","Washington",0,20,0,0,NA,NA,"2020-02-24",34,0,0,NA
55025,"2020-02-17",27,"Dane","Wisconsin",0,21,0,0,NA,NA,"2020-02-24",34,0,0,NA
