"fips","date.x","days_from_start.x","county","state","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases","lm_mse","grf_mse"
4013,"2020-02-21",31,"Maricopa","Arizona",0,24,0,0,NA,NA,"2020-02-28",38,0,0,NA
6037,"2020-02-21",31,"Los Angeles","California",0,24,0,1.07762007333215e-18,27.5,1.13150107699875e-17,"2020-02-28",38,0,0,1.28029468724934e-34
6059,"2020-02-21",31,"Orange","California",0,24,0,1.07762007333215e-18,27.5,1.13150107699875e-17,"2020-02-28",38,0,0,1.28029468724934e-34
6073,"2020-02-21",31,"San Diego","California",0,26,0,1.07762007333215e-18,28.5,1.02373906966554e-17,"2020-02-28",38,0,0,1.04804168275966e-34
6075,"2020-02-21",31,"San Francisco","California",5.23364152894592e-17,-13244070628955494,0.693147180559945,1.07762007333215e-18,-643220368396295168,0.693147180559945,"2020-02-28",38,0.998528830111126,0.0932579518826,0.0932579518825999
6085,"2020-02-21",31,"Santa Clara","California",5.23364152894592e-17,-13244070628955494,0.693147180559945,1.07762007333215e-18,-643220368396295168,0.693147180559945,"2020-02-28",38,0.762140052046895,0.00476001631601484,0.00476001631601483
17031,"2020-02-21",31,"Cook","Illinois",5.23364152894592e-17,-13244070628955494,0.693147180559945,-2.31003815583578e-32,3.00058758254217e+31,0.693147180559945,"2020-02-28",38,0.693147180559945,1.23259516440783e-32,0
25025,"2020-02-21",31,"Suffolk","Massachusetts",0,24,0,0,NA,NA,"2020-02-28",38,0,0,NA
48029,"2020-02-21",31,"Bexar","Texas",0.0622918094334735,18.1340910287125,0.739148940394383,0.0603044644387391,17.7595253557574,1.22059098340693,"2020-02-28",38,2.13162729485041,1.93899596762855,0.829987160768538
53061,"2020-02-21",31,"Snohomish","Washington",0,24,0,0,NA,NA,"2020-02-28",38,0.13353139262452,0.0178306328162437,NA
55025,"2020-02-21",31,"Dane","Wisconsin",0,24,0,0,NA,NA,"2020-02-28",38,0,0,NA
