"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r.x","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","r.y","lm_mse","grf_mse"
1001,"2020-04-09",79,"Autauga","Alabama",2.54272622067683,0.0683494213568156,41.6359915366917,3.03225430753599,0.0730706361467357,43.8563070225472,3.07946645543519,"2020-04-16",86,3.04452243772342,0.0762239616404406,0.000150507018295794,0.00122108437384035
1003,"2020-04-09",79,"Baldwin","Alabama",3.68530163276605,0.115017386970131,47.0201966127475,4.48335513021125,0.123498962033696,49.0104512165818,4.5681708808469,"2020-04-16",86,4.38381075646738,0.0993109630219397,0.0099090823440597,0.0339886554612304
1009,"2020-04-09",79,"Blount","Alabama",2.30258509299405,0.0927363743161022,53.9547834680197,2.97175719535027,0.0961955855244552,54.7475335687881,3.00634930743381,"2020-04-16",86,2.68881883917432,0.0592305835767622,0.0800541133955506,0.100825598273088
1011,"2020-04-09",79,"Bullock","Alabama",0.887303195000903,-0.0294101129240209,105.477496503667,0.572835371650083,0.0739008543031807,64.2689245061545,1.6059450439221,"2020-04-16",86,1.79175946922805,0.140244025246216,1.48577595565627,0.0345270006517827
1013,"2020-04-09",79,"Butler","Alabama",0.538996500732684,0.08799538509643,74.3291285492365,1.02698282772086,0.0907189373240689,74.3792912362791,1.05421834999725,"2020-04-16",86,2.04307389750896,0.222746261441091,1.03244106210312,0.977835293844682
1015,"2020-04-09",79,"Calhoun","Alabama",3.60316593583991,0.228026433746069,63.0482082915602,5.23361521135812,0.236563233940406,63.515596465673,5.31898321330148,"2020-04-16",86,4.09196077086682,0.0586820945963309,1.30337486149349,1.50558407423831
1017,"2020-04-09",79,"Chambers","Alabama",4.68345310438213,0.144905537016766,46.5939698797847,5.71015195626864,0.142113016262564,46.0161413911004,5.68222674872662,"2020-04-16",86,5.32926217039746,0.0908622020137273,0.145077028980993,0.124583993555086
1019,"2020-04-09",79,"Cherokee","Alabama",1.81528996663825,0.142098812330244,65.8061411673979,2.86952335647737,0.146337924268711,66.1014365181573,2.91191447586204,"2020-04-16",86,2.18122423598978,0.055018992895029,0.473755679263998,0.533908226644581
1021,"2020-04-09",79,"Chilton","Alabama",2.95936462938312,0.0913625118158926,46.4662222390917,3.61190523780786,0.0905438171277898,46.1991786381096,3.60371829092683,"2020-04-16",86,3.47903986842609,0.0717463480440023,0.0176532063809538,0.0155447090372731
1023,"2020-04-09",79,"Choctaw","Alabama",1.66500776358891,0.113087822862163,63.7008636827475,2.52176077782467,0.12253901743827,64.6494719944714,2.61627272358575,"2020-04-16",86,2.35815494414886,0.100854954760927,0.026766868812758,0.0666247880614297
1027,"2020-04-09",79,"Clay","Alabama",2.24374459297111,0.155572601843657,64.0827039394555,3.40973077351665,0.16689020618595,64.8908714450605,3.52290681693958,"2020-04-16",86,2.58668934409794,0.052281027324904,0.677397194539584,0.876503156453973
1029,"2020-04-09",79,"Cleburne","Alabama",2.24374459297111,0.0944833810288006,55.4157023730826,2.88970784618228,0.101753790902632,56.8864709742823,2.9624119449206,"2020-04-16",86,2.484906649788,0.0264623330961013,0.16386400860224,0.22801130687967
1033,"2020-04-09",79,"Colbert","Alabama",1.86075234071501,0.0953986305701184,59.1493225571699,2.56151785792596,0.103276781551978,60.4347245521422,2.64029936774455,"2020-04-16",86,2.30258509299405,0.0621034209062879,0.067046176755284,0.114050931370258
1037,"2020-04-09",79,"Coosa","Alabama",2.06142303617716,0.107445417574948,59.6000151515388,2.83655739601523,0.110476984859435,60.0500424363703,2.86687306886009,"2020-04-16",86,2.79902197930793,0.114933759132214,0.00140890750738991,0.0046037703534147
1039,"2020-04-09",79,"Covington","Alabama",1.79175946922805,0.139367400494619,66.5697628574475,2.70794164155155,0.142166767514679,66.7554510833929,2.73593531175214,"2020-04-16",86,2.65926003693278,0.123889917580225,0.00236989862825828,0.00587909776862452
1041,"2020-04-09",79,"Crenshaw","Alabama",0.619039208406225,0.102454233460613,72.7211260812368,1.360476848567,0.10948783601256,72.9317640553025,1.43081287408647,"2020-04-16",86,1.145132304303,0.0747100647601978,0.0463732727442703,0.0816133879518083
1043,"2020-04-09",79,"Cullman","Alabama",2.98134353610189,0.130459959601294,56.2712871401073,3.87840667870007,0.136057785765919,57.0829856726079,3.93438494034632,"2020-04-16",86,3.61861025826738,0.0908820228676035,0.0674941800696377,0.0997136498420569
1047,"2020-04-09",79,"Dallas","Alabama",2.00533356952611,0.139933806147232,64.4029689898818,3.02215475072565,0.142817388482556,64.6371211062192,3.05099057407888,"2020-04-16",86,2.74543773317383,0.115786946777924,0.0765723078027755,0.0933625385851482
1049,"2020-04-09",79,"DeKalb","Alabama",2.60796674254523,0.144109941503894,60.4759341804928,3.67827163219073,0.147010553567543,60.782233908643,3.70727775282722,"2020-04-16",86,3.27444567602301,0.100332632258621,0.16307540287477,0.187343606710642
1051,"2020-04-09",79,"Elmore","Alabama",3.07797037179096,0.0662408710165298,32.7413334528685,3.52790046126091,0.0692247342852527,34.6059552169915,3.55773909394814,"2020-04-16",86,3.67449071666184,0.0891728682502858,0.0214887029785094,0.013630941406282
1053,"2020-04-09",79,"Escambia","Alabama",1.18958406687384,0.160313762476802,71.6280218934691,2.3040258844922,0.17807014794323,72.0639766529108,2.48158973915648,"2020-04-16",86,2.22847712084032,0.14561355959603,0.00570761568932694,0.0640659975508589
