"fips","county","state","predicted.lm","predicted.slm","predicted.grf","predicted.grf.augmented","predicted.grf.fonly","date.y","days_from_start.y","log_rolled_cases.y"
5009,"Boone","Arkansas",3.68112178584065,3.62543084646179,3.67330957916543,3.62313542575714,3.62257134897095,"2020-07-13",174,3.74782195607735
5009,"Boone","Arkansas",3.66131437903811,3.60271814361541,3.64281367034039,3.65151551652863,3.64385866729563,"2020-07-14",175,3.85318256601127
5009,"Boone","Arkansas",3.64044908435188,3.59017577061811,3.61823290368083,3.64408468449892,3.65133662700845,"2020-07-15",176,3.95672310237884
5009,"Boone","Arkansas",3.67953478220897,3.62231382642566,3.66460914956997,3.69883968072486,3.70810196244384,"2020-07-16",177,4.03044068410049
5009,"Boone","Arkansas",3.76186097652177,3.67811388776306,3.72263452915156,3.7525302961514,3.74057069212018,"2020-07-17",178,4.0943445622221
5009,"Boone","Arkansas",3.87402856016728,3.74453470905627,3.80999266985263,3.8247227967918,3.82520054749936,"2020-07-18",179,4.15888308335967
5009,"Boone","Arkansas",4.02235371725906,3.83647869684615,3.87037583472618,3.90163438400738,3.88863236639859,"2020-07-19",180,4.21318526057827
5009,"Boone","Arkansas",4.19243310711336,3.99086309794368,4.15259503269912,3.995264208371,3.97249372117012,"2020-07-20",181,4.26669588657596
5009,"Boone","Arkansas",4.37302788252578,4.19199646502787,4.2456296754453,4.07042399900883,4.09035628178083,"2020-07-21",182,4.3021326867684
5009,"Boone","Arkansas",4.52468108506666,4.3207271967075,4.35980926100287,4.19660687642524,4.19012595843524,"2020-07-22",183,4.3344856337251
5009,"Boone","Arkansas",4.64511557939761,4.43749456598403,4.44452112629432,4.30791279998034,4.29970621762815,"2020-07-23",184,4.37485812720966
5009,"Boone","Arkansas",4.72529500438668,4.5449842913658,4.52253956375969,4.38385949801756,4.36460218898763,"2020-07-24",185,4.43251606855213
5009,"Boone","Arkansas",4.76740860116837,4.62249125337283,4.57603141077005,4.44270713089012,4.44095931873593,"2020-07-25",186,4.48542098118734
5009,"Boone","Arkansas",4.77390889069072,4.68097035187463,4.64301252425454,4.51414113429875,4.52818167676375,"2020-07-26",187,4.53566693427931
5009,"Boone","Arkansas",4.75403169122956,4.67382326431401,4.71318786791007,4.59024753501825,4.59485168840846,"2020-07-27",188,4.59367577766062
5009,"Boone","Arkansas",4.72733641531046,4.64098318469791,4.69186495023183,4.67598647902638,4.67735110287147,"2020-07-28",189,4.6566776074488
5009,"Boone","Arkansas",4.7127110786124,4.6417279664535,4.70712817782372,4.67063129430351,4.66946760358718,"2020-07-29",190,4.71849887129509
5009,"Boone","Arkansas",4.70697404216404,4.65053978016427,4.70576315119855,4.72084886820346,4.69832798947655,"2020-07-30",191,4.7803236130156
