"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","tau.var.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
1001,"Autauga","Alabama",106,"2020-05-06",3.42472787907235,-72.481334891595,0.019624516058605,1.78295940659425e-06,3.63998143515159,3.56294411288959,3.56209949148258,35.3204725400611
1003,"Baldwin","Alabama",106,"2020-05-06",4.76461296039711,275.382958299672,-0.027322698312121,2.48656037283075e-06,4.43674058065166,4.57247522244957,4.57335407221226,-25.3689138840452
1005,"Barbour","Alabama",106,"2020-05-06",3.56751859710967,-195.439661735547,0.0121400043250987,3.98136515203783e-06,3.74445882750152,3.65654142147784,3.65249862738536,57.0961230324199
1007,"Bibb","Alabama",106,"2020-05-06",3.36729582998647,197.411758353051,-0.0353119505401136,9.99836190422106e-06,2.98074383596697,3.12345238009984,3.12011217620567,-19.6292521358327
1009,"Blount","Alabama",106,"2020-05-06",3.29583686600433,-460.289790877087,0.0058431606777851,1.62995738962857e-06,3.34982436302864,3.34258215142661,3.33673899074883,118.625384236856
1013,"Butler","Alabama",106,"2020-05-06",4.51711930786536,60.1711066238077,0.108830830360389,7.91459025457964e-05,5.74941233315147,5.26685791254895,5.27893512038808,6.36903328096105
1015,"Calhoun","Alabama",106,"2020-05-06",3.8286413964891,-82.1020500724397,0.0209098772786782,8.83268605908282e-06,4.07955992383324,3.97394150799975,3.97501053743985,33.1492706208634
1017,"Chambers","Alabama",106,"2020-05-06",4.74244456489145,164.144157356755,-0.0751050415970766,2.07233461580516e-05,3.84118406572653,4.26007887856025,4.21670927371191,-9.22903663749419
1021,"Chilton","Alabama",106,"2020-05-06",3.32708940950844,235.040492054516,-0.0250442905379215,5.99465741218279e-06,3.05641754040419,3.15205289318935,3.15177937574299,-27.6768543117801
1023,"Choctaw","Alabama",106,"2020-05-06",3.72051653905712,-8.53299332538453,0.0339472814503709,1.43925099162531e-06,4.12571472992287,3.96045770571691,3.95814750920972,20.4183413500515
1025,"Clarke","Alabama",106,"2020-05-06",3.17208366336144,-62.2350603699779,0.0191843777388392,2.3773692140661e-06,3.36177559122595,3.30743130067959,3.30637430753331,36.1308138317488
1031,"Coffee","Alabama",106,"2020-05-06",4.63055941999291,-457.035224922981,0.00830083181280768,4.94744613372743e-06,4.73176652946166,4.69277904814115,4.68866524268256,83.5033399291938
1039,"Covington","Alabama",106,"2020-05-06",3.42936825862885,391.1532674804,-0.0118137808319704,4.85281836323059e-06,3.28604173970987,3.33947695782939,3.34667179280506,-58.6727644958637
1043,"Cullman","Alabama",106,"2020-05-06",3.20158432775814,146.446991335441,-0.0716056918034946,1.08406268802134e-05,2.39499495331974,2.70699099022993,2.70034448513368,-9.68005703320524
1045,"Dale","Alabama",106,"2020-05-06",3.15395627876888,-267.729113872251,0.00852703888521284,1.23760870106127e-06,3.24649195872132,3.21605636283315,3.21364555096537,81.288145848844
1047,"Dallas","Alabama",106,"2020-05-06",3.80348283685294,59.6318088215995,0.0905305228687383,1.45554050745562e-05,4.83145025193939,4.43082321416325,4.43719649693411,7.65650256505146
1049,"DeKalb","Alabama",106,"2020-05-06",4.17218704898604,-7.21096338646349,0.0385560475428496,4.84703647403487e-06,4.63485961950023,4.44247142638308,4.44207938178599,17.9776513603893
1051,"Elmore","Alabama",106,"2020-05-06",4.26267987704132,-32.5256862225908,0.0314508349515655,1.74475498322964e-06,4.57690433860001,4.48156380066297,4.48283572170228,22.0390708745061
1053,"Escambia","Alabama",106,"2020-05-06",3.12299405316492,227.374078958541,-0.0248798449651235,2.02600959362982e-06,2.84560935251728,2.94880129203046,2.94883513840906,-27.8597869693962
1055,"Etowah","Alabama",106,"2020-05-06",4.35853865336667,251.41722178863,-0.0289763273216906,1.37306405413625e-06,4.01082272550638,4.15555886051085,4.15570436211484,-23.9211537357628
1059,"Franklin","Alabama",106,"2020-05-06",4.68345310438213,66.9720132976031,0.137635327806574,6.01108422082674e-05,6.33507703806102,5.6213171976349,5.64690039902815,5.0361138495929
1063,"Greene","Alabama",106,"2020-05-06",3.76782265645406,-57.6851921632987,0.0235900993054982,3.92903836448076e-06,4.02648063311026,3.93654278419138,3.93295335159255,29.3829700156621
1065,"Hale","Alabama",106,"2020-05-06",3.74782198974739,-43.3360966104445,0.0259659369884622,1.08549711796724e-06,4.05941323360894,3.93169826983291,3.92958354866663,26.6944798051363
1069,"Houston","Alabama",106,"2020-05-06",4.01766919456313,214.569864034023,-0.0352731350273876,2.35092732098041e-06,3.58268752878547,3.77331964868674,3.77075724937142,-19.6508526963015
1071,"Jackson","Alabama",106,"2020-05-06",3.28519846779927,216.149520520832,-0.0282666062539287,9.48263288791139e-07,2.91568688184391,3.08545237294104,3.08733222402177,-24.5217687023749
1073,"Jefferson","Alabama",106,"2020-05-06",5.99396142730657,-885.12472447653,0.00607829950768994,3.62060594000612e-06,6.06690102139885,6.03973373652166,6.0365095238604,114.036364888405
1081,"Lee","Alabama",106,"2020-05-06",5.15823394393222,177.12113661069,-0.0677634908463496,7.61776669028327e-06,4.34507205377602,4.70114966259421,4.68388950800777,-10.2289178420814
1085,"Lowndes","Alabama",106,"2020-05-06",4.07511320029421,-22.5502939697371,0.0328435279098212,2.2361717138377e-06,4.45194986317952,4.30830262133124,4.30501789566296,21.104528796758
1087,"Macon","Alabama",106,"2020-05-06",3.29583686600433,202.547033168098,-0.0329197102621057,2.89273807174077e-06,2.94786238672496,3.06884682807835,3.06539889416959,-21.0556889790684
