"fips","county","state","days_from_start","datetime","log_rolled_cases.x","t0.hat","tau.hat","mu.hat","predicted.grf.future","predicted.grf.future.0","predicted.grf.future.last","Predicted_Double_Days"
1003,"Baldwin","Alabama",83,"2020-04-13",4.07995582477,35.7660011533228,0.0966035880140436,4.34218662975673e-06,5.23919888093852,4.75384458102745,4.75618094086831,7.1751701443965
1015,"Calhoun","Alabama",83,"2020-04-13",3.99688922607139,16.4225896585179,0.0649504552398343,7.89401183262156e-06,4.77888629704735,4.45701588135164,4.45154241275023,10.6719372173828
1017,"Chambers","Alabama",83,"2020-04-13",5.11456621694449,26.6091289997024,0.0995228552735538,5.59453093945029e-06,6.30884048022714,5.80777006401007,5.81122620385937,6.9647035211633
1055,"Etowah","Alabama",83,"2020-04-13",4.13173209429372,30.9878738325917,0.0878865184608071,8.61716214195808e-06,5.1863703158234,4.74864654573913,4.74693772351937,7.88684308696395
1073,"Jefferson","Alabama",83,"2020-04-13",6.22738328991091,-57.13242670104,0.0460835599710501,1.58767849046439e-05,6.78038600956351,6.56132306797472,6.54996820970826,15.0410945030155
1081,"Lee","Alabama",83,"2020-04-13",5.29186804286813,15.2539193207802,0.0843378261332693,2.69540454188001e-06,6.30392195646736,5.87870929614295,5.88223282580102,8.21869868289758
1083,"Limestone","Alabama",83,"2020-04-13",3.52636052461616,-43.2550390065453,0.0290821771491559,4.38734370131995e-06,3.87534665040603,3.74206838349564,3.72993576466025,23.8340883835811
1089,"Madison","Alabama",83,"2020-04-13",5.13663842029999,-59.659337927667,0.0373141299212047,1.3208002260072e-05,5.58440797935445,5.40877817441474,5.39783732974842,18.5759974042982
1095,"Marshall","Alabama",83,"2020-04-13",4.28260085453587,45.7024177219713,0.131490797328879,8.05210470253963e-06,5.8247244134796,5.18823513995216,5.20303643583802,5.27145012913929
1097,"Mobile","Alabama",83,"2020-04-13",5.88966909761465,32.5948214597907,0.129713598469808,6.26870008524395e-06,7.44623227925235,6.78254180224502,6.79766428690331,5.34367397664387
1101,"Montgomery","Alabama",83,"2020-04-13",4.59656181145149,36.6365329847863,0.111126125132617,3.60412619654224e-06,5.93007531304289,5.36958730946331,5.37444468737981,6.23748177786953
1103,"Morgan","Alabama",83,"2020-04-13",3.59142411796322,4.49883739704902,0.0488621402815611,1.14172753396125e-05,4.17776980134195,3.93804841653772,3.93345909993415,14.185771981452
1115,"St. Clair","Alabama",83,"2020-04-13",3.59535339610311,-12.3327802302878,0.0401584302777342,3.64990992794037e-06,4.10952382000471,3.88068882909892,3.87646240804725,17.2603155991448
1117,"Shelby","Alabama",83,"2020-04-13",5.19928598594186,-24.3381965953465,0.0508049404710565,1.23525476284778e-06,5.80894527159454,5.55310309068782,5.55492056923926,13.6433026814554
1123,"Tallapoosa","Alabama",83,"2020-04-13",4.15216413311093,47.6613716986689,0.136860641551443,2.23120907712156e-05,5.79449183172824,5.05977162739675,5.11018862397103,5.06462027871912
1125,"Tuscaloosa","Alabama",83,"2020-04-13",4.53106221383437,12.350111634339,0.0692834186080812,3.64932036731223e-06,5.37984972050887,5.0185320817755,5.01604614409094,10.0045175957743
1127,"Walker","Alabama",83,"2020-04-13",4.30213272545312,6.71789141109243,0.0603536120159412,6.86427367351994e-06,5.02637606964441,4.72723415292536,4.72460800956471,11.4847671482672
2020,"Anchorage","Alaska",83,"2020-04-13",4.70695288029804,-16.6990326540213,0.0497043396155342,2.81176692902775e-06,5.30340495568445,5.05431246005829,5.05488325760678,13.9454056913637
2090,"Fairbanks North Star Borough","Alaska",83,"2020-04-13",4.24029847484518,-27.9480250822049,0.0400224399799349,8.2323659451756e-06,4.7205677546044,4.52273766670181,4.52045555470472,17.3189635841156
4001,"Apache","Arizona",83,"2020-04-13",4.02023659006838,48.4673390606839,0.133716056276745,1.48002057592445e-05,5.55358362748457,4.91987605192402,4.9562489840056,5.18372437731318
4005,"Coconino","Arizona",83,"2020-04-13",5.35591219308262,-32.9338573725837,0.0482802303997615,4.32859151735897e-06,5.93527495787976,5.69309411219597,5.69387380588095,14.3567496430872
4013,"Maricopa","Arizona",83,"2020-04-13",7.45843328448866,-78.5082780858887,0.0476551999402589,3.50377571587813e-06,8.03029568377177,7.7967606768058,7.79201968407047,14.545048209406
4017,"Navajo","Arizona",83,"2020-04-13",5.65699031314944,-13.7928579856591,0.0616277827849443,4.26849376048099e-06,6.39652370656877,6.08720243336956,6.08838479264405,11.2473165386907
4019,"Pima","Arizona",83,"2020-04-13",6.2857320309181,-19.5290020627714,0.0644498754008832,3.8212277827022e-06,7.0591305357287,6.73562099147334,6.73688115872428,10.7548257657368
4021,"Pinal","Arizona",83,"2020-04-13",4.88712158373089,-6.48491780284892,0.0578460831924499,1.2098102803449e-05,5.58127458204029,5.2945051101194,5.29204416607804,11.9826121719234
4025,"Yavapai","Arizona",83,"2020-04-13",4.10382330617665,-34.622716007901,0.0367519576401067,1.96283899397164e-06,4.58012877971743,4.36912886141506,4.3610870096574,18.8601431071396
5007,"Benton","Arkansas",83,"2020-04-13",3.86523084392139,2.40592946770632,0.0511314024592732,2.19132937212127e-06,4.47880767343267,4.22519245339905,4.2231506611363,13.5561934001722
5019,"Clark","Arkansas",83,"2020-04-13",3.26902560855367,-11.861616192047,0.0363784421767721,5.34085401991662e-05,3.70556691467494,3.57086406207207,3.52367470379107,19.0537895270987
5023,"Cleburne","Arkansas",83,"2020-04-13",4.0990951649807,-30.5726641787031,0.0377543942205735,8.43503024398694e-05,4.55214789562758,4.44743488678697,4.36337592452472,18.3593776266241
